global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,n_events,dbscan_eps_km,dbscan_min_samples,n_clusters,n_noise_events,clustered_event_fraction,dominant_cluster_fraction,dominant_cluster_event_count,dominant_cluster_centroid_longitude,dominant_cluster_centroid_latitude,dominant_cluster_centroid_x_km_local,dominant_cluster_centroid_y_km_local,dominant_cluster_azimuth_from_mainshock64_deg,dominant_cluster_distance_from_mainshock64_km,dominant_cluster_along_strike_km,dominant_cluster_cross_strike_km,cluster_size_json,cluster_centroids_json,cluster_azimuths_from_mainshock64_json
0,post64_hourly,1h_mainshock64_to_mainshock71,0,post64_hourly_1h_mainshock64_to_mainshock71_0000,2019-07-04T17:33:49.040000Z,2019-07-04T18:33:49.040000Z,138,2.5,12,1,29,0.7898550724637681,0.7898550724637681,109,-117.51279540578291,35.695516118165,1.498738228990911,-10.64693390994722,240.41099737994244,1.9578059218559107,0.6214378592740188,1.8565610721748416,"[{""cluster_id"": 0, ""n_events"": 109}]","[{""along_strike_km"": 0.6214378592740188, ""cluster_id"": 0, ""cross_strike_km"": 1.8565610721748416, ""latitude"": 35.695516118165, ""longitude"": -117.51279540578291, ""n_events"": 109, ""x_km_local"": 1.498738228990911, ""y_km_local"": -10.64693390994722}]","[{""azimuth_from_mainshock64_deg"": 240.41099737994244, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 1.9578059218559107}]"
1,post64_hourly,1h_mainshock64_to_mainshock71,1,post64_hourly_1h_mainshock64_to_mainshock71_0001,2019-07-04T18:33:49.040000Z,2019-07-04T19:33:49.040000Z,130,2.5,12,2,13,0.9,0.7846153846153846,102,-117.51536035880522,35.69290899126349,1.26738948088118,-10.936833194515053,236.98402675103586,2.3062534664521652,0.6000014155062604,2.226837073724324,"[{""cluster_id"": 0, ""n_events"": 102}, {""cluster_id"": 1, ""n_events"": 15}]","[{""along_strike_km"": 0.6000014155062604, ""cluster_id"": 0, ""cross_strike_km"": 2.226837073724324, ""latitude"": 35.69290899126349, ""longitude"": -117.51536035880522, ""n_events"": 102, ""x_km_local"": 1.26738948088118, ""y_km_local"": -10.936833194515053}, {""along_strike_km"": -0.9745574083142401, ""cluster_id"": 1, ""cross_strike_km"": 13.606907261906647, ""latitude"": 35.607281195185045, ""longitude"": -117.58663544094333, ""n_events"": 15, ""x_km_local"": -5.161344644346539, ""y_km_local"": -20.45820969819138}]","[{""azimuth_from_mainshock64_deg"": 236.98402675103586, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 2.3062534664521652}, {""azimuth_from_mainshock64_deg"": 217.80764530954752, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 13.641762619846014}]"
2,post64_hourly,1h_mainshock64_to_mainshock71,2,post64_hourly_1h_mainshock64_to_mainshock71_0002,2019-07-04T19:33:49.040000Z,2019-07-04T20:33:49.040000Z,147,2.5,12,1,16,0.891156462585034,0.891156462585034,131,-117.5305812902759,35.672793741749935,-0.10547910976828286,-13.17354688861075,223.42794260732944,4.810160475495853,0.12789925308086847,4.808459793019367,"[{""cluster_id"": 0, ""n_events"": 131}]","[{""along_strike_km"": 0.12789925308086847, ""cluster_id"": 0, ""cross_strike_km"": 4.808459793019367, ""latitude"": 35.672793741749935, ""longitude"": -117.5305812902759, ""n_events"": 131, ""x_km_local"": -0.10547910976828286, ""y_km_local"": -13.17354688861075}]","[{""azimuth_from_mainshock64_deg"": 223.42794260732944, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 4.810160475495853}]"
3,post64_hourly,1h_mainshock64_to_mainshock71,3,post64_hourly_1h_mainshock64_to_mainshock71_0003,2019-07-04T20:33:49.040000Z,2019-07-04T21:33:49.040000Z,135,2.5,12,1,8,0.9407407407407408,0.9407407407407408,127,-117.53216064036609,35.672525574712616,-0.24793032155296713,-13.203365702654809,224.39199342137846,4.9304409006931555,0.21400454830910087,4.92579430432605,"[{""cluster_id"": 0, ""n_events"": 127}]","[{""along_strike_km"": 0.21400454830910087, ""cluster_id"": 0, ""cross_strike_km"": 4.92579430432605, ""latitude"": 35.672525574712616, ""longitude"": -117.53216064036609, ""n_events"": 127, ""x_km_local"": -0.24793032155296713, ""y_km_local"": -13.203365702654809}]","[{""azimuth_from_mainshock64_deg"": 224.39199342137846, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 4.9304409006931555}]"
4,post64_hourly,1h_mainshock64_to_mainshock71,4,post64_hourly_1h_mainshock64_to_mainshock71_0004,2019-07-04T21:33:49.040000Z,2019-07-04T22:33:49.040000Z,132,2.5,12,1,12,0.9090909090909091,0.9090909090909091,120,-117.52230797816789,35.68268235351839,0.6407413403794927,-12.073983428401702,226.9273822127102,3.5051667002155615,0.30690192160104734,3.491705143166822,"[{""cluster_id"": 0, ""n_events"": 120}]","[{""along_strike_km"": 0.30690192160104734, ""cluster_id"": 0, ""cross_strike_km"": 3.491705143166822, ""latitude"": 35.68268235351839, ""longitude"": -117.52230797816789, ""n_events"": 120, ""x_km_local"": 0.6407413403794927, ""y_km_local"": -12.073983428401702}]","[{""azimuth_from_mainshock64_deg"": 226.9273822127102, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 3.5051667002155615}]"
5,post64_hourly,1h_mainshock64_to_mainshock71,5,post64_hourly_1h_mainshock64_to_mainshock71_0005,2019-07-04T22:33:49.040000Z,2019-07-04T23:33:49.040000Z,138,2.5,12,2,18,0.8695652173913043,0.6739130434782609,93,-117.50814826220657,35.70451213927107,1.9178924354507378,-9.646622002965122,271.4996019631211,1.2837733824134199,0.9775743384453711,0.8321192884474488,"[{""cluster_id"": 0, ""n_events"": 93}, {""cluster_id"": 1, ""n_events"": 27}]","[{""along_strike_km"": 0.9775743384453711, ""cluster_id"": 0, ""cross_strike_km"": 0.8321192884474488, ""latitude"": 35.70451213927107, ""longitude"": -117.50814826220657, ""n_events"": 93, ""x_km_local"": 1.9178924354507378, ""y_km_local"": -9.646622002965122}, {""along_strike_km"": -1.671619304695568, ""cluster_id"": 1, ""cross_strike_km"": 15.312946823032547, ""latitude"": 35.59167527666653, ""longitude"": -117.59351653553979, ""n_events"": 27, ""x_km_local"": -5.781992510670824, ""y_km_local"": -22.19350866307913}]","[{""azimuth_from_mainshock64_deg"": 271.4996019631211, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 1.2837733824134199}, {""azimuth_from_mainshock64_deg"": 215.67434730346002, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 15.403916758566744}]"
6,post64_hourly,1h_mainshock64_to_mainshock71,6,post64_hourly_1h_mainshock64_to_mainshock71_0006,2019-07-04T23:33:49.040000Z,2019-07-05T00:33:49.040000Z,137,2.5,12,2,16,0.8832116788321168,0.656934306569343,90,-117.52046268674252,35.706193795185044,0.8071794222651983,-9.459630396968917,275.2643806971429,2.4041877437364088,1.9291246829891404,1.4347810511065497,"[{""cluster_id"": 0, ""n_events"": 90}, {""cluster_id"": 1, ""n_events"": 31}]","[{""along_strike_km"": 1.9291246829891404, ""cluster_id"": 0, ""cross_strike_km"": 1.4347810511065497, ""latitude"": 35.706193795185044, ""longitude"": -117.52046268674252, ""n_events"": 90, ""x_km_local"": 0.8071794222651983, ""y_km_local"": -9.459630396968917}, {""along_strike_km"": -0.8231919677451591, ""cluster_id"": 1, ""cross_strike_km"": 12.989249523118517, ""latitude"": 35.612324537120536, ""longitude"": -117.5833107846388, ""n_events"": 31, ""x_km_local"": -4.861473626335636, ""y_km_local"": -19.89741566163193}]","[{""azimuth_from_mainshock64_deg"": 275.2643806971429, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 2.4041877437364088}, {""azimuth_from_mainshock64_deg"": 218.27804015303752, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 13.015308224917101}]"
7,post64_hourly,1h_mainshock64_to_mainshock71,7,post64_hourly_1h_mainshock64_to_mainshock71_0007,2019-07-05T00:33:49.040000Z,2019-07-05T01:33:49.040000Z,147,2.5,12,3,23,0.8435374149659864,0.46258503401360546,68,-117.50216944380361,35.67757780989093,2.4571585119327315,-12.641582782610064,194.1040819376516,3.053410533733635,-1.4240803000676485,2.7009833739722944,"[{""cluster_id"": 0, ""n_events"": 28}, {""cluster_id"": 1, ""n_events"": 28}, {""cluster_id"": 2, ""n_events"": 68}]","[{""along_strike_km"": 5.304472517718109, ""cluster_id"": 0, ""cross_strike_km"": 0.8371659220392691, ""latitude"": 35.73046772375648, ""longitude"": -117.5438894305523, ""n_events"": 28, ""x_km_local"": -1.3058214029177282, ""y_km_local"": -6.760492690093645}, {""along_strike_km"": -0.9062134354342817, ""cluster_id"": 1, ""cross_strike_km"": 15.906942560378324, ""latitude"": 35.59229686661363, ""longitude"": -117.60423080118876, ""n_events"": 28, ""x_km_local"": -6.748377439848002, ""y_km_local"": -22.12439101450948}, {""along_strike_km"": -1.4240803000676485, ""cluster_id"": 2, ""cross_strike_km"": 2.7009833739722944, ""latitude"": 35.67757780989093, ""longitude"": -117.50216944380361, ""n_events"": 68, ""x_km_local"": 2.4571585119327315, ""y_km_local"": -12.641582782610064}]","[{""azimuth_from_mainshock64_deg"": 302.93570607347885, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 5.370128068514804}, {""azimuth_from_mainshock64_deg"": 218.64370514001553, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 15.932734994649753}, {""azimuth_from_mainshock64_deg"": 194.1040819376516, ""cluster_id"": 2, ""distance_from_mainshock64_km"": 3.053410533733635}]"
8,post64_hourly,1h_mainshock64_to_mainshock71,8,post64_hourly_1h_mainshock64_to_mainshock71_0008,2019-07-05T01:33:49.040000Z,2019-07-05T02:33:49.040000Z,139,2.5,12,2,12,0.9136690647482014,0.7194244604316546,100,-117.53471936741583,35.65043840518505,-0.47871751124512,-15.659346898057672,211.61083786171238,7.020823551670125,-1.2545509362815275,6.907826379691448,"[{""cluster_id"": 0, ""n_events"": 100}, {""cluster_id"": 1, ""n_events"": 27}]","[{""along_strike_km"": -1.2545509362815275, ""cluster_id"": 0, ""cross_strike_km"": 6.907826379691448, ""latitude"": 35.65043840518505, ""longitude"": -117.53471936741583, ""n_events"": 100, ""x_km_local"": -0.47871751124512, ""y_km_local"": -15.659346898057672}, {""along_strike_km"": 5.30120440658363, ""cluster_id"": 1, ""cross_strike_km"": 0.6293466404140804, ""latitude"": 35.73183909148135, ""longitude"": -117.54232359307055, ""n_events"": 27, ""x_km_local"": -1.1645889756609196, ""y_km_local"": -6.608003556524242}]","[{""azimuth_from_mainshock64_deg"": 211.61083786171238, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 7.020823551670125}, {""azimuth_from_mainshock64_deg"": 305.1339695701939, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 5.338430982431278}]"
9,post64_hourly,1h_mainshock64_to_mainshock71,9,post64_hourly_1h_mainshock64_to_mainshock71_0009,2019-07-05T02:33:49.040000Z,2019-07-05T03:33:49.040000Z,152,2.5,12,1,16,0.8947368421052632,0.8947368421052632,136,-117.53575768349553,35.66565289812622,-0.5723695676728556,-13.967572471529385,221.35323018344602,5.711517296154628,-0.054932723601823774,5.711253121702029,"[{""cluster_id"": 0, ""n_events"": 136}]","[{""along_strike_km"": -0.054932723601823774, ""cluster_id"": 0, ""cross_strike_km"": 5.711253121702029, ""latitude"": 35.66565289812622, ""longitude"": -117.53575768349553, ""n_events"": 136, ""x_km_local"": -0.5723695676728556, ""y_km_local"": -13.967572471529385}]","[{""azimuth_from_mainshock64_deg"": 221.35323018344602, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 5.711517296154628}]"
