window_name,time_bin_index,time_bin_label,time_bin_start_min,time_bin_end_min,rgba
64_to_4h,0,0-30 min,0.0,30.0,"0.267004,0.004874,0.329415,1.000000"
64_to_4h,1,30-60 min,30.0,60.0,"0.275191,0.194905,0.496005,1.000000"
64_to_4h,2,60-90 min,60.0,90.0,"0.212395,0.359683,0.551710,1.000000"
64_to_4h,3,90-120 min,90.0,120.0,"0.153364,0.497000,0.557724,1.000000"
64_to_4h,4,120-150 min,120.0,150.0,"0.122312,0.633153,0.530398,1.000000"
64_to_4h,5,150-180 min,150.0,180.0,"0.288921,0.758394,0.428426,1.000000"
64_to_4h,6,180-210 min,180.0,210.0,"0.626579,0.854645,0.223353,1.000000"
64_to_4h,7,210-240 min,210.0,240.0,"0.993248,0.906157,0.143936,1.000000"
64_to_71,0,0.0-2.0 h,0.0,120.0,"0.267004,0.004874,0.329415,1.000000"
64_to_71,1,2.0-4.0 h,120.0,240.0,"0.281924,0.089666,0.412415,1.000000"
64_to_71,2,4.0-6.0 h,240.0,360.0,"0.280255,0.165693,0.476498,1.000000"
64_to_71,3,6.0-8.0 h,360.0,480.0,"0.263663,0.237631,0.518762,1.000000"
64_to_71,4,8.0-10.0 h,480.0,600.0,"0.237441,0.305202,0.541921,1.000000"
64_to_71,5,10.0-12.0 h,600.0,720.0,"0.208623,0.367752,0.552675,1.000000"
64_to_71,6,12.0-14.0 h,720.0,840.0,"0.182256,0.426184,0.557120,1.000000"
64_to_71,7,14.0-16.0 h,840.0,960.0,"0.159194,0.482237,0.558073,1.000000"
64_to_71,8,16.0-18.0 h,960.0,1080.0,"0.137770,0.537492,0.554906,1.000000"
64_to_71,9,18.0-20.0 h,1080.0,1200.0,"0.121148,0.592739,0.544641,1.000000"
64_to_71,10,20.0-22.0 h,1200.0,1320.0,"0.128087,0.647749,0.523491,1.000000"
64_to_71,11,22.0-24.0 h,1320.0,1440.0,"0.180653,0.701402,0.488189,1.000000"
64_to_71,12,24.0-26.0 h,1440.0,1560.0,"0.274149,0.751988,0.436601,1.000000"
64_to_71,13,26.0-28.0 h,1560.0,1680.0,"0.395174,0.797475,0.367757,1.000000"
64_to_71,14,28.0-30.0 h,1680.0,1800.0,"0.535621,0.835785,0.281908,1.000000"
64_to_71,15,30.0-32.0 h,1800.0,1920.0,"0.688944,0.865448,0.182725,1.000000"
64_to_71,16,32.0-34.0 h,1920.0,2040.0,"0.845561,0.887322,0.099702,1.000000"
64_to_71,17,34.0-33.8 h,2040.0,2026.0666666666666,"0.993248,0.906157,0.143936,1.000000"
