window_name,time_bin_index,time_bin_start_min,time_bin_end_min,time_bin_label,event_count
64_to_71,0,0.0,120.0,0.0-2.0 h,268
64_to_71,1,120.0,240.0,2.0-4.0 h,282
64_to_71,2,240.0,360.0,4.0-6.0 h,270
64_to_71,3,360.0,480.0,6.0-8.0 h,284
64_to_71,4,480.0,600.0,8.0-10.0 h,291
64_to_71,5,600.0,720.0,10.0-12.0 h,287
64_to_71,6,720.0,840.0,12.0-14.0 h,280
64_to_71,7,840.0,960.0,14.0-16.0 h,283
64_to_71,8,960.0,1080.0,16.0-18.0 h,276
64_to_71,9,1080.0,1200.0,18.0-20.0 h,306
64_to_71,10,1200.0,1320.0,20.0-22.0 h,283
64_to_71,11,1320.0,1440.0,22.0-24.0 h,314
64_to_71,12,1440.0,1560.0,24.0-26.0 h,287
64_to_71,13,1560.0,1680.0,26.0-28.0 h,283
64_to_71,14,1680.0,1800.0,28.0-30.0 h,279
64_to_71,15,1800.0,1920.0,30.0-32.0 h,229
64_to_71,16,1920.0,2040.0,32.0-34.0 h,213
64_to_71,17,2040.0,2026.0666666666666,34.0-33.8 h,1
