cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64,distance_to_mw64_km,distance_to_mw71_km,alongstrike_km_from_mw64,crossstrike_km_from_axis,axis_length_mw64_to_mw71_km,onset_detected_flag,mw71_side_flag,longitude_center,latitude_center
0,0,0,428.0,428.5,3923.0,3923.5,428.25,3923.25,0,,0,,,,,inactive,,,,38.94781147138814,40.36094389261277,1.3247003831673894,38.9252769714697,11.993749290966345,0,0,,
1,1,0,428.5,429.0,3923.0,3923.5,428.75,3923.25,0,,0,,,,,inactive,,,,38.60199052145082,40.13838191206639,0.9535797021814041,38.590210649460914,11.993749290966345,0,0,,
2,2,0,429.0,429.5,3923.0,3923.5,429.25,3923.25,0,,0,,,,,inactive,,,,38.25957822592356,39.92084183900887,0.5824590211954188,38.25514432745212,11.993749290966345,0,0,,
3,3,0,429.5,430.0,3923.0,3923.5,429.75,3923.25,0,,0,,,,,inactive,,,,37.92066692231229,39.70840621016441,0.21133834020943354,37.92007800544333,11.993749290966345,0,0,,
4,4,0,430.0,430.5,3923.0,3923.5,430.25,3923.25,0,,0,,,,,inactive,,,,37.58535131723974,39.50115738010326,-0.15978234077654818,37.585011683434544,11.993749290966345,0,0,,
5,5,0,430.5,431.0,3923.0,3923.5,430.75,3923.25,0,,0,,,,,inactive,,,,37.253728503972866,39.29917740848972,-0.5309030217625335,37.249945361425745,11.993749290966345,0,0,,
6,6,0,431.0,431.5,3923.0,3923.5,431.25,3923.25,0,,0,,,,,inactive,,,,36.925897974932255,39.10254794256011,-0.9020237027485187,36.91487903941696,11.993749290966345,0,0,,
7,7,0,431.5,432.0,3923.0,3923.5,431.75,3923.25,1,66.0,1,,,,,insufficient_data,33.0,,,36.60196162861345,38.911350095010505,-1.273144383734504,36.57981271740817,11.993749290966345,0,0,-117.75059955239362,35.44951379518505
8,8,0,432.0,432.5,3923.0,3923.5,432.25,3923.25,0,,0,,,,,inactive,,,,36.2820237703174,38.72566431751348,-1.6442650647204893,36.244746395399375,11.993749290966345,0,0,,
9,9,0,432.5,433.0,3923.0,3923.5,432.75,3923.25,0,,0,,,,,inactive,,,,35.96619110605489,38.54557027012312,-2.0153857457064746,35.90968007339059,11.993749290966345,0,0,,
10,10,0,433.0,433.5,3923.0,3923.5,433.25,3923.25,0,,0,,,,,inactive,,,,35.65457272895929,38.37114668686957,-2.38650642669246,35.5746137513818,11.993749290966345,0,0,,
11,11,0,433.5,434.0,3923.0,3923.5,433.75,3923.25,0,,0,,,,,inactive,,,,35.347280097512915,38.20247123788623,-2.757627107678445,35.239547429373005,11.993749290966345,0,0,,
12,12,0,434.0,434.5,3923.0,3923.5,434.25,3923.25,0,,0,,,,,inactive,,,,35.04442700486653,38.03962038845534,-3.1287477886644304,34.90448110736421,11.993749290966345,0,0,,
13,13,0,434.5,435.0,3923.0,3923.5,434.75,3923.25,0,,0,,,,,inactive,,,,34.74612953850836,37.88266925540028,-3.4998684696504156,34.56941478535542,11.993749290966345,0,0,,
14,14,0,435.0,435.5,3923.0,3923.5,435.25,3923.25,0,,0,,,,,inactive,,,,34.45250602952112,37.73169146129434,-3.870989150636401,34.234348463346635,11.993749290966345,0,0,,
15,15,0,435.5,436.0,3923.0,3923.5,435.75,3923.25,0,,0,,,,,inactive,,,,34.16367699065155,37.58675898699667,-4.242109831622386,33.89928214133784,11.993749290966345,0,0,,
16,16,0,436.0,436.5,3923.0,3923.5,436.25,3923.25,0,,0,,,,,inactive,,,,33.87976504241078,37.447942023064996,-4.6132305126083715,33.56421581932905,11.993749290966345,0,0,,
17,17,0,436.5,437.0,3923.0,3923.5,436.75,3923.25,0,,0,,,,,inactive,,,,33.60089482642308,37.315308820631515,-4.984351193594357,33.229149497320265,11.993749290966345,0,0,,
18,18,0,437.0,437.5,3923.0,3923.5,437.25,3923.25,0,,0,,,,,inactive,,,,33.32719290524977,37.18892554236224,-5.355471874580342,32.89408317531147,11.993749290966345,0,0,,
19,19,0,437.5,438.0,3923.0,3923.5,437.75,3923.25,0,,0,,,,,inactive,,,,33.058787647932824,37.06885611415093,-5.726592555566327,32.55901685330268,11.993749290966345,0,0,,
20,20,0,438.0,438.5,3923.0,3923.5,438.25,3923.25,0,,0,,,,,inactive,,,,32.79580910053144,36.955162078225115,-6.097713236552311,32.22395053129389,11.993749290966345,0,0,,
21,21,0,438.5,439.0,3923.0,3923.5,438.75,3923.25,0,,0,,,,,inactive,,,,32.53838884096578,36.84790244836401,-6.468833917538296,31.888884209285095,11.993749290966345,0,0,,
22,22,0,439.0,439.5,3923.0,3923.5,439.25,3923.25,0,,0,,,,,inactive,,,,32.286659817535664,36.74713356794531,-6.839954598524281,31.553817887276306,11.993749290966345,0,0,,
23,23,0,439.5,440.0,3923.0,3923.5,439.75,3923.25,0,,0,,,,,inactive,,,,32.0407561705503,36.65290897154925,-7.211075279510267,31.218751565267517,11.993749290966345,0,0,,
24,24,0,440.0,440.5,3923.0,3923.5,440.25,3923.25,0,,0,,,,,inactive,,,,31.800813036588274,36.565279250854054,-7.582195960496252,30.883685243258725,11.993749290966345,0,0,,
25,25,0,440.5,441.0,3923.0,3923.5,440.75,3923.25,0,,0,,,,,inactive,,,,31.56696633500641,36.484291925556136,-7.953316641482237,30.548618921249933,11.993749290966345,0,0,,
