cell_id,time_bin_index_30min,time_bin_start_min,time_bin_end_min,event_count
0,0,0.0,30.0,0
0,1,30.0,60.0,0
0,2,60.0,90.0,0
0,3,90.0,120.0,0
0,4,120.0,150.0,0
0,5,150.0,180.0,0
0,6,180.0,210.0,0
0,7,210.0,240.0,0
0,8,240.0,270.0,0
0,9,270.0,300.0,0
0,10,300.0,330.0,0
0,11,330.0,360.0,0
0,12,360.0,390.0,0
0,13,390.0,420.0,0
0,14,420.0,450.0,0
0,15,450.0,480.0,0
0,16,480.0,510.0,0
0,17,510.0,540.0,0
0,18,540.0,570.0,0
0,19,570.0,600.0,0
0,20,600.0,630.0,0
0,21,630.0,660.0,0
0,22,660.0,690.0,0
0,23,690.0,720.0,0
0,24,720.0,750.0,0
0,25,750.0,780.0,0
0,26,780.0,810.0,0
0,27,810.0,840.0,0
0,28,840.0,870.0,0
0,29,870.0,900.0,0
0,30,900.0,930.0,0
0,31,930.0,960.0,0
0,32,960.0,990.0,0
0,33,990.0,1020.0,0
0,34,1020.0,1050.0,0
0,35,1050.0,1080.0,0
0,36,1080.0,1110.0,0
0,37,1110.0,1140.0,0
0,38,1140.0,1170.0,0
0,39,1170.0,1200.0,0
0,40,1200.0,1230.0,0
0,41,1230.0,1260.0,0
0,42,1260.0,1290.0,0
0,43,1290.0,1320.0,0
0,44,1320.0,1350.0,0
0,45,1350.0,1380.0,0
0,46,1380.0,1410.0,0
0,47,1410.0,1440.0,0
0,48,1440.0,1470.0,0
0,49,1470.0,1500.0,0
0,50,1500.0,1530.0,0
0,51,1530.0,1560.0,0
0,52,1560.0,1590.0,0
0,53,1590.0,1620.0,0
0,54,1620.0,1650.0,0
0,55,1650.0,1680.0,0
0,56,1680.0,1710.0,0
0,57,1710.0,1740.0,0
0,58,1740.0,1770.0,0
0,59,1770.0,1800.0,0
0,60,1800.0,1830.0,0
0,61,1830.0,1860.0,0
0,62,1860.0,1890.0,0
0,63,1890.0,1920.0,0
0,64,1920.0,1950.0,0
0,65,1950.0,1980.0,0
0,66,1980.0,2010.0,0
0,67,2010.0,2026.0666666666666,0
1,0,0.0,30.0,0
1,1,30.0,60.0,0
1,2,60.0,90.0,0
1,3,90.0,120.0,0
1,4,120.0,150.0,0
1,5,150.0,180.0,0
1,6,180.0,210.0,0
1,7,210.0,240.0,0
1,8,240.0,270.0,0
1,9,270.0,300.0,0
1,10,300.0,330.0,0
1,11,330.0,360.0,0
