cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km
0,0,0,428.0,428.5,3923.0,3923.5,428.25,3923.25
1,1,0,428.5,429.0,3923.0,3923.5,428.75,3923.25
2,2,0,429.0,429.5,3923.0,3923.5,429.25,3923.25
3,3,0,429.5,430.0,3923.0,3923.5,429.75,3923.25
4,4,0,430.0,430.5,3923.0,3923.5,430.25,3923.25
5,5,0,430.5,431.0,3923.0,3923.5,430.75,3923.25
6,6,0,431.0,431.5,3923.0,3923.5,431.25,3923.25
7,7,0,431.5,432.0,3923.0,3923.5,431.75,3923.25
8,8,0,432.0,432.5,3923.0,3923.5,432.25,3923.25
9,9,0,432.5,433.0,3923.0,3923.5,432.75,3923.25
10,10,0,433.0,433.5,3923.0,3923.5,433.25,3923.25
11,11,0,433.5,434.0,3923.0,3923.5,433.75,3923.25
12,12,0,434.0,434.5,3923.0,3923.5,434.25,3923.25
13,13,0,434.5,435.0,3923.0,3923.5,434.75,3923.25
14,14,0,435.0,435.5,3923.0,3923.5,435.25,3923.25
15,15,0,435.5,436.0,3923.0,3923.5,435.75,3923.25
16,16,0,436.0,436.5,3923.0,3923.5,436.25,3923.25
17,17,0,436.5,437.0,3923.0,3923.5,436.75,3923.25
18,18,0,437.0,437.5,3923.0,3923.5,437.25,3923.25
19,19,0,437.5,438.0,3923.0,3923.5,437.75,3923.25
20,20,0,438.0,438.5,3923.0,3923.5,438.25,3923.25
21,21,0,438.5,439.0,3923.0,3923.5,438.75,3923.25
22,22,0,439.0,439.5,3923.0,3923.5,439.25,3923.25
23,23,0,439.5,440.0,3923.0,3923.5,439.75,3923.25
24,24,0,440.0,440.5,3923.0,3923.5,440.25,3923.25
25,25,0,440.5,441.0,3923.0,3923.5,440.75,3923.25
26,26,0,441.0,441.5,3923.0,3923.5,441.25,3923.25
27,27,0,441.5,442.0,3923.0,3923.5,441.75,3923.25
28,28,0,442.0,442.5,3923.0,3923.5,442.25,3923.25
29,29,0,442.5,443.0,3923.0,3923.5,442.75,3923.25
30,30,0,443.0,443.5,3923.0,3923.5,443.25,3923.25
31,31,0,443.5,444.0,3923.0,3923.5,443.75,3923.25
32,32,0,444.0,444.5,3923.0,3923.5,444.25,3923.25
33,33,0,444.5,445.0,3923.0,3923.5,444.75,3923.25
34,34,0,445.0,445.5,3923.0,3923.5,445.25,3923.25
35,35,0,445.5,446.0,3923.0,3923.5,445.75,3923.25
36,36,0,446.0,446.5,3923.0,3923.5,446.25,3923.25
37,37,0,446.5,447.0,3923.0,3923.5,446.75,3923.25
38,38,0,447.0,447.5,3923.0,3923.5,447.25,3923.25
39,39,0,447.5,448.0,3923.0,3923.5,447.75,3923.25
40,40,0,448.0,448.5,3923.0,3923.5,448.25,3923.25
41,41,0,448.5,449.0,3923.0,3923.5,448.75,3923.25
42,42,0,449.0,449.5,3923.0,3923.5,449.25,3923.25
43,43,0,449.5,450.0,3923.0,3923.5,449.75,3923.25
44,44,0,450.0,450.5,3923.0,3923.5,450.25,3923.25
45,45,0,450.5,451.0,3923.0,3923.5,450.75,3923.25
46,46,0,451.0,451.5,3923.0,3923.5,451.25,3923.25
47,47,0,451.5,452.0,3923.0,3923.5,451.75,3923.25
48,48,0,452.0,452.5,3923.0,3923.5,452.25,3923.25
49,49,0,452.5,453.0,3923.0,3923.5,452.75,3923.25
50,50,0,453.0,453.5,3923.0,3923.5,453.25,3923.25
51,51,0,453.5,454.0,3923.0,3923.5,453.75,3923.25
52,52,0,454.0,454.5,3923.0,3923.5,454.25,3923.25
53,53,0,454.5,455.0,3923.0,3923.5,454.75,3923.25
54,54,0,455.0,455.5,3923.0,3923.5,455.25,3923.25
55,55,0,455.5,456.0,3923.0,3923.5,455.75,3923.25
56,56,0,456.0,456.5,3923.0,3923.5,456.25,3923.25
57,57,0,456.5,457.0,3923.0,3923.5,456.75,3923.25
58,58,0,457.0,457.5,3923.0,3923.5,457.25,3923.25
59,59,0,457.5,458.0,3923.0,3923.5,457.75,3923.25
60,60,0,458.0,458.5,3923.0,3923.5,458.25,3923.25
61,61,0,458.5,459.0,3923.0,3923.5,458.75,3923.25
62,62,0,459.0,459.5,3923.0,3923.5,459.25,3923.25
63,63,0,459.5,460.0,3923.0,3923.5,459.75,3923.25
64,64,0,460.0,460.5,3923.0,3923.5,460.25,3923.25
65,65,0,460.5,461.0,3923.0,3923.5,460.75,3923.25
66,66,0,461.0,461.5,3923.0,3923.5,461.25,3923.25
67,67,0,461.5,462.0,3923.0,3923.5,461.75,3923.25
68,68,0,462.0,462.5,3923.0,3923.5,462.25,3923.25
69,69,0,462.5,463.0,3923.0,3923.5,462.75,3923.25
70,70,0,463.0,463.5,3923.0,3923.5,463.25,3923.25
71,71,0,463.5,464.0,3923.0,3923.5,463.75,3923.25
72,72,0,464.0,464.5,3923.0,3923.5,464.25,3923.25
73,73,0,464.5,465.0,3923.0,3923.5,464.75,3923.25
74,74,0,465.0,465.5,3923.0,3923.5,465.25,3923.25
75,75,0,465.5,466.0,3923.0,3923.5,465.75,3923.25
76,76,0,466.0,466.5,3923.0,3923.5,466.25,3923.25
77,77,0,466.5,467.0,3923.0,3923.5,466.75,3923.25
78,78,0,467.0,467.5,3923.0,3923.5,467.25,3923.25
79,79,0,467.5,468.0,3923.0,3923.5,467.75,3923.25
80,80,0,468.0,468.5,3923.0,3923.5,468.25,3923.25
81,0,1,428.0,428.5,3923.5,3924.0,428.25,3923.75
82,1,1,428.5,429.0,3923.5,3924.0,428.75,3923.75
83,2,1,429.0,429.5,3923.5,3924.0,429.25,3923.75
84,3,1,429.5,430.0,3923.5,3924.0,429.75,3923.75
85,4,1,430.0,430.5,3923.5,3924.0,430.25,3923.75
86,5,1,430.5,431.0,3923.5,3924.0,430.75,3923.75
87,6,1,431.0,431.5,3923.5,3924.0,431.25,3923.75
88,7,1,431.5,432.0,3923.5,3924.0,431.75,3923.75
89,8,1,432.0,432.5,3923.5,3924.0,432.25,3923.75
90,9,1,432.5,433.0,3923.5,3924.0,432.75,3923.75
91,10,1,433.0,433.5,3923.5,3924.0,433.25,3923.75
92,11,1,433.5,434.0,3923.5,3924.0,433.75,3923.75
93,12,1,434.0,434.5,3923.5,3924.0,434.25,3923.75
94,13,1,434.5,435.0,3923.5,3924.0,434.75,3923.75
95,14,1,435.0,435.5,3923.5,3924.0,435.25,3923.75
96,15,1,435.5,436.0,3923.5,3924.0,435.75,3923.75
97,16,1,436.0,436.5,3923.5,3924.0,436.25,3923.75
98,17,1,436.5,437.0,3923.5,3924.0,436.75,3923.75
99,18,1,437.0,437.5,3923.5,3924.0,437.25,3923.75
100,19,1,437.5,438.0,3923.5,3924.0,437.75,3923.75
101,20,1,438.0,438.5,3923.5,3924.0,438.25,3923.75
102,21,1,438.5,439.0,3923.5,3924.0,438.75,3923.75
103,22,1,439.0,439.5,3923.5,3924.0,439.25,3923.75
104,23,1,439.5,440.0,3923.5,3924.0,439.75,3923.75
105,24,1,440.0,440.5,3923.5,3924.0,440.25,3923.75
106,25,1,440.5,441.0,3923.5,3924.0,440.75,3923.75
107,26,1,441.0,441.5,3923.5,3924.0,441.25,3923.75
108,27,1,441.5,442.0,3923.5,3924.0,441.75,3923.75
109,28,1,442.0,442.5,3923.5,3924.0,442.25,3923.75
110,29,1,442.5,443.0,3923.5,3924.0,442.75,3923.75
111,30,1,443.0,443.5,3923.5,3924.0,443.25,3923.75
