region_label,threshold_hr,activated_cells,total_region_cells,activated_fraction
Mw6.4_vicinity,0.0,13,707,0.018387553041018388
Mw6.4_vicinity,2.0,31,707,0.04384724186704385
Mw6.4_vicinity,4.0,46,707,0.06506364922206506
Mw6.4_vicinity,6.0,51,707,0.07213578500707214
Mw6.4_vicinity,8.0,61,707,0.08628005657708628
Mw6.4_vicinity,10.0,70,707,0.09900990099009901
Mw6.4_vicinity,12.0,76,707,0.1074964639321075
Mw6.4_vicinity,14.0,85,707,0.12022630834512023
Mw6.4_vicinity,16.0,89,707,0.12588401697312587
Mw6.4_vicinity,18.0,91,707,0.12871287128712872
Mw6.4_vicinity,20.0,93,707,0.13154172560113153
Mw6.4_vicinity,22.0,95,707,0.13437057991513437
Mw6.4_vicinity,24.0,97,707,0.1371994342291372
Mw6.4_vicinity,26.0,99,707,0.14002828854314003
Mw6.4_vicinity,28.0,100,707,0.14144271570014144
Mw6.4_vicinity,30.0,101,707,0.14285714285714285
Mw6.4_vicinity,32.0,103,707,0.1456859971711457
Mw7.1_vicinity,0.0,0,629,0.0
Mw7.1_vicinity,2.0,0,629,0.0
Mw7.1_vicinity,4.0,0,629,0.0
Mw7.1_vicinity,6.0,0,629,0.0
Mw7.1_vicinity,8.0,2,629,0.003179650238473768
Mw7.1_vicinity,10.0,2,629,0.003179650238473768
Mw7.1_vicinity,12.0,2,629,0.003179650238473768
Mw7.1_vicinity,14.0,2,629,0.003179650238473768
Mw7.1_vicinity,16.0,5,629,0.00794912559618442
Mw7.1_vicinity,18.0,21,629,0.033386327503974564
Mw7.1_vicinity,20.0,25,629,0.0397456279809221
Mw7.1_vicinity,22.0,27,629,0.04292527821939587
Mw7.1_vicinity,24.0,29,629,0.046104928457869634
Mw7.1_vicinity,26.0,29,629,0.046104928457869634
Mw7.1_vicinity,28.0,29,629,0.046104928457869634
Mw7.1_vicinity,30.0,29,629,0.046104928457869634
Mw7.1_vicinity,32.0,30,629,0.04769475357710652
Intervening_corridor,0.0,0,89,0.0
Intervening_corridor,2.0,0,89,0.0
Intervening_corridor,4.0,0,89,0.0
Intervening_corridor,6.0,0,89,0.0
Intervening_corridor,8.0,0,89,0.0
Intervening_corridor,10.0,0,89,0.0
Intervening_corridor,12.0,0,89,0.0
Intervening_corridor,14.0,0,89,0.0
Intervening_corridor,16.0,0,89,0.0
Intervening_corridor,18.0,0,89,0.0
Intervening_corridor,20.0,0,89,0.0
Intervening_corridor,22.0,0,89,0.0
Intervening_corridor,24.0,1,89,0.011235955056179775
Intervening_corridor,26.0,1,89,0.011235955056179775
Intervening_corridor,28.0,1,89,0.011235955056179775
Intervening_corridor,30.0,1,89,0.011235955056179775
Intervening_corridor,32.0,1,89,0.011235955056179775
