region_label,time_bin_2h_index,time_bin_2h_start_hr,time_bin_2h_end_hr,event_count,cumulative_event_count
Intervening_corridor,1,2.0,4.0,4,4
Intervening_corridor,2,4.0,6.0,2,6
Intervening_corridor,4,8.0,10.0,1,7
Intervening_corridor,6,12.0,14.0,1,8
Intervening_corridor,9,18.0,20.0,1,9
Intervening_corridor,10,20.0,22.0,2,11
Intervening_corridor,11,22.0,24.0,1,12
Intervening_corridor,12,24.0,26.0,3,15
Intervening_corridor,15,30.0,32.0,2,17
Mw6.4_vicinity,0,0.0,2.0,200,200
Mw6.4_vicinity,1,2.0,4.0,181,381
Mw6.4_vicinity,2,4.0,6.0,185,566
Mw6.4_vicinity,3,6.0,8.0,170,736
Mw6.4_vicinity,4,8.0,10.0,176,912
Mw6.4_vicinity,5,10.0,12.0,179,1091
Mw6.4_vicinity,6,12.0,14.0,189,1280
Mw6.4_vicinity,7,14.0,16.0,174,1454
Mw6.4_vicinity,8,16.0,18.0,154,1608
Mw6.4_vicinity,9,18.0,20.0,120,1728
Mw6.4_vicinity,10,20.0,22.0,133,1861
Mw6.4_vicinity,11,22.0,24.0,161,2022
Mw6.4_vicinity,12,24.0,26.0,139,2161
Mw6.4_vicinity,13,26.0,28.0,160,2321
Mw6.4_vicinity,14,28.0,30.0,125,2446
Mw6.4_vicinity,15,30.0,32.0,119,2565
Mw6.4_vicinity,16,32.0,34.0,126,2691
Mw7.1_vicinity,0,0.0,2.0,9,9
Mw7.1_vicinity,1,2.0,4.0,4,13
Mw7.1_vicinity,2,4.0,6.0,10,23
Mw7.1_vicinity,3,6.0,8.0,20,43
Mw7.1_vicinity,4,8.0,10.0,19,62
Mw7.1_vicinity,5,10.0,12.0,15,77
Mw7.1_vicinity,6,12.0,14.0,16,93
Mw7.1_vicinity,7,14.0,16.0,19,112
Mw7.1_vicinity,8,16.0,18.0,50,162
Mw7.1_vicinity,9,18.0,20.0,129,291
Mw7.1_vicinity,10,20.0,22.0,78,369
Mw7.1_vicinity,11,22.0,24.0,59,428
Mw7.1_vicinity,12,24.0,26.0,54,482
Mw7.1_vicinity,13,26.0,28.0,39,521
Mw7.1_vicinity,14,28.0,30.0,54,575
Mw7.1_vicinity,15,30.0,32.0,58,633
Mw7.1_vicinity,16,32.0,34.0,33,666
