interval_id,stage,start,end,elapsed_start_hr,elapsed_end_hr
S1_01,Stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,0.0,0.5
S1_02,Stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,0.5,1.0
S1_03,Stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,1.0,1.5
S1_04,Stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,1.5,2.0
S1_05,Stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,2.0,2.5
S1_06,Stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,2.5,3.0
S1_07,Stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,3.0,3.5
S1_08,Stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,3.5,4.0
S2_01,Stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,0.0,2.0
S2_02,Stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,2.0,4.0
S2_03,Stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,4.0,6.0
S2_04,Stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,6.0,8.0
S2_05,Stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,8.0,10.0
S2_06,Stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,10.0,12.0
S2_07,Stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,12.0,14.0
S2_08,Stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,14.0,16.0
S2_09,Stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,16.0,18.0
S2_10,Stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,18.0,20.0
S2_11,Stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,20.0,22.0
S2_12,Stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,22.0,24.0
S2_13,Stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,24.0,26.0
S2_14,Stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,26.0,28.0
S2_15,Stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,28.0,29.767777777777777
M_01,Morphology,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,0.0,1.0
M_02,Morphology,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,1.0,2.0
M_03,Morphology,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,2.0,3.0
M_04,Morphology,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,3.0,4.0
M_05,Morphology,2019-07-04 21:33:49.040000+00:00,2019-07-04 22:33:49.040000+00:00,4.0,5.0
M_06,Morphology,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,5.0,6.0
M_07,Morphology,2019-07-04 23:33:49.040000+00:00,2019-07-05 00:33:49.040000+00:00,6.0,7.0
