page,bin_id,subplot_index,stage,start_time,end_time,end_inclusive,bin_event_count,prior_event_count,elapsed_hours_since_mainshock64,figure_path
1,0,0,stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,False,68,0,0.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,1,1,stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,False,70,68,0.5,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,2,2,stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,False,65,138,1.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,3,3,stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,False,65,203,1.5,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,4,4,stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,False,75,268,2.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,5,5,stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,False,72,343,2.5,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,6,6,stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,False,67,415,3.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
1,7,7,stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,False,68,482,3.5,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_01.png
2,8,0,stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,False,270,550,4.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,9,1,stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,False,284,820,6.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,10,2,stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,False,291,1104,8.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,11,3,stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,False,287,1395,10.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,12,4,stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,False,280,1682,12.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,13,5,stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,False,283,1962,14.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,14,6,stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,False,276,2245,16.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
2,15,7,stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,False,306,2521,18.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_02.png
3,16,0,stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,False,283,2827,20.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,17,1,stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,False,314,3110,22.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,18,2,stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,False,287,3424,24.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,19,3,stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,False,283,3711,26.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,20,4,stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,False,279,3994,28.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,21,5,stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,False,229,4273,30.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
3,22,6,stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,True,214,4502,32.0,<PACKAGE_ROOT>/results/exp_run/outputs/02_ridgecrest_figures_and_distribution_plots/ridgecrest_time_sliced_maps_page_03.png
