bin_id,stage,start_time,end_time,end_inclusive,event_count,median_km,q25_km,q75_km,q90_km,fraction_within_0.25km,fraction_within_0.50km,fraction_within_1.00km,fraction_within_2.00km,fraction_within_5.00km
0,stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,False,68,0.5028956654016967,0.20724105817336166,1.5375668111771537,2.150716791149381,0.35294117647058826,0.5,0.6323529411764706,0.8823529411764706,0.9705882352941176
1,stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,False,70,0.754849581916025,0.23245322578971428,1.5744022128585704,2.192919302340515,0.2714285714285714,0.37142857142857144,0.5714285714285714,0.8571428571428571,1.0
2,stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,False,65,0.4220034574887012,0.1429675302127905,1.02049365405004,1.4308813059642065,0.35384615384615387,0.5692307692307692,0.7384615384615385,1.0,1.0
3,stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,False,65,0.5504428204314068,0.1987215898313884,1.4816976776091089,1.9232652890255364,0.2923076923076923,0.47692307692307695,0.5846153846153846,0.9076923076923077,1.0
4,stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,False,75,0.405929853636243,0.14396291631243616,0.8666302753353419,1.3360995577583903,0.3466666666666667,0.6133333333333333,0.7866666666666666,0.96,0.9866666666666667
5,stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,False,72,0.3985398441473825,0.09766306609432615,1.19702576159918,1.7103381490596414,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.9444444444444444,1.0
6,stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,False,67,0.4939880786385661,0.17533977057196043,1.3996399506040778,2.037695099049056,0.3283582089552239,0.5074626865671642,0.6567164179104478,0.8805970149253731,0.9850746268656716
7,stage1,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,False,68,0.3938428653967483,0.1851021306248713,1.071177860375349,1.8024041892876737,0.36764705882352944,0.5735294117647058,0.7058823529411765,0.9264705882352942,1.0
8,stage2,2019-07-04 21:33:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,False,270,0.6030999697691525,0.13317888673004113,1.3672007851849468,1.9618762372490648,0.35185185185185186,0.4777777777777778,0.6333333333333333,0.9037037037037037,0.9962962962962963
9,stage2,2019-07-04 23:33:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,False,284,0.5118267646438343,0.19569290890362917,1.3544538881475745,2.151711440338508,0.2992957746478873,0.49295774647887325,0.6866197183098591,0.8767605633802817,0.9823943661971831
