class_type,class_label,n_segments,activation_time_median_minutes,activation_time_iqr_minutes
distance_to_mw71_km,0-3,1,1050.0,0.0
distance_to_mw71_km,3-6,5,1050.0,150.0
distance_to_mw71_km,6-10,4,60.0,165.0
distance_to_mw71_km,10-15,9,450.0,750.0
distance_to_mw71_km,15+,5,840.0,1140.0
strike_deg,0-15,0,,
strike_deg,15-30,2,240.0,210.0
strike_deg,30-45,3,1530.0,390.0
strike_deg,45-60,2,1200.0,360.0
strike_deg,60-75,0,,
strike_deg,75-90,0,,
strike_deg,90-105,1,570.0,0.0
strike_deg,105-120,0,,
strike_deg,120-135,11,300.0,435.0
strike_deg,135-150,4,1125.0,217.5
strike_deg,150-165,1,1620.0,0.0
strike_deg,165-180,0,,
