cell_id,ix,iy,xmin_km,xmax_km,ymin_km,ymax_km,x_center_km,y_center_km,centroid_longitude,centroid_latitude,onset_bin,onset_minutes,onset_hours,support_candidate_next1,support_candidate_next2,total_cell_events,peak_count,peak_rate_per_hour,confidence_class,occupied,distance_to_mw64_km,distance_to_mw71_km
0,0,0,-27.0,-26.0,-29.0,-28.0,-26.5,-28.5,-117.8354052747617,35.48299696562464,,,,,,0,0,0.0,no events,False,39.498133529683955,39.25836660997548
1,0,1,-27.0,-26.0,-28.0,-27.0,-26.5,-27.5,-117.83543794913236,35.49201000722998,,,,,,0,0,0.0,no events,False,38.88561677629205,38.43469978389552
2,0,2,-27.0,-26.0,-27.0,-26.0,-26.5,-26.5,-117.8354706355986,35.50102303532428,,,,,,0,0,0.0,no events,False,38.28942193108363,37.61958194973887
3,0,3,-27.0,-26.0,-26.0,-25.0,-26.5,-25.5,-117.83550333416603,35.510036049906105,,,,,,0,0,0.0,no events,False,37.71032314314544,36.81358098131801
4,0,4,-27.0,-26.0,-25.0,-24.0,-26.5,-24.5,-117.8355360448404,35.519049050974,,,,,,0,0,0.0,no events,False,37.14911992637716,36.01730893977228
5,0,5,-27.0,-26.0,-24.0,-23.0,-26.5,-23.5,-117.83556876762732,35.52806203852651,,,,,,0,0,0.0,no events,False,36.606635341810026,35.23142548716899
6,0,6,-27.0,-26.0,-23.0,-22.0,-26.5,-22.5,-117.83560150253244,35.53707501256221,,,,,,0,0,0.0,no events,False,36.08371365023502,34.456641456370654
7,0,7,-27.0,-26.0,-22.0,-21.0,-26.5,-21.5,-117.83563424956142,35.546087973079665,,,,,,0,0,0.0,no events,False,35.581217384120784,33.69372254660831
8,0,8,-27.0,-26.0,-21.0,-20.0,-26.5,-20.5,-117.83566700872,35.55510092007742,,,,,,0,0,0.0,no events,False,35.100023793153774,32.94349310019753
9,0,9,-27.0,-26.0,-20.0,-19.0,-26.5,-19.5,-117.83569978001384,35.56411385355405,,,,,,0,0,0.0,no events,False,34.64102062618628,32.20683989834617
10,0,10,-27.0,-26.0,-19.0,-18.0,-26.5,-18.5,-117.83573256344864,35.573126773508115,,,,,,0,0,0.0,no events,False,34.20510122434614,31.484715892519073
11,0,11,-27.0,-26.0,-18.0,-17.0,-26.5,-17.5,-117.83576535903003,35.582139679938166,,,,,,0,0,0.0,no events,False,33.793158915846675,30.77814376189025
12,0,12,-27.0,-26.0,-17.0,-16.0,-26.5,-16.5,-117.83579816676377,35.59115257284281,,,,,,0,0,0.0,no events,False,33.40608072276019,30.08821915671521
13,0,13,-27.0,-26.0,-16.0,-15.0,-26.5,-15.5,-117.8358309866555,35.60016545222056,,,,,,0,0,0.0,no events,False,33.044740413558586,29.416113451941005
14,0,14,-27.0,-26.0,-15.0,-14.0,-26.5,-14.5,-117.83586381871092,35.60917831807004,,,,,,0,0,0.0,no events,False,32.70999096214143,28.76307579540834
15,0,15,-27.0,-26.0,-14.0,-13.0,-26.5,-13.5,-117.8358966629358,35.618191170389785,,,,,,0,0,0.0,no events,False,32.40265650355347,28.130434191589465
16,0,16,-27.0,-26.0,-13.0,-12.0,-26.5,-12.5,-117.83592951933578,35.627204009178364,,,,,,0,0,0.0,no events,False,32.123523907429245,27.519595316833534
17,0,17,-27.0,-26.0,-12.0,-11.0,-26.5,-11.5,-117.83596238791662,35.63621683443438,,,,,,0,0,0.0,no events,False,31.87333412078317,26.932042718613577
18,0,18,-27.0,-26.0,-11.0,-10.0,-26.5,-10.5,-117.835995268684,35.64522964615638,,,,,,0,0,0.0,no events,False,31.652773460140626,26.36933301379023
19,0,19,-27.0,-26.0,-10.0,-9.0,-26.5,-9.5,-117.83602816164364,35.65424244434295,,,,,,0,0,0.0,no events,False,31.46246505699903,25.83308967559064
