domain,metric,value,n_total_domain,n_active_domain
grid_cells,fraction_activated_within_30min,0.19230769230769232,445,104
fault_segments,fraction_activated_within_30min,0.16666666666666666,1019,24
grid_cells,fraction_activated_within_60min,0.25961538461538464,445,104
fault_segments,fraction_activated_within_60min,0.16666666666666666,1019,24
grid_cells,fraction_activated_within_120min,0.3076923076923077,445,104
fault_segments,fraction_activated_within_120min,0.25,1019,24
grid_cells,fraction_activated_within_240min,0.40384615384615385,445,104
fault_segments,fraction_activated_within_240min,0.25,1019,24
grid_cells,activation_time_q10_minutes,0.0,445,104
grid_cells,activation_time_q25_minutes,60.0,445,104
grid_cells,activation_time_q50_minutes,375.0,445,104
grid_cells,activation_time_q75_minutes,757.5,445,104
grid_cells,activation_time_q90_minutes,1251.0,445,104
grid_cells,n_total_domain,445.0,445,104
grid_cells,n_active_domain,104.0,445,104
grid_cells,activation_time_iqr_minutes,697.5,445,104
fault_segments,activation_time_q10_minutes,30.0,1019,24
fault_segments,activation_time_q25_minutes,255.0,1019,24
fault_segments,activation_time_q50_minutes,705.0,1019,24
fault_segments,activation_time_q75_minutes,1087.5,1019,24
fault_segments,activation_time_q90_minutes,1551.0,1019,24
fault_segments,n_total_domain,1019.0,1019,24
fault_segments,n_active_domain,24.0,1019,24
fault_segments,activation_time_iqr_minutes,832.5,1019,24
