stage,interval_index,interval_label,start_time,end_time,start_time_iso,end_time_iso,duration_hours,is_final_interval,bin_inclusion_rule,event_count
stage2,1,stage2_01,2019-07-04T21:33:49.040000+0000,2019-07-04T23:33:49.040000+0000,2019-07-04T21:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,270
stage2,2,stage2_02,2019-07-04T23:33:49.040000+0000,2019-07-05T01:33:49.040000+0000,2019-07-04T23:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,284
stage2,3,stage2_03,2019-07-05T01:33:49.040000+0000,2019-07-05T03:33:49.040000+0000,2019-07-05T01:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,291
stage2,4,stage2_04,2019-07-05T03:33:49.040000+0000,2019-07-05T05:33:49.040000+0000,2019-07-05T03:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,287
stage2,5,stage2_05,2019-07-05T05:33:49.040000+0000,2019-07-05T07:33:49.040000+0000,2019-07-05T05:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,280
stage2,6,stage2_06,2019-07-05T07:33:49.040000+0000,2019-07-05T09:33:49.040000+0000,2019-07-05T07:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,283
stage2,7,stage2_07,2019-07-05T09:33:49.040000+0000,2019-07-05T11:33:49.040000+0000,2019-07-05T09:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,276
stage2,8,stage2_08,2019-07-05T11:33:49.040000+0000,2019-07-05T13:33:49.040000+0000,2019-07-05T11:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,306
stage2,9,stage2_09,2019-07-05T13:33:49.040000+0000,2019-07-05T15:33:49.040000+0000,2019-07-05T13:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,283
stage2,10,stage2_10,2019-07-05T15:33:49.040000+0000,2019-07-05T17:33:49.040000+0000,2019-07-05T15:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,314
stage2,11,stage2_11,2019-07-05T17:33:49.040000+0000,2019-07-05T19:33:49.040000+0000,2019-07-05T17:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,287
stage2,12,stage2_12,2019-07-05T19:33:49.040000+0000,2019-07-05T21:33:49.040000+0000,2019-07-05T19:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,283
stage2,13,stage2_13,2019-07-05T21:33:49.040000+0000,2019-07-05T23:33:49.040000+0000,2019-07-05T21:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,279
stage2,14,stage2_14,2019-07-05T23:33:49.040000+0000,2019-07-06T01:33:49.040000+0000,2019-07-05T23:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,2.0,False,left_closed_right_open_except_final_closed,229
stage2,15,stage2_15,2019-07-06T01:33:49.040000+0000,2019-07-06T03:19:53.040000+0000,2019-07-06T01:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,1.7677777777777777,True,left_closed_right_open_except_final_closed,214
