stage,interval_index,interval_label,start_time,end_time,start_time_iso,end_time_iso,duration_hours,is_final_interval,bin_inclusion_rule,event_count
morphology_1h,1,morphology_1h_01,2019-07-04T17:33:49.040000+0000,2019-07-04T18:33:49.040000+0000,2019-07-04T17:33:49.040000+00:00,2019-07-04T18:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,138
morphology_1h,2,morphology_1h_02,2019-07-04T18:33:49.040000+0000,2019-07-04T19:33:49.040000+0000,2019-07-04T18:33:49.040000+00:00,2019-07-04T19:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,130
morphology_1h,3,morphology_1h_03,2019-07-04T19:33:49.040000+0000,2019-07-04T20:33:49.040000+0000,2019-07-04T19:33:49.040000+00:00,2019-07-04T20:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,147
morphology_1h,4,morphology_1h_04,2019-07-04T20:33:49.040000+0000,2019-07-04T21:33:49.040000+0000,2019-07-04T20:33:49.040000+00:00,2019-07-04T21:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,135
morphology_1h,5,morphology_1h_05,2019-07-04T21:33:49.040000+0000,2019-07-04T22:33:49.040000+0000,2019-07-04T21:33:49.040000+00:00,2019-07-04T22:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,132
morphology_1h,6,morphology_1h_06,2019-07-04T22:33:49.040000+0000,2019-07-04T23:33:49.040000+0000,2019-07-04T22:33:49.040000+00:00,2019-07-04T23:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,138
morphology_1h,7,morphology_1h_07,2019-07-04T23:33:49.040000+0000,2019-07-05T00:33:49.040000+0000,2019-07-04T23:33:49.040000+00:00,2019-07-05T00:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,137
morphology_1h,8,morphology_1h_08,2019-07-05T00:33:49.040000+0000,2019-07-05T01:33:49.040000+0000,2019-07-05T00:33:49.040000+00:00,2019-07-05T01:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,147
morphology_1h,9,morphology_1h_09,2019-07-05T01:33:49.040000+0000,2019-07-05T02:33:49.040000+0000,2019-07-05T01:33:49.040000+00:00,2019-07-05T02:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,139
morphology_1h,10,morphology_1h_10,2019-07-05T02:33:49.040000+0000,2019-07-05T03:33:49.040000+0000,2019-07-05T02:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,152
morphology_1h,11,morphology_1h_11,2019-07-05T03:33:49.040000+0000,2019-07-05T04:33:49.040000+0000,2019-07-05T03:33:49.040000+00:00,2019-07-05T04:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,138
morphology_1h,12,morphology_1h_12,2019-07-05T04:33:49.040000+0000,2019-07-05T05:33:49.040000+0000,2019-07-05T04:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,149
morphology_1h,13,morphology_1h_13,2019-07-05T05:33:49.040000+0000,2019-07-05T06:33:49.040000+0000,2019-07-05T05:33:49.040000+00:00,2019-07-05T06:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,131
morphology_1h,14,morphology_1h_14,2019-07-05T06:33:49.040000+0000,2019-07-05T07:33:49.040000+0000,2019-07-05T06:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,149
morphology_1h,15,morphology_1h_15,2019-07-05T07:33:49.040000+0000,2019-07-05T08:33:49.040000+0000,2019-07-05T07:33:49.040000+00:00,2019-07-05T08:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,142
morphology_1h,16,morphology_1h_16,2019-07-05T08:33:49.040000+0000,2019-07-05T09:33:49.040000+0000,2019-07-05T08:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,141
morphology_1h,17,morphology_1h_17,2019-07-05T09:33:49.040000+0000,2019-07-05T10:33:49.040000+0000,2019-07-05T09:33:49.040000+00:00,2019-07-05T10:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,139
morphology_1h,18,morphology_1h_18,2019-07-05T10:33:49.040000+0000,2019-07-05T11:33:49.040000+0000,2019-07-05T10:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,137
morphology_1h,19,morphology_1h_19,2019-07-05T11:33:49.040000+0000,2019-07-05T12:33:49.040000+0000,2019-07-05T11:33:49.040000+00:00,2019-07-05T12:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,157
morphology_1h,20,morphology_1h_20,2019-07-05T12:33:49.040000+0000,2019-07-05T13:33:49.040000+0000,2019-07-05T12:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,149
morphology_1h,21,morphology_1h_21,2019-07-05T13:33:49.040000+0000,2019-07-05T14:33:49.040000+0000,2019-07-05T13:33:49.040000+00:00,2019-07-05T14:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,135
morphology_1h,22,morphology_1h_22,2019-07-05T14:33:49.040000+0000,2019-07-05T15:33:49.040000+0000,2019-07-05T14:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,148
morphology_1h,23,morphology_1h_23,2019-07-05T15:33:49.040000+0000,2019-07-05T16:33:49.040000+0000,2019-07-05T15:33:49.040000+00:00,2019-07-05T16:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,162
morphology_1h,24,morphology_1h_24,2019-07-05T16:33:49.040000+0000,2019-07-05T17:33:49.040000+0000,2019-07-05T16:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,152
morphology_1h,25,morphology_1h_25,2019-07-05T17:33:49.040000+0000,2019-07-05T18:33:49.040000+0000,2019-07-05T17:33:49.040000+00:00,2019-07-05T18:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,146
morphology_1h,26,morphology_1h_26,2019-07-05T18:33:49.040000+0000,2019-07-05T19:33:49.040000+0000,2019-07-05T18:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,141
morphology_1h,27,morphology_1h_27,2019-07-05T19:33:49.040000+0000,2019-07-05T20:33:49.040000+0000,2019-07-05T19:33:49.040000+00:00,2019-07-05T20:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,142
morphology_1h,28,morphology_1h_28,2019-07-05T20:33:49.040000+0000,2019-07-05T21:33:49.040000+0000,2019-07-05T20:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,141
morphology_1h,29,morphology_1h_29,2019-07-05T21:33:49.040000+0000,2019-07-05T22:33:49.040000+0000,2019-07-05T21:33:49.040000+00:00,2019-07-05T22:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,144
morphology_1h,30,morphology_1h_30,2019-07-05T22:33:49.040000+0000,2019-07-05T23:33:49.040000+0000,2019-07-05T22:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,135
morphology_1h,31,morphology_1h_31,2019-07-05T23:33:49.040000+0000,2019-07-06T00:33:49.040000+0000,2019-07-05T23:33:49.040000+00:00,2019-07-06T00:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,116
morphology_1h,32,morphology_1h_32,2019-07-06T00:33:49.040000+0000,2019-07-06T01:33:49.040000+0000,2019-07-06T00:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,113
morphology_1h,33,morphology_1h_33,2019-07-06T01:33:49.040000+0000,2019-07-06T02:33:49.040000+0000,2019-07-06T01:33:49.040000+00:00,2019-07-06T02:33:49.040000+00:00,1.0,False,left_closed_right_open_except_final_closed,118
morphology_1h,34,morphology_1h_34,2019-07-06T02:33:49.040000+0000,2019-07-06T03:19:53.040000+0000,2019-07-06T02:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,0.7677777777777778,True,left_closed_right_open_except_final_closed,96
