interval_index,interval_label,start_time,end_time,event_count_reference,event_count_actual,convex_status,convex_area_m2,convex_perimeter_m,convex_centroid_distance_to_mainshock71_m,convex_nearest_fault_distance_m,convex_fault_points_within_3km,convex_compactness,convex_major_axis_m,convex_minor_axis_m,convex_orientation_deg,hours_since_mainshock64_start,alpha_status,alpha_area_m2,alpha_perimeter_m,alpha_centroid_distance_to_mainshock71_m,alpha_nearest_fault_distance_m,alpha_fault_points_within_3km,alpha_compactness,alpha_major_axis_m,alpha_minor_axis_m,alpha_orientation_deg,component_count,accepted_triangle_count,hotspot_longitude,hotspot_latitude,step_distance_m,cumulative_path_length_m,hotspot_distance_to_mainshock71_m,hotspot_nearest_fault_distance_m,hotspot_fault_points_within_3km,peak_density,convex_area_change_m2,alpha_area_change_m2,convex_distance_change_to_mainshock71_m,alpha_distance_change_to_mainshock71_m,hotspot_distance_change_to_mainshock71_m,alpha_component_count_change,convex_area_ratio_to_previous,alpha_area_ratio_to_previous,process_flag,near_complex_fault_zone
1,morphology_1h_01,2019-07-04T17:33:49.040000+0000,2019-07-04T18:33:49.040000+0000,138,138,ok,582005073.472655,91465.29276318467,8446.878978193505,2344.173618762194,294,0.8742265201354975,29349.93463350757,24418.013163517182,48.82223978768124,0.0,ok,2284326.6452808334,26119.79502870415,11116.192246526804,539.4131791492138,564,0.042075427814267305,13882.092758762452,7677.860416557172,63.606752144996335,12,47,,,,,,,,,,,,,,,,,bifurcation,True
2,morphology_1h_02,2019-07-04T18:33:49.040000+0000,2019-07-04T19:33:49.040000+0000,130,130,ok,590367047.8189632,100116.52973798796,6151.761166495617,2224.4114085875253,351,0.7401511147658071,35479.053668973465,23609.37946007655,126.63398843160167,1.0,ok,1634892.0160689359,19792.782661412326,13148.912697804382,914.3181652564049,640,0.05244272200064283,15546.29024457312,8296.7279973401,162.9088312928132,9,42,,,,,,,,,8361974.346308112,-649434.6292118975,-2295.117811697888,2032.7204512775788,,-3.0,1.014367528269839,0.7156997531182514,bifurcation,True
3,morphology_1h_03,2019-07-04T19:33:49.040000+0000,2019-07-04T20:33:49.040000+0000,147,147,ok,388257345.27869123,74093.84587073082,10964.274364457155,1398.6913482417003,59,0.8887206462031038,24986.59368523432,19166.756636105485,87.73410447879769,2.0,ok,2005056.6407855204,21985.16584334337,13316.045129394965,1002.3105605904639,633,0.05212871475780882,16461.143596928603,7930.970155859706,63.20470319439431,9,66,,,,,,,,,-202109702.54027194,370164.62471658457,4812.513197961538,167.1324315905822,,0.0,0.6576541605990023,1.226415335739811,defocusing;bifurcation,True
4,morphology_1h_04,2019-07-04T20:33:49.040000+0000,2019-07-04T21:33:49.040000+0000,135,135,ok,596099157.1672021,98471.01257955615,7969.490871220018,2578.555125002874,294,0.7725232594168118,36102.27997849465,23968.25609381227,86.61938324958521,3.0,ok,1836896.403710789,18766.69259976571,12387.528111929276,176.58223892275993,545,0.06554190307010704,17330.566227285286,7078.706170958307,73.89803358990497,10,36,,,,,,,,,207841811.88851088,-168160.23707473138,-2994.783493237137,-928.5170174656887,,1.0,1.5353197162034937,0.9161319268223509,bifurcation,True
5,morphology_1h_05,2019-07-04T21:33:49.040000+0000,2019-07-04T22:33:49.040000+0000,132,132,ok,473978468.7902095,86006.01149493337,11376.906270192778,1362.3996664248216,57,0.8052131558894816,26375.115007264834,24654.339658891564,79.16878588277092,4.0,ok,2489500.8457438387,26866.653119863142,12022.028854998589,571.5465882535201,558,0.04334060864635034,15426.207357699785,9420.099538770924,155.0717016966163,11,50,,,,,,,,,-122120688.37699264,652604.4420330497,3407.41539897276,-365.4992569306869,,1.0,0.7951335999914213,1.3552755837045012,defocusing;bifurcation,True
6,morphology_1h_06,2019-07-04T22:33:49.040000+0000,2019-07-04T23:33:49.040000+0000,138,138,ok,608694781.5196556,100111.99312694444,6410.296418038055,2763.0014598699254,54,0.7631980056994343,37505.783915319,24587.37171790941,86.84362770762084,5.0,ok,1972887.8164124493,19499.861341565284,12635.494092683168,387.62315701646094,536,0.06520024210997011,21083.465568925254,7500.374670202545,74.571722485995,9,52,,,,,,,,,134716312.7294461,-516613.02933138935,-4966.609852154723,613.4652376845788,,-2.0,1.2842245409866366,0.792483288280615,bifurcation,True
7,morphology_1h_07,2019-07-04T23:33:49.040000+0000,2019-07-05T00:33:49.040000+0000,137,137,ok,710088235.2858456,110625.05710799567,11904.245670157714,3271.601850118253,0,0.7291471213501655,37575.18071113979,27069.221577384902,177.63467949049232,6.0,ok,3315728.4134855694,28162.717204151635,9713.67727742071,652.7081077937479,548,0.05253390767036197,16291.640402580917,8869.864398752452,79.3186387697267,12,42,,,,,,,,,101393453.76619005,1342840.59707312,5493.949252119659,-2921.8168152624585,,3.0,1.1665751980213352,1.6806472146576366,defocusing;bifurcation,True
8,morphology_1h_08,2019-07-05T00:33:49.040000+0000,2019-07-05T01:33:49.040000+0000,147,147,ok,822759880.425119,117431.33321726514,8691.801358557206,2275.4622383363458,289,0.7497474327750467,44503.150550268256,24084.41905938142,87.0324453216266,7.0,ok,1683752.0102480669,19835.175011873944,12675.614651534032,384.1002896442596,599,0.05377939568483185,20772.495524293317,8894.22469996696,69.26718233789006,11,35,,,,,,,,,112671645.1392734,-1631976.4032375026,-3212.4443116005077,2961.937374113322,,-1.0,1.1586727388800033,0.5078075765795511,bifurcation,True
9,morphology_1h_09,2019-07-05T01:33:49.040000+0000,2019-07-05T02:33:49.040000+0000,139,139,ok,823042969.7889668,123940.02435616343,12677.125057438589,3455.254695759659,0,0.6733009377595006,42645.48128735716,33946.66871395788,78.05422810964097,8.0,ok,1905123.865900097,28958.61485509415,13325.316382640149,921.899072195455,644,0.028548119879259558,18184.287756346694,8032.52279761572,70.7442353048794,13,44,,,,,,,,,283089.36384773254,221371.8556520301,3985.3236988813824,649.7017311061172,,2.0,1.0003440728827242,1.1314753326527078,defocusing;bifurcation,True
10,morphology_1h_10,2019-07-05T02:33:49.040000+0000,2019-07-05T03:33:49.040000+0000,152,152,ok,417600558.3118324,84209.76776887436,11022.254974989262,1270.0694499375631,194,0.7400243247339741,33091.81133309889,18584.503016923885,36.6898733780109,9.0,ok,2376496.6471639522,23455.023724508443,13395.756328349642,682.1368082806233,630,0.05428443435153375,17221.369599921567,7384.615999986247,154.63527173261082,11,58,,,,,,,,,-405442411.47713435,471372.7812638553,-1654.8700824493262,70.43994570949326,,-2.0,0.5073860948218873,1.2474236923388444,focusing;defocusing;bifurcation,True
