interval_id,start_time,dominant_azimuth_deg,secondary_azimuth_deg,anisotropy_strength,dominant_change_from_prev_deg,sequence_stage
12,2019-07-04 23:33:49.040000+00:00,127.5,157.5,0.2878586639167131,80.0,inter_mainshock_buildup
14,2019-07-05 00:33:49.040000+00:00,47.5,132.5,0.7544907154334963,75.0,inter_mainshock_buildup
25,2019-07-05 06:03:49.040000+00:00,177.5,47.5,0.3283882588425371,50.0,inter_mainshock_buildup
27,2019-07-05 07:03:49.040000+00:00,47.5,27.5,0.5502827182142606,90.0,inter_mainshock_buildup
35,2019-07-05 11:03:49.040000+00:00,122.5,62.5,0.3214523750336133,65.0,inter_mainshock_buildup
45,2019-07-05 16:03:49.040000+00:00,37.5,67.5,0.5113751532845513,80.0,inter_mainshock_buildup
46,2019-07-05 16:33:49.040000+00:00,132.5,152.5,0.6606701026320365,85.0,inter_mainshock_buildup
48,2019-07-05 17:33:49.040000+00:00,57.5,127.5,0.42736735382709246,80.0,inter_mainshock_buildup
49,2019-07-05 18:03:49.040000+00:00,132.5,52.5,0.40403853254783734,75.0,inter_mainshock_buildup
53,2019-07-05 20:03:49.040000+00:00,77.5,117.5,0.4960555258259027,60.0,inter_mainshock_buildup
57,2019-07-05 22:03:49.040000+00:00,147.5,127.5,0.5428912838209831,70.0,inter_mainshock_buildup
58,2019-07-05 22:33:49.040000+00:00,67.5,122.5,0.5574835307123952,80.0,inter_mainshock_buildup
61,2019-07-06 00:03:49.040000+00:00,137.5,102.5,0.3879971676398805,90.0,immediate_pre_71
64,2019-07-06 01:33:49.040000+00:00,67.5,2.5,0.8270812491389752,80.0,immediate_pre_71
66,2019-07-06 02:33:49.040000+00:00,122.5,47.5,0.24327975396971788,70.0,immediate_pre_71
72,2019-07-06 05:33:49.040000+00:00,62.5,122.5,0.3093218276404038,70.0,post_71_plus10h
73,2019-07-06 06:03:49.040000+00:00,142.5,122.5,0.478988889957614,80.0,post_71_plus10h
