figure_group,window_rank,window_label,window_start,window_end,event_count,pair_count_rstar,dominant_azimuth_deg,secondary_azimuth_deg,anisotropy_strength,valid
whole_window_4h,1,whole_window_4h_w1,2019-07-04 17:33:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,550,47371,47.5,67.5,0.5715874715350296,True
whole_window_4h,2,whole_window_4h_w2,2019-07-04 23:14:41.040000+00:00,2019-07-05 03:14:41.040000+00:00,584,44424,47.5,67.5,0.5419057794200249,True
whole_window_4h,3,whole_window_4h_w3,2019-07-05 04:55:33.040000+00:00,2019-07-05 08:55:33.040000+00:00,568,45799,47.5,67.5,0.4348612030412982,True
whole_window_4h,4,whole_window_4h_w4,2019-07-05 10:36:25.040000+00:00,2019-07-05 14:36:25.040000+00:00,580,53873,127.5,147.5,0.4007011838020288,True
whole_window_4h,5,whole_window_4h_w5,2019-07-05 16:17:17.040000+00:00,2019-07-05 20:17:17.040000+00:00,592,45479,132.5,152.5,0.44042595722590355,True
whole_window_4h,6,whole_window_4h_w6,2019-07-05 21:58:09.040000+00:00,2019-07-06 01:58:09.040000+00:00,495,30208,127.5,147.5,0.24281553112559168,True
whole_window_4h,7,whole_window_4h_w7,2019-07-06 03:39:01.040000+00:00,2019-07-06 07:39:01.040000+00:00,654,42371,127.5,147.5,0.3187989500798337,True
whole_window_4h,8,whole_window_4h_w8,2019-07-06 09:19:53.040000+00:00,2019-07-06 13:19:53.040000+00:00,647,37664,122.5,102.5,0.37484034266559363,True
near_mainshock64_30m,1,near_mainshock64_30m_w1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,68,704,42.5,67.5,0.6507702164880564,True
near_mainshock64_30m,2,near_mainshock64_30m_w2,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00,66,594,47.5,67.5,0.6301022634387258,True
near_mainshock64_30m,3,near_mainshock64_30m_w3,2019-07-05 03:03:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,70,762,57.5,32.5,0.3824161210106866,True
near_mainshock64_30m,4,near_mainshock64_30m_w4,2019-07-05 08:03:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,74,954,47.5,67.5,0.5074730856900552,True
near_mainshock64_30m,5,near_mainshock64_30m_w5,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:03:49.040000+00:00,75,1056,122.5,142.5,0.5453712715958549,True
near_mainshock64_30m,6,near_mainshock64_30m_w6,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00,65,541,57.5,127.5,0.42736735382709246,True
near_mainshock64_30m,7,near_mainshock64_30m_w7,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,72,541,147.5,127.5,0.5428912838209831,True
near_mainshock64_30m,8,near_mainshock64_30m_w8,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00,73,389,97.5,172.5,0.48325486685028785,True
near_mainshock71_30m,1,near_mainshock71_30m_w1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,68,704,42.5,67.5,0.6507702164880564,True
near_mainshock71_30m,2,near_mainshock71_30m_w2,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00,66,594,47.5,67.5,0.6301022634387258,True
near_mainshock71_30m,3,near_mainshock71_30m_w3,2019-07-05 03:03:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,70,762,57.5,32.5,0.3824161210106866,True
near_mainshock71_30m,4,near_mainshock71_30m_w4,2019-07-05 08:03:49.040000+00:00,2019-07-05 08:33:49.040000+00:00,74,954,47.5,67.5,0.5074730856900552,True
near_mainshock71_30m,5,near_mainshock71_30m_w5,2019-07-05 12:33:49.040000+00:00,2019-07-05 13:03:49.040000+00:00,75,1056,122.5,142.5,0.5453712715958549,True
near_mainshock71_30m,6,near_mainshock71_30m_w6,2019-07-05 17:33:49.040000+00:00,2019-07-05 18:03:49.040000+00:00,65,541,57.5,127.5,0.42736735382709246,True
near_mainshock71_30m,7,near_mainshock71_30m_w7,2019-07-05 22:03:49.040000+00:00,2019-07-05 22:33:49.040000+00:00,72,541,147.5,127.5,0.5428912838209831,True
near_mainshock71_30m,8,near_mainshock71_30m_w8,2019-07-06 03:03:49.040000+00:00,2019-07-06 03:33:49.040000+00:00,73,389,97.5,172.5,0.48325486685028785,True
