domain,resolution,post_main64_event_count,post_main64_cumulative_energy_joule,first_event_time,first_event_hours_since_main64,first_sustained_activity_time,first_sustained_activity_hours_since_main64,strongest_rate_change_time,strongest_rate_change_hours_since_main64,peak_rate_time,peak_rate_hours_since_main64,strongest_energy_change_time,strongest_energy_change_hours_since_main64,peak_energy_time,peak_energy_hours_since_main64
All_region,1h,4741,3091057191683816.0,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:00:00+00:00,-0.5636222222222222,NaT,,2019-07-05 16:30:00+00:00,22.93637777777778,2019-07-06 00:30:00+00:00,30.93637777777778,2019-07-06 03:30:00+00:00,33.93637777777778
Mw64_neighborhood,1h,3417,270616843531857.78,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:00:00+00:00,-0.5636222222222222,NaT,,2019-07-05 11:30:00+00:00,17.93637777777778,NaT,,2019-07-04 17:30:00+00:00,-0.06362222222222222
Mw71_neighborhood,1h,1638,2831549590399414.0,2019-07-04 17:36:39+00:00,0.04721111111111111,2019-07-04 17:00:00+00:00,-0.5636222222222222,2019-07-04 18:30:00+00:00,0.9363777777777778,2019-07-05 11:30:00+00:00,17.93637777777778,2019-07-06 00:30:00+00:00,30.93637777777778,2019-07-06 03:30:00+00:00,33.93637777777778
Region_A,1h,3032,259362887115332.16,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:00:00+00:00,-0.5636222222222222,NaT,,2019-07-05 02:30:00+00:00,8.936377777777778,NaT,,2019-07-04 17:30:00+00:00,-0.06362222222222222
Region_B,1h,3175,3088396301553143.5,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:00:00+00:00,-0.5636222222222222,NaT,,2019-07-05 11:30:00+00:00,17.93637777777778,2019-07-06 00:30:00+00:00,30.93637777777778,2019-07-06 03:30:00+00:00,33.93637777777778
All_region,30min,4720,3090648994756325.0,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:30:00+00:00,-0.06362222222222222,2019-07-04 17:45:00+00:00,0.18637777777777778,2019-07-05 02:45:00+00:00,9.186377777777778,2019-07-06 01:45:00+00:00,32.18637777777778,2019-07-06 03:15:00+00:00,33.68637777777778
Mw64_neighborhood,30min,3397,270208647713541.12,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:30:00+00:00,-0.06362222222222222,2019-07-04 17:45:00+00:00,0.18637777777777778,2019-07-05 11:45:00+00:00,18.18637777777778,NaT,,2019-07-04 17:45:00+00:00,0.18637777777777778
Mw71_neighborhood,30min,1637,2831549589290239.0,2019-07-04 17:36:39+00:00,0.04721111111111111,2019-07-04 17:30:00+00:00,-0.06362222222222222,2019-07-04 17:45:00+00:00,0.18637777777777778,2019-07-05 11:45:00+00:00,18.18637777777778,2019-07-06 01:45:00+00:00,32.18637777777778,2019-07-06 03:15:00+00:00,33.68637777777778
Region_A,30min,3014,258954691653057.0,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:30:00+00:00,-0.06362222222222222,2019-07-04 17:45:00+00:00,0.18637777777777778,2019-07-05 02:45:00+00:00,9.186377777777778,NaT,,2019-07-04 17:45:00+00:00,0.18637777777777778
Region_B,30min,3160,3087988107329416.5,2019-07-04 17:33:49.040000+00:00,0.0,2019-07-04 17:30:00+00:00,-0.06362222222222222,2019-07-04 17:45:00+00:00,0.18637777777777778,2019-07-05 11:45:00+00:00,18.18637777777778,2019-07-06 01:45:00+00:00,32.18637777777778,2019-07-06 03:15:00+00:00,33.68637777777778
