Starting Ridgecrest fixed-window b-value contrast workflow
Reading interevent catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/TRACE_ridgecrest_relocated.csv
Reading background catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_longterm/catalog_2year_background_before_64.csv
Reading mainshocks: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/main_shock_events.csv
Inferred delta_m interevent=0.01, background=0.01, common=0.01
Center separation = 11.998 km
Prepared 84 subset statistics rows and bootstrap tasks
Bootstrapping subsets with up to 64 workers and 2000 replicates each
bootstrap_worker subset=subset_0002 progress=500/2000
bootstrap_worker subset=subset_0003 progress=500/2000
bootstrap_worker subset=subset_0017 progress=500/2000
bootstrap_worker subset=subset_0013 progress=500/2000
bootstrap_worker subset=subset_0019 progress=500/2000
bootstrap_worker subset=subset_0014 progress=500/2000
bootstrap_worker subset=subset_0007 progress=500/2000
bootstrap_worker subset=subset_0011 progress=500/2000
bootstrap_worker subset=subset_0005 progress=500/2000
bootstrap_worker subset=subset_0001 progress=500/2000
bootstrap_worker subset=subset_0025 progress=500/2000
bootstrap_worker subset=subset_0020 progress=500/2000
bootstrap_worker subset=subset_0023 progress=500/2000
bootstrap_worker subset=subset_0016 progress=500/2000
bootstrap_worker subset=subset_0032 progress=500/2000
bootstrap_worker subset=subset_0024 progress=500/2000
bootstrap_worker subset=subset_0012 progress=500/2000
bootstrap_worker subset=subset_0002 progress=1000/2000
bootstrap_worker subset=subset_0004 progress=500/2000
bootstrap_worker subset=subset_0013 progress=1000/2000
bootstrap_worker subset=subset_0008 progress=500/2000
bootstrap_worker subset=subset_0019 progress=1000/2000
bootstrap_worker subset=subset_0014 progress=1000/2000
bootstrap_worker subset=subset_0009 progress=500/2000
bootstrap_worker subset=subset_0011 progress=1000/2000
bootstrap_worker subset=subset_0007 progress=1000/2000
bootstrap_worker subset=subset_0021 progress=500/2000
bootstrap_worker subset=subset_0001 progress=1000/2000
bootstrap_worker subset=subset_0025 progress=1000/2000
bootstrap_worker subset=subset_0026 progress=500/2000
bootstrap_worker subset=subset_0010 progress=500/2000
bootstrap_worker subset=subset_0018 progress=500/2000
bootstrap_worker subset=subset_0020 progress=1000/2000
bootstrap_worker subset=subset_0029 progress=500/2000
bootstrap_worker subset=subset_0023 progress=1000/2000
bootstrap_worker subset=subset_0038 progress=500/2000
bootstrap_worker subset=subset_0016 progress=1000/2000
bootstrap_worker subset=subset_0034 progress=500/2000
bootstrap_worker subset=subset_0037 progress=500/2000
bootstrap_worker subset=subset_0036 progress=500/2000
bootstrap_worker subset=subset_0013 progress=1500/2000
bootstrap_worker subset=subset_0006 progress=500/2000
bootstrap_worker subset=subset_0019 progress=1500/2000
bootstrap_worker subset=subset_0039 progress=500/2000
bootstrap_worker subset=subset_0014 progress=1500/2000
bootstrap_worker subset=subset_0035 progress=500/2000
bootstrap_worker subset=subset_0008 progress=1000/2000
bootstrap_worker subset=subset_0040 progress=500/2000
bootstrap_worker subset=subset_0011 progress=1500/2000
bootstrap_worker subset=subset_0004 progress=1000/2000
bootstrap_worker subset=subset_0031 progress=500/2000
bootstrap_worker subset=subset_0025 progress=1500/2000
bootstrap_worker subset=subset_0021 progress=1000/2000
bootstrap_worker subset=subset_0026 progress=1000/2000
bootstrap_worker subset=subset_0001 progress=1500/2000
bootstrap_worker subset=subset_0045 progress=500/2000
bootstrap_worker subset=subset_0009 progress=1000/2000
bootstrap_worker subset=subset_0044 progress=500/2000
bootstrap_worker subset=subset_0018 progress=1000/2000
bootstrap_worker subset=subset_0046 progress=500/2000
bootstrap_worker subset=subset_0020 progress=1500/2000
bootstrap_worker subset=subset_0048 progress=500/2000
bootstrap_worker subset=subset_0010 progress=1000/2000
bootstrap_worker subset=subset_0029 progress=1000/2000
bootstrap_worker subset=subset_0042 progress=500/2000
bootstrap_worker subset=subset_0023 progress=1500/2000
bootstrap_worker subset=subset_0016 progress=1500/2000
bootstrap_worker subset=subset_0061 progress=500/2000
bootstrap_worker subset=subset_0034 progress=1000/2000
bootstrap_worker subset=subset_0038 progress=1000/2000
bootstrap_worker subset=subset_0027 progress=500/2000
bootstrap_worker subset=subset_0028 progress=500/2000
bootstrap_worker subset=subset_0002 progress=1500/2000
bootstrap_worker subset=subset_0049 progress=500/2000
bootstrap_worker subset=subset_0022 progress=500/2000
bootstrap_worker subset=subset_0036 progress=1000/2000
bootstrap_worker subset=subset_0013 progress=2000/2000
bootstrap_worker subset=subset_0041 progress=500/2000
bootstrap_worker subset=subset_0019 progress=2000/2000
bootstrap_worker subset=subset_0033 progress=500/2000
bootstrap_worker subset=subset_0030 progress=500/2000
