core_label,radius_km,window_label,window_n,window_step,exploratory,mc_mode,delta_m,fixed_mc,bootstrap_samples,window_index,start_idx,end_idx_exclusive,start_time,end_time,center_time,median_time,hours_since_mw64,event_count,magnitude_min,magnitude_max,seed,b_value,mc,n_ge_mc,status,bootstrap_valid_count,bootstrap_mean,bootstrap_median,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_width,bootstrap_mc_median,bootstrap_n_ge_mc_median,reliability_label
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,0,0,50,2019-07-04 17:35:51.840000+00:00,2019-07-04 18:17:15.040000+00:00,2019-07-04 18:00:12.420000+00:00,2019-07-04 18:00:12.420000+00:00,0.4398277777777778,50,1.8,4.68,20750707,0.5535100182847521,2.56,27,ok,973,0.6565264873951431,0.5839858096650805,0.3344507112422712,0.442897912861951,1.4240439114610284,0.9811459985990774,2.56,27.0,highly_unreliable
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,1,10,60,2019-07-04 17:50:46.620000+00:00,2019-07-04 18:23:34.620000+00:00,2019-07-04 18:06:15.960000+00:00,2019-07-04 18:06:15.960000+00:00,0.5408111111111111,50,1.8,4.04,20750724,0.8878073053314777,2.33,31,ok,985,0.8825198472283197,0.8461497063875468,0.2229041959441302,0.6087524548805909,1.3310674981009643,0.7223150432203733,2.33,28.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,2,20,70,2019-07-04 17:57:31.260000+00:00,2019-07-04 18:31:34.440000+00:00,2019-07-04 18:14:34.560000+00:00,2019-07-04 18:14:34.560000+00:00,0.6793111111111111,50,1.58,4.04,20750741,0.7991489837608775,2.33,26,ok,979,0.8357958088156346,0.782533751195662,0.4213227908974832,0.5535960121796272,1.2690965708645148,0.7155005586848876,2.33,26.0,highly_unreliable
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,3,30,80,2019-07-04 18:03:40.060000+00:00,2019-07-04 18:41:43.960000+00:00,2019-07-04 18:21:50.320000+00:00,2019-07-04 18:21:50.320000+00:00,0.8003555555555556,50,1.58,4.04,20750758,0.8030327067560995,2.33,24,ok,990,0.8106250218086962,0.7786728972124424,0.261539232648236,0.582538407423903,1.1393272653751603,0.5567888579512573,2.31,25.0,highly_unreliable
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,4,40,90,2019-07-04 18:09:21.200000+00:00,2019-07-04 18:49:19.760000+00:00,2019-07-04 18:29:32.400000+00:00,2019-07-04 18:29:32.400000+00:00,0.9287111111111112,50,1.58,4.89,20750775,0.6850781455082252,2.33,19,ok,972,0.7532471191896271,0.7120822213167387,0.5761879946986649,0.46869266954485783,1.100801901984452,0.632109232439594,2.31,21.0,highly_unreliable
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,5,50,100,2019-07-04 18:17:55.680000+00:00,2019-07-04 18:59:54.400000+00:00,2019-07-04 18:38:19.800000+00:00,2019-07-04 18:38:19.800000+00:00,1.0752111111111111,50,1.58,4.89,20750792,0.711609541900737,2.13,32,ok,975,0.771794629301378,0.7184522519533223,0.5892560160889813,0.48411175072534973,1.1392489843885627,0.655137233663213,2.31,27.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,6,60,110,2019-07-04 18:25:05.460000+00:00,2019-07-04 19:07:36.760000+00:00,2019-07-04 18:47:06.180000+00:00,2019-07-04 18:47:06.180000+00:00,1.2214277777777778,50,1.55,4.89,20750809,0.6649036345281377,2.13,33,ok,964,0.7362323097197091,0.6621327876905311,0.4418255456024344,0.44519370711982814,1.1937052048335945,0.7485114977137663,2.31,28.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,7,70,120,2019-07-04 18:32:42.960000+00:00,2019-07-04 19:17:51.180000+00:00,2019-07-04 18:57:15.960000+00:00,2019-07-04 18:57:15.960000+00:00,1.3908111111111112,50,1.11,4.89,20750826,0.6662366235305633,2.13,32,ok,977,0.6877725625770552,0.6499450802031249,0.276312532567568,0.4274499860255438,1.0817402987263194,0.6542903127007755,2.23,27.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,8,80,130,2019-07-04 18:42:02.420000+00:00,2019-07-04 19:30:29.040000+00:00,2019-07-04 19:03:57.960000+00:00,2019-07-04 19:03:57.960000+00:00,1.5024777777777778,50,1.11,4.89,20750843,0.6296058105964181,2.3400000000000003,25,ok,976,0.6111341663761027,0.5722885471786697,0.22530732978650134,0.3509378285662193,1.045685462631724,0.6947476340655048,2.3400000000000003,24.0,highly_unreliable
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,9,90,140,2019-07-04 18:50:15.620000+00:00,2019-07-04 19:38:22.560000+00:00,2019-07-04 19:14:00.400000+00:00,2019-07-04 19:14:00.400000+00:00,1.669822222222222,50,1.11,4.78,20750860,0.5536200534472776,1.75,38,ok,961,0.6715579641752424,0.6039366192077571,0.34919707767667174,0.4077061690842072,1.1964792029643305,0.7887730338801233,2.0500000000000003,25.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,10,100,150,2019-07-04 19:00:09.520000+00:00,2019-07-04 19:51:16.840000+00:00,2019-07-04 19:27:17.960000+00:00,2019-07-04 19:27:17.960000+00:00,1.8913666666666666,50,1.11,4.78,20750877,0.544807816855392,1.56,37,ok,960,0.671511590266086,0.5940954836244035,0.6434163036832389,0.4116566194832153,1.0327793421480977,0.6211227226648824,1.8599999999999999,26.0,exploratory
mw64,5,exploratory_N50_step10,50,10,True,dynamic,0.01,1.5,1000,11,110,160,2019-07-04 19:09:17.180000+00:00,2019-07-04 19:59:06.600000+00:00,2019-07-04 19:34:18.320000+00:00,2019-07-04 19:34:18.320000+00:00,2.0081333333333333,50,1.11,4.78,20750894,0.524416613852672,1.56,38,ok,991,0.5770133548815567,0.5494652137608246,0.1646378926327144,0.39254830263515283,0.8763562714471156,0.48380796881196275,1.8599999999999999,28.0,exploratory
