window_name,radius_km,valid_nodes,valid_fraction,median_b,median_uncertainty,fraction_b_lt_0.9,map_correlation_with_r5
full_interevent,4.0,371,0.09464285714285714,0.6920334859970941,0.05273159255343432,0.8921832884097035,0.9154434448968982
full_interevent,5.0,469,0.11964285714285715,0.685030998339918,0.04770667646895632,0.8955223880597015,
full_interevent,6.0,573,0.1461734693877551,0.6814472847172676,0.04560545748276373,0.900523560209424,0.9224062921122087
full_interevent,7.0,685,0.1747448979591837,0.6809354613547428,0.04260353500061196,0.9007299270072993,0.8611107894454176
pre_separator,4.0,309,0.0788265306122449,0.6330234346240606,0.05425347740555193,0.9223300970873787,0.8946878069552071
pre_separator,5.0,396,0.10102040816326531,0.63143279091748,0.048280133424197694,0.9242424242424242,
pre_separator,6.0,488,0.12448979591836734,0.6276728068339293,0.04525208243608456,0.9200819672131147,0.9030235929213402
pre_separator,7.0,585,0.14923469387755103,0.6267653639298338,0.04213986700120129,0.9282051282051282,0.8120525740154545
post_separator,4.0,270,0.06887755102040816,0.952865417009373,0.12391505679417439,0.44074074074074077,0.9339235085463832
post_separator,5.0,361,0.09209183673469387,0.9706227177995818,0.11531052634833329,0.39335180055401664,
post_separator,6.0,461,0.11760204081632653,0.9700825463432791,0.10371772183608567,0.38177874186550975,0.9359771973912434
post_separator,7.0,564,0.14387755102040817,0.9675588087742819,0.09945337212420838,0.3829787234042553,0.8895537015637593
