domain_label,period_days,bootstrap_replicates_requested,bootstrap_success_count,bootstrap_failure_count,bootstrap_success_fraction,bootstrap_p_median,bootstrap_p_q025,bootstrap_p_q975,bootstrap_warning
Entire area,0.3,1000,1000,0,1.0,0.8399128267668043,0.6326097554963829,2.5,
Entire area,0.5,1000,1000,0,1.0,0.8446215731256004,0.6724485321630728,1.525978605794706,
Entire area,0.68,1000,999,1,0.999,0.8348636923651327,0.6766061791286495,1.2228966040990157,
Entire area,0.732,1000,999,1,0.999,0.8149431782150592,0.6652392125781037,1.1532841436453631,
Entire area,0.85,1000,1000,0,1.0,0.7154824303486094,0.5896819626116911,0.8692833960763849,
Entire area,1.0,1000,999,1,0.999,0.7558819048553169,0.6169803526482721,0.9496036258333663,
Entire area,1.1,1000,1000,0,1.0,0.7753729689195504,0.6615937966377123,0.9683794618369389,
Entire area,1.22,1000,1000,0,1.0,0.800832451792012,0.6789020593004144,1.0336580846617607,
Entire area,1.404,1000,999,1,0.999,0.7877199683646836,0.6661481756171438,0.9624540381169581,
Northern area,0.3,1000,1000,0,1.0,1.0499652531080828,0.6846940219452996,1.5626172783124777,
Northern area,0.5,1000,1000,0,1.0,0.8927316900795199,0.5622413442352603,1.193844408496974,
Northern area,0.68,1000,1000,0,1.0,0.8583920657990463,0.5668107177094678,1.139718057790443,
Northern area,0.732,1000,1000,0,1.0,0.8046837768355285,0.5033596789425473,1.0556176343426784,
Northern area,0.85,1000,1000,0,1.0,0.5936383460636981,0.27113422128685966,0.8447737200712412,
Northern area,1.0,1000,1000,0,1.0,0.6270601854543018,0.358448536927616,0.8701097213654743,
Northern area,1.1,1000,1000,0,1.0,0.6498030643097108,0.3877890895691455,0.8728533472077947,
Northern area,1.22,1000,1000,0,1.0,0.6590843341356072,0.41671885245576856,0.862786645951182,
Northern area,1.404,1000,1000,0,1.0,0.6112013096382012,0.36156560666688536,0.8097526378214731,
Southern area,0.3,1000,1000,0,1.0,1.5109805091435151,0.5979301696806197,2.5,
Southern area,0.5,1000,1000,0,1.0,1.3599554444796331,0.6840745030916783,2.5,
Southern area,0.68,1000,1000,0,1.0,1.1400611812360109,0.6926664044932341,2.5,
Southern area,0.732,1000,999,1,0.999,1.1108503593388117,0.7215708951745136,2.5,
Southern area,0.85,1000,1000,0,1.0,1.0382581667506936,0.6957604272005251,2.0987730567078446,
Southern area,1.0,1000,1000,0,1.0,1.1535485289564786,0.7334698188347025,2.2177764571605683,
Southern area,1.1,1000,999,1,0.999,1.2583347360851151,0.7810819561208457,2.4612865582029597,
Southern area,1.22,1000,999,1,0.999,1.3742786024251588,0.8169607442019073,2.5,
Southern area,1.404,1000,1000,0,1.0,1.4058680549543445,0.8527202164404059,2.5,
