station_id,network,station,latitude,longitude,elevation_m,family,channels,distance_to_midpoint_km
ZY.SV05,ZY,SV05,35.7224,-117.5719,664.0,HH,HHZ/HHN/HHE,3.2479001970401247
ZY.SV03,ZY,SV03,35.7705,-117.5997,671.0,HH,HHZ/HHN/HHE,6.095533564368324
ZY.SV07,ZY,SV07,35.6976,-117.6032,664.0,HH,HHZ/HHN/HHE,7.184310778662232
CI.CLC,CI,CLC,35.81574,-117.59751,775.0,HH,HHZ/HHN/HHE,9.713555990427533
ZY.SV01,ZY,SV01,35.6455,-117.4776,602.0,HH,HHZ/HHN/HHE,12.092585677641996
GS.CA03,GS,CA03,35.62204,-117.56911,762.2,HH,HHZ/HH1/HH2,13.344770309376079
GS.CA01,GS,CA01,35.66512,-117.42368,570.4,HH,HHZ/HH1/HH2,13.659354138035287
GS.CA06,GS,CA06,35.59962,-117.49268,796.4,HH,HHZ/HH1/HH2,16.29128779123657
PB.B921,PB,B921,35.5865,-117.4622,694.5,EH,EHZ/EH1/EH2,18.60015652632772
CI.SRT,CI,SRT,35.69235,-117.75051,667.0,HH,HHZ/HHN/HHE,19.441883892051134
GS.CA02,GS,CA02,35.82915,-117.35542,541.6,HH,HHZ/HH1/HH2,19.628419891550077
ZY.SV06,ZY,SV06,35.6012,-117.3811,597.9,HH,HHZ/HHN/HHE,21.30441499332402
CI.TOW2,CI,TOW2,35.80856,-117.76488,685.0,HH,HHZ/HHN/HHE,21.37795735239584
ZY.SV08,ZY,SV08,35.5761,-117.4187,604.0,HH,HHZ/HHN/HHE,21.446343852873994
ZY.SV02,ZY,SV02,35.8855,-117.7048,688.0,HH,HHZ/HHN/HHE,21.743983878600357
PB.B918,PB,B918,35.9357,-117.6017,1042.6,EH,EHZ/EH1/EH2,22.36288183702665
ZY.SV04,ZY,SV04,35.9023,-117.7018,707.0,HH,HHZ/HHN/HHE,22.995680706912495
CI.WRC2,CI,WRC2,35.9479,-117.65038,943.0,HH,HHZ/HHN/HHE,25.02569060816324
CI.SLA,CI,SLA,35.89095,-117.28332,1174.0,HH,HHZ/HHN/HHE,28.823938423153027
CI.CCC,CI,CCC,35.52495,-117.36453,670.0,HH,HHZ/HHN/HHE,28.88376372523586
GS.CA04,GS,CA04,35.47833,-117.5602,1005.4,HH,HHZ/HH1/HH2,29.16046387327025
CI.LRL,CI,LRL,35.47954,-117.68212,1340.0,HH,HHZ/HHN/HHE,31.5830964723143
CI.WBM,CI,WBM,35.60839,-117.89049,892.0,HH,HHZ/HHN/HHE,34.610643922930706
CI.MPM,CI,MPM,36.05799,-117.48901,1839.0,HH,HHZ/HHN/HHE,35.67230037653914
CI.JRC2,CI,JRC2,35.98249,-117.80885,1469.0,HH,HHZ/HHN/HHE,36.027734073149354
CI.WCS2,CI,WCS2,36.02521,-117.76526,1143.0,HH,HHZ/HHN/HHE,37.466932202714545
PB.B917,PB,B917,35.4053,-117.2588,1192.0,EH,EHZ/EH1/EH2,45.27067233574477
CI.WMF,CI,WMF,36.11758,-117.85486,1537.4,HH,HHZ/HHN/HHE,50.46966332558246
PB.B916,PB,B916,36.1925,-117.6685,1859.9,EH,EHZ/EH1/EH2,51.5362561833208
CI.DTP,CI,DTP,35.26742,-117.84581,908.0,HH,HHZ/HHN/HHE,59.273350842738566
