mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M1,30,7,all,,1926,506,1419,False
M1,30,7,all,1.2,1862,479,1382,False
M1,30,7,all,1.5,1593,371,1221,False
M1,30,7,all,2.0,869,174,694,False
M1,30,7,all,2.5,449,99,349,False
M1,30,7,mainshock_window,,1926,506,1419,False
M1,30,7,mainshock_window,1.2,1862,479,1382,False
M1,30,7,mainshock_window,1.5,1593,371,1221,False
M1,30,7,mainshock_window,2.0,869,174,694,False
M1,30,7,mainshock_window,2.5,449,99,349,False
M1,30,7,stratified,,1923,506,1416,False
M1,30,7,stratified,1.2,1859,479,1379,False
M1,30,7,stratified,1.5,1590,371,1218,False
M1,30,7,stratified,2.0,867,174,692,False
M1,30,7,stratified,2.5,449,99,349,False
M1,30,30,all,,2591,519,2071,True
M1,30,30,all,1.2,2495,492,2002,True
M1,30,30,all,1.5,2060,381,1678,True
M1,30,30,all,2.0,1042,180,861,True
M1,30,30,all,2.5,515,102,412,True
M1,30,30,mainshock_window,,2591,519,2071,True
M1,30,30,mainshock_window,1.2,2495,492,2002,True
M1,30,30,mainshock_window,1.5,2060,381,1678,True
M1,30,30,mainshock_window,2.0,1042,180,861,True
M1,30,30,mainshock_window,2.5,515,102,412,True
M1,30,30,stratified,,2586,519,2066,True
M1,30,30,stratified,1.2,2490,492,1997,True
M1,30,30,stratified,1.5,2056,381,1674,True
M1,30,30,stratified,2.0,1040,180,859,True
M1,30,30,stratified,2.5,515,102,412,True
M1,30,60,all,,2882,543,2338,True
M1,30,60,all,1.2,2769,512,2256,True
M1,30,60,all,1.5,2261,392,1868,True
M1,30,60,all,2.0,1121,186,934,True
M1,30,60,all,2.5,553,108,444,True
M1,30,60,mainshock_window,,2882,543,2338,True
M1,30,60,mainshock_window,1.2,2769,512,2256,True
M1,30,60,mainshock_window,1.5,2261,392,1868,True
M1,30,60,mainshock_window,2.0,1121,186,934,True
M1,30,60,mainshock_window,2.5,553,108,444,True
M1,30,60,stratified,,2877,543,2333,True
M1,30,60,stratified,1.2,2764,512,2251,True
M1,30,60,stratified,1.5,2257,392,1864,True
M1,30,60,stratified,2.0,1119,186,932,True
M1,30,60,stratified,2.5,553,108,444,True
M1,30,90,all,,3060,562,2497,True
M1,30,90,all,1.2,2935,528,2406,True
M1,30,90,all,1.5,2382,400,1981,True
M1,30,90,all,2.0,1166,188,977,True
M1,30,90,all,2.5,566,108,457,True
M1,30,90,mainshock_window,,3057,560,2496,True
M1,30,90,mainshock_window,1.2,2933,526,2406,True
M1,30,90,mainshock_window,1.5,2381,399,1981,True
M1,30,90,mainshock_window,2.0,1166,188,977,True
M1,30,90,mainshock_window,2.5,566,108,457,True
M1,30,90,stratified,,3052,560,2491,True
M1,30,90,stratified,1.2,2928,526,2401,True
M1,30,90,stratified,1.5,2377,399,1977,True
M1,30,90,stratified,2.0,1164,188,975,True
M1,30,90,stratified,2.5,566,108,457,True
M1,44,7,all,,2233,509,1723,False
M1,44,7,all,1.2,2161,481,1679,False
M1,44,7,all,1.5,1844,373,1470,False
M1,44,7,all,2.0,991,175,815,False
M1,44,7,all,2.5,505,99,405,False
M1,44,7,mainshock_window,,2233,509,1723,False
M1,44,7,mainshock_window,1.2,2161,481,1679,False
M1,44,7,mainshock_window,1.5,1844,373,1470,False
M1,44,7,mainshock_window,2.0,991,175,815,False
M1,44,7,mainshock_window,2.5,505,99,405,False
M1,44,7,stratified,,2230,509,1720,False
M1,44,7,stratified,1.2,2158,481,1676,False
M1,44,7,stratified,1.5,1841,373,1467,False
M1,44,7,stratified,2.0,989,175,813,False
M1,44,7,stratified,2.5,505,99,405,False
M1,44,30,all,,3156,540,2615,True
M1,44,30,all,1.2,3034,510,2523,True
M1,44,30,all,1.5,2478,393,2084,True
M1,44,30,all,2.0,1232,185,1046,True
M1,44,30,all,2.5,603,104,498,True
M1,44,30,mainshock_window,,3156,540,2615,True
M1,44,30,mainshock_window,1.2,3034,510,2523,True
M1,44,30,mainshock_window,1.5,2478,393,2084,True
M1,44,30,mainshock_window,2.0,1232,185,1046,True
M1,44,30,mainshock_window,2.5,603,104,498,True
M1,44,30,stratified,,3151,540,2610,True
M1,44,30,stratified,1.2,3029,510,2518,True
M1,44,30,stratified,1.5,2474,393,2080,True
M1,44,30,stratified,2.0,1230,185,1044,True
M1,44,30,stratified,2.5,603,104,498,True
M1,44,60,all,,3544,566,2977,True
M1,44,60,all,1.2,3388,532,2855,True
M1,44,60,all,1.5,2731,405,2325,True
M1,44,60,all,2.0,1323,191,1131,True
M1,44,60,all,2.5,644,110,533,True
M1,44,60,mainshock_window,,3544,566,2977,True
