mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,metric,value
M1,30.0,7.0,all,,n_total,1926.0
M1,30.0,7.0,all,,rate_ratio,2.8043478260869565
M1,30.0,7.0,all,,post_omori_p,
M1,30.0,7.0,all,1.2,n_total,1862.0
M1,30.0,7.0,all,1.2,rate_ratio,2.8851774530271395
M1,30.0,7.0,all,1.2,post_omori_p,
M1,30.0,7.0,all,1.5,n_total,1593.0
M1,30.0,7.0,all,1.5,rate_ratio,3.2911051212938003
M1,30.0,7.0,all,1.5,post_omori_p,
M1,30.0,7.0,all,2.0,n_total,869.0
M1,30.0,7.0,all,2.0,rate_ratio,3.9885057471264367
M1,30.0,7.0,all,2.0,post_omori_p,
M1,30.0,7.0,all,2.5,n_total,449.0
M1,30.0,7.0,all,2.5,rate_ratio,3.525252525252525
M1,30.0,7.0,all,2.5,post_omori_p,
M1,30.0,7.0,mainshock_window,,n_total,1926.0
M1,30.0,7.0,mainshock_window,,rate_ratio,2.8043478260869565
M1,30.0,7.0,mainshock_window,,post_omori_p,
M1,30.0,7.0,mainshock_window,1.2,n_total,1862.0
M1,30.0,7.0,mainshock_window,1.2,rate_ratio,2.8851774530271395
M1,30.0,7.0,mainshock_window,1.2,post_omori_p,
M1,30.0,7.0,mainshock_window,1.5,n_total,1593.0
M1,30.0,7.0,mainshock_window,1.5,rate_ratio,3.2911051212938003
M1,30.0,7.0,mainshock_window,1.5,post_omori_p,
M1,30.0,7.0,mainshock_window,2.0,n_total,869.0
M1,30.0,7.0,mainshock_window,2.0,rate_ratio,3.9885057471264367
M1,30.0,7.0,mainshock_window,2.0,post_omori_p,
M1,30.0,7.0,mainshock_window,2.5,n_total,449.0
M1,30.0,7.0,mainshock_window,2.5,rate_ratio,3.525252525252525
M1,30.0,7.0,mainshock_window,2.5,post_omori_p,
M1,30.0,7.0,stratified,,n_total,1923.0
M1,30.0,7.0,stratified,,rate_ratio,2.798418972332016
M1,30.0,7.0,stratified,,post_omori_p,
M1,30.0,7.0,stratified,1.2,n_total,1859.0
M1,30.0,7.0,stratified,1.2,rate_ratio,2.8789144050104385
M1,30.0,7.0,stratified,1.2,post_omori_p,
M1,30.0,7.0,stratified,1.5,n_total,1590.0
M1,30.0,7.0,stratified,1.5,rate_ratio,3.2830188679245285
M1,30.0,7.0,stratified,1.5,post_omori_p,
M1,30.0,7.0,stratified,2.0,n_total,867.0
M1,30.0,7.0,stratified,2.0,rate_ratio,3.977011494252874
M1,30.0,7.0,stratified,2.0,post_omori_p,
M1,30.0,7.0,stratified,2.5,n_total,449.0
M1,30.0,7.0,stratified,2.5,rate_ratio,3.525252525252525
M1,30.0,7.0,stratified,2.5,post_omori_p,
M1,30.0,30.0,all,,n_total,2591.0
M1,30.0,30.0,all,,rate_ratio,3.990366088631984
M1,30.0,30.0,all,,post_omori_p,0.6035498463481743
M1,30.0,30.0,all,1.2,n_total,2495.0
M1,30.0,30.0,all,1.2,rate_ratio,4.069105691056911
M1,30.0,30.0,all,1.2,post_omori_p,0.614059930112035
M1,30.0,30.0,all,1.5,n_total,2060.0
M1,30.0,30.0,all,1.5,rate_ratio,4.404199475065616
M1,30.0,30.0,all,1.5,post_omori_p,0.6696377594670564
M1,30.0,30.0,all,2.0,n_total,1042.0
M1,30.0,30.0,all,2.0,rate_ratio,4.783333333333333
M1,30.0,30.0,all,2.0,post_omori_p,0.8523939478044064
M1,30.0,30.0,all,2.5,n_total,515.0
M1,30.0,30.0,all,2.5,rate_ratio,4.03921568627451
M1,30.0,30.0,all,2.5,post_omori_p,0.996357449739344
M1,30.0,30.0,mainshock_window,,n_total,2591.0
M1,30.0,30.0,mainshock_window,,rate_ratio,3.990366088631984
M1,30.0,30.0,mainshock_window,,post_omori_p,0.6035498463481743
M1,30.0,30.0,mainshock_window,1.2,n_total,2495.0
M1,30.0,30.0,mainshock_window,1.2,rate_ratio,4.069105691056911
M1,30.0,30.0,mainshock_window,1.2,post_omori_p,0.614059930112035
M1,30.0,30.0,mainshock_window,1.5,n_total,2060.0
