mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_post,rate_ratio,moving_rate_max,post_omori_p,radial_iqr_km,depth_iqr_km,baseline_rate_ratio,baseline_moving_rate_max,baseline_post_omori_p,rate_ratio_delta,sparse_flag
M1,30.0,7.0,all,,1926,1419,2.8043478260869565,218.57142857142856,,,,5.408496732026144,271.0,0.6383674259945586,-2.6041489059391876,False
M1,30.0,7.0,all,1.2,1862,1382,2.8851774530271395,213.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-2.5233192789990047,False
M1,30.0,7.0,all,1.5,1593,1221,3.2911051212938003,189.1428571428572,,,,5.408496732026144,271.0,0.6383674259945586,-2.117391610732344,False
M1,30.0,7.0,all,2.0,869,694,3.9885057471264367,110.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.4199909848997074,False
M1,30.0,7.0,all,2.5,449,349,3.525252525252525,58.285714285714285,,,,5.408496732026144,271.0,0.6383674259945586,-1.883244206773619,False
M1,30.0,7.0,mainshock_window,,1926,1419,2.8043478260869565,218.57142857142856,,,,5.408496732026144,271.0,0.6383674259945586,-2.6041489059391876,False
M1,30.0,7.0,mainshock_window,1.2,1862,1382,2.8851774530271395,213.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-2.5233192789990047,False
M1,30.0,7.0,mainshock_window,1.5,1593,1221,3.2911051212938003,189.1428571428572,,,,5.408496732026144,271.0,0.6383674259945586,-2.117391610732344,False
M1,30.0,7.0,mainshock_window,2.0,869,694,3.9885057471264367,110.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.4199909848997074,False
M1,30.0,7.0,mainshock_window,2.5,449,349,3.525252525252525,58.285714285714285,,,,5.408496732026144,271.0,0.6383674259945586,-1.883244206773619,False
M1,30.0,7.0,stratified,,1923,1416,2.798418972332016,218.1428571428572,,,,5.408496732026144,271.0,0.6383674259945586,-2.610077759694128,False
M1,30.0,7.0,stratified,1.2,1859,1379,2.8789144050104385,212.8571428571429,,,,5.408496732026144,271.0,0.6383674259945586,-2.5295823270157056,False
M1,30.0,7.0,stratified,1.5,1590,1218,3.2830188679245285,188.7142857142857,,,,5.408496732026144,271.0,0.6383674259945586,-2.1254778641016157,False
M1,30.0,7.0,stratified,2.0,867,692,3.977011494252874,110.14285714285714,,,,5.408496732026144,271.0,0.6383674259945586,-1.4314852377732703,False
M1,30.0,7.0,stratified,2.5,449,349,3.525252525252525,58.285714285714285,,,,5.408496732026144,271.0,0.6383674259945586,-1.883244206773619,False
M1,30.0,30.0,all,,2591,2071,3.990366088631984,237.0,0.6035498463481743,,,5.408496732026144,271.0,0.6383674259945586,-1.4181306433941603,False
M1,30.0,30.0,all,1.2,2495,2002,4.069105691056911,230.0,0.614059930112035,,,5.408496732026144,271.0,0.6383674259945586,-1.3393910409692333,False
M1,30.0,30.0,all,1.5,2060,1678,4.404199475065616,201.1428571428572,0.6696377594670564,,,5.408496732026144,271.0,0.6383674259945586,-1.0042972569605277,False
M1,30.0,30.0,all,2.0,1042,861,4.783333333333333,115.28571428571428,0.8523939478044064,,,5.408496732026144,271.0,0.6383674259945586,-0.6251633986928109,False
M1,30.0,30.0,all,2.5,515,412,4.03921568627451,60.0,0.996357449739344,,,5.408496732026144,271.0,0.6383674259945586,-1.3692810457516345,False
M1,30.0,30.0,mainshock_window,,2591,2071,3.990366088631984,237.0,0.6035498463481743,,,5.408496732026144,271.0,0.6383674259945586,-1.4181306433941603,False
M1,30.0,30.0,mainshock_window,1.2,2495,2002,4.069105691056911,230.0,0.614059930112035,,,5.408496732026144,271.0,0.6383674259945586,-1.3393910409692333,False
M1,30.0,30.0,mainshock_window,1.5,2060,1678,4.404199475065616,201.1428571428572,0.6696377594670564,,,5.408496732026144,271.0,0.6383674259945586,-1.0042972569605277,False
M1,30.0,30.0,mainshock_window,2.0,1042,861,4.783333333333333,115.28571428571428,0.8523939478044064,,,5.408496732026144,271.0,0.6383674259945586,-0.6251633986928109,False
M1,30.0,30.0,mainshock_window,2.5,515,412,4.03921568627451,60.0,0.996357449739344,,,5.408496732026144,271.0,0.6383674259945586,-1.3692810457516345,False
M1,30.0,30.0,stratified,,2586,2066,3.980732177263969,236.57142857142856,0.6035601864929089,,,5.408496732026144,271.0,0.6383674259945586,-1.4277645547621751,False
M1,30.0,30.0,stratified,1.2,2490,1997,4.058943089430894,229.57142857142856,0.6140914887403828,,,5.408496732026144,271.0,0.6383674259945586,-1.3495536425952501,False
M1,30.0,30.0,stratified,1.5,2056,1674,4.393700787401575,200.7142857142857,0.6695024298308427,,,5.408496732026144,271.0,0.6383674259945586,-1.0147959446245691,False
M1,30.0,30.0,stratified,2.0,1040,859,4.772222222222222,115.0,0.8518837975032474,,,5.408496732026144,271.0,0.6383674259945586,-0.636274509803922,False
M1,30.0,30.0,stratified,2.5,515,412,4.03921568627451,60.0,0.996357449739344,,,5.408496732026144,271.0,0.6383674259945586,-1.3692810457516345,False
M1,30.0,60.0,all,,2882,2338,4.305709023941068,235.8571428571429,0.6604643338043101,,,5.408496732026144,271.0,0.6383674259945586,-1.102787708085076,False
M1,30.0,60.0,all,1.2,2769,2256,4.40625,228.7142857142857,0.6702358640119311,,,5.408496732026144,271.0,0.6383674259945586,-1.0022467320261441,False
M1,30.0,60.0,all,1.5,2261,1868,4.76530612244898,199.7142857142857,0.7225814613581448,,,5.408496732026144,271.0,0.6383674259945586,-0.6431906095771645,False
M1,30.0,60.0,all,2.0,1121,934,5.021505376344086,114.71428571428572,0.886481161475677,,,5.408496732026144,271.0,0.6383674259945586,-0.3869913556820581,False
M1,30.0,60.0,all,2.5,553,444,4.111111111111112,58.142857142857146,1.0035838657424858,,,5.408496732026144,271.0,0.6383674259945586,-1.2973856209150325,False
M1,30.0,60.0,mainshock_window,,2882,2338,4.305709023941068,235.8571428571429,0.6604643338043101,,,5.408496732026144,271.0,0.6383674259945586,-1.102787708085076,False
M1,30.0,60.0,mainshock_window,1.2,2769,2256,4.40625,228.7142857142857,0.6702358640119311,,,5.408496732026144,271.0,0.6383674259945586,-1.0022467320261441,False
M1,30.0,60.0,mainshock_window,1.5,2261,1868,4.76530612244898,199.7142857142857,0.7225814613581448,,,5.408496732026144,271.0,0.6383674259945586,-0.6431906095771645,False
M1,30.0,60.0,mainshock_window,2.0,1121,934,5.021505376344086,114.71428571428572,0.886481161475677,,,5.408496732026144,271.0,0.6383674259945586,-0.3869913556820581,False
M1,30.0,60.0,mainshock_window,2.5,553,444,4.111111111111112,58.142857142857146,1.0035838657424858,,,5.408496732026144,271.0,0.6383674259945586,-1.2973856209150325,False
M1,30.0,60.0,stratified,,2877,2333,4.296500920810312,235.42857142857144,0.6602128046373527,,,5.408496732026144,271.0,0.6383674259945586,-1.1119958112158317,False
M1,30.0,60.0,stratified,1.2,2764,2251,4.396484375,228.28571428571428,0.6699957797454514,,,5.408496732026144,271.0,0.6383674259945586,-1.0120123570261441,False
M1,30.0,60.0,stratified,1.5,2257,1864,4.755102040816326,199.28571428571428,0.7222298010348742,,,5.408496732026144,271.0,0.6383674259945586,-0.6533946912098179,False
M1,30.0,60.0,stratified,2.0,1119,932,5.010752688172043,114.42857142857144,0.8859031208633504,,,5.408496732026144,271.0,0.6383674259945586,-0.3977440438541011,False
M1,30.0,60.0,stratified,2.5,553,444,4.111111111111112,58.142857142857146,1.0035838657424858,,,5.408496732026144,271.0,0.6383674259945586,-1.2973856209150325,False
M1,30.0,90.0,all,,3060,2497,4.443060498220641,232.1428571428572,0.6909388674323492,,,5.408496732026144,271.0,0.6383674259945586,-0.9654362338055034,False
M1,30.0,90.0,all,1.2,2935,2406,4.556818181818183,225.57142857142856,0.700128791568374,,,5.408496732026144,271.0,0.6383674259945586,-0.8516785502079607,False
M1,30.0,90.0,all,1.5,2382,1981,4.952500000000001,198.1428571428572,0.7501667797695244,,,5.408496732026144,271.0,0.6383674259945586,-0.45599673202614355,False
M1,30.0,90.0,all,2.0,1166,977,5.196808510638298,113.71428571428572,0.902029067370246,,,5.408496732026144,271.0,0.6383674259945586,-0.21168822138784638,False
M1,30.0,90.0,all,2.5,566,457,4.231481481481482,59.71428571428572,1.0144073929088848,,,5.408496732026144,271.0,0.6383674259945586,-1.1770152505446623,False
M1,30.0,90.0,mainshock_window,,3057,2496,4.457142857142857,232.1428571428572,0.6911460336892028,,,5.408496732026144,271.0,0.6383674259945586,-0.9513538748832868,False
M1,30.0,90.0,mainshock_window,1.2,2933,2406,4.574144486692016,225.57142857142856,0.700128791568374,,,5.408496732026144,271.0,0.6383674259945586,-0.8343522453341281,False
M1,30.0,90.0,mainshock_window,1.5,2381,1981,4.964912280701754,198.1428571428572,0.7501667797695244,,,5.408496732026144,271.0,0.6383674259945586,-0.44358445132438984,False
M1,30.0,90.0,mainshock_window,2.0,1166,977,5.196808510638298,113.71428571428572,0.902029067370246,,,5.408496732026144,271.0,0.6383674259945586,-0.21168822138784638,False
M1,30.0,90.0,mainshock_window,2.5,566,457,4.231481481481482,59.71428571428572,1.0144073929088848,,,5.408496732026144,271.0,0.6383674259945586,-1.1770152505446623,False
M1,30.0,90.0,stratified,,3052,2491,4.448214285714285,231.7142857142857,0.6909067911940292,,,5.408496732026144,271.0,0.6383674259945586,-0.9602824463118589,False
M1,30.0,90.0,stratified,1.2,2928,2401,4.564638783269962,225.1428571428572,0.6998971737934533,,,5.408496732026144,271.0,0.6383674259945586,-0.8438579487561819,False
M1,30.0,90.0,stratified,1.5,2377,1977,4.954887218045112,197.7142857142857,0.7498589773345948,,,5.408496732026144,271.0,0.6383674259945586,-0.4536095139810321,False
M1,30.0,90.0,stratified,2.0,1164,975,5.1861702127659575,113.42857142857144,0.9015133335497424,,,5.408496732026144,271.0,0.6383674259945586,-0.22232651926018665,False
M1,30.0,90.0,stratified,2.5,566,457,4.231481481481482,59.71428571428572,1.0144073929088848,,,5.408496732026144,271.0,0.6383674259945586,-1.1770152505446623,False
M1,44.0,7.0,all,,2233,1723,3.3850687622789786,250.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-2.0234279697471655,False
M1,44.0,7.0,all,1.2,2161,1679,3.490644490644491,244.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.9178522413816532,False
M1,44.0,7.0,all,1.5,1844,1470,3.941018766756032,216.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.467477965270112,False
M1,44.0,7.0,all,2.0,991,815,4.6571428571428575,124.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-0.7513538748832866,False
M1,44.0,7.0,all,2.5,505,405,4.090909090909091,65.0,,,,5.408496732026144,271.0,0.6383674259945586,-1.3175876411170533,False
M1,44.0,7.0,mainshock_window,,2233,1723,3.3850687622789786,250.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-2.0234279697471655,False
M1,44.0,7.0,mainshock_window,1.2,2161,1679,3.490644490644491,244.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.9178522413816532,False
M1,44.0,7.0,mainshock_window,1.5,1844,1470,3.941018766756032,216.42857142857144,,,,5.408496732026144,271.0,0.6383674259945586,-1.467477965270112,False
M1,44.0,7.0,mainshock_window,2.0,991,815,4.6571428571428575,124.28571428571428,,,,5.408496732026144,271.0,0.6383674259945586,-0.7513538748832866,False
M1,44.0,7.0,mainshock_window,2.5,505,405,4.090909090909091,65.0,,,,5.408496732026144,271.0,0.6383674259945586,-1.3175876411170533,False
M1,44.0,7.0,stratified,,2230,1720,3.37917485265226,249.8571428571429,,,,5.408496732026144,271.0,0.6383674259945586,-2.0293218793738843,False
M1,44.0,7.0,stratified,1.2,2158,1676,3.4844074844074844,244.0,,,,5.408496732026144,271.0,0.6383674259945586,-1.9240892476186597,False
M1,44.0,7.0,stratified,1.5,1841,1467,3.932975871313673,216.0,,,,5.408496732026144,271.0,0.6383674259945586,-1.475520860712471,False
M1,44.0,7.0,stratified,2.0,989,813,4.645714285714286,124.0,,,,5.408496732026144,271.0,0.6383674259945586,-0.7627824463118582,False
M1,44.0,7.0,stratified,2.5,505,405,4.090909090909091,65.0,,,,5.408496732026144,271.0,0.6383674259945586,-1.3175876411170533,False
