mainshock,mag_threshold,time_window_days,observed_ratio_median,randomized_ratio_median,observed_rate_median,randomized_rate_median,ratio_excess
M1,1.2,7.0,3.5165289256198347,8.472670807453417,243.14285714285714,135.07142857142858,0.4150437336154192
M1,1.2,30.0,5.109161793372319,59.45006402048656,87.36666666666666,85.03333333333333,0.08594039178177666
M1,1.2,60.0,5.537313432835821,37.07218813905931,49.46666666666667,54.59166666666667,0.14936570272208183
M1,1.2,90.0,5.591872791519434,24.24364557412016,35.166666666666664,39.12777777777778,0.23065313236094745
M1,1.5,7.0,3.9627659574468086,10.641975308641976,212.85714285714286,117.85714285714286,0.3723712790640272
M1,1.5,30.0,5.457070707070708,115.10997732426304,72.03333333333333,71.28333333333333,0.04740745184666507
M1,1.5,60.0,5.8997555012224945,50.86234764175941,40.21666666666667,44.44166666666666,0.11599455736444673
M1,1.5,90.0,6.004694835680751,31.993106617647058,28.42222222222222,31.594444444444445,0.1876871448416524
M1,2.0,7.0,4.6440677966101696,16.43103448275862,117.42857142857143,66.28571428571429,0.28264001280523593
M1,2.0,30.0,5.7967914438502675,140.62820512820514,36.13333333333333,36.983333333333334,0.041220688542284695
M1,2.0,60.0,6.098445595854923,53.45053475935829,19.616666666666667,21.925,0.11409512782820544
M1,2.0,90.0,6.134328358208955,35.36600496277916,13.7,15.277777777777779,0.17345268046716075
M1,,7.0,3.41015625,8.140650406504065,249.42857142857142,138.92857142857144,0.4189046427144712
M1,,30.0,5.003683241252301,52.972419028340084,90.56666666666666,88.11666666666667,0.09445827343801962
M1,,60.0,5.429824561403509,32.439112841655216,51.583333333333336,56.85,0.1673851127775309
M1,,90.0,5.408496732026144,21.23251748251748,36.77777777777778,40.91111111111111,0.2547270589311614
M2,1.2,7.0,156.6,348.2925170068027,111.85714285714286,55.85714285714286,0.4496220629309166
M2,1.2,30.0,34.26470588235294,19.403735632183906,38.833333333333336,24.6,1.7658819173726508
M2,1.2,60.0,32.56818181818182,18.044944082013046,23.883333333333333,15.816666666666666,1.8048369487963856
M2,1.2,90.0,31.40816326530613,15.943839827982952,17.1,11.666666666666668,1.9699246608199
M2,1.5,7.0,128.75,227.7906976744186,73.57142857142857,36.07142857142857,0.565211842776927
M2,1.5,30.0,35.142857142857146,20.494145490782262,24.6,15.183333333333334,1.7147754298252393
M2,1.5,60.0,36.83333333333333,21.172254616132168,14.733333333333333,9.583333333333334,1.7396982041425209
M2,1.5,90.0,33.964285714285715,18.56025641025641,10.566666666666666,7.083333333333333,1.8299470095422294
M2,2.0,7.0,256.0,0.45,36.57142857142857,17.71428571428571,568.8888888888889
M2,2.0,30.0,51.142857142857146,29.700354609929075,11.933333333333334,7.2,1.721961162233385
M2,2.0,60.0,59.857142857142854,35.079353233830844,6.983333333333333,4.4,1.706335417821104
M2,2.0,90.0,55.375,27.9410447761194,4.9222222222222225,3.177777777777778,1.9818514462754735
M2,,7.0,103.5,65.22651222651223,147.85714285714286,76.57142857142857,1.5867780825161304
M2,,30.0,26.046875000000004,14.147889549583294,55.56666666666667,36.63333333333333,1.8410431399478362
M2,,60.0,26.68354430379747,14.600813499144408,35.13333333333333,24.058333333333334,1.827538191989172
M2,,90.0,25.032967032967033,13.08922670191672,25.31111111111111,17.91111111111111,1.9124863219995518
M3,1.2,7.0,38.01851851851852,2.1620689655172414,293.2857142857143,5.571428571428571,17.584322759761356
M3,1.2,30.0,5.323340471092076,13.638801020408165,82.86666666666666,25.333333333333336,0.3903085368814015
M3,1.2,60.0,4.04885993485342,11.2903815204014,41.43333333333333,16.025,0.3586114364281884
M3,1.2,90.0,3.253926701570681,9.301980920537622,27.622222222222224,12.661111111111111,0.34981008124693247
M3,1.5,7.0,51.80645161290322,2.4583333333333335,229.42857142857142,4.7142857142857135,21.07381082558775
M3,1.5,30.0,6.037854889589905,15.495127504553736,63.8,20.916666666666668,0.38966151700368323
M3,1.5,60.0,4.546318289786223,13.777040075194396,31.9,12.925,0.3299923833401547
M3,1.5,90.0,3.6181474480151223,11.05407523510972,21.266666666666666,10.055555555555555,0.3273134451377026
M3,2.0,7.0,94.44444444444444,2.239130434782609,121.42857142857143,1.9285714285714284,42.17907227615965
M3,2.0,30.0,6.703448275862069,25.124695863746958,32.4,10.916666666666666,0.2668071411576623
M3,2.0,60.0,4.909090909090909,21.230686090225564,16.2,6.466666666666667,0.23122620193376675
M3,2.0,90.0,4.050000000000001,15.425259643916911,10.8,4.927777777777777,0.2625563584336264
M3,,7.0,31.416666666666668,2.093108504398827,323.14285714285717,6.285714285714286,15.009573847051955
M3,,30.0,5.049090909090909,12.809976247030878,92.56666666666666,26.85,0.39415302665070884
M3,,60.0,3.9223163841807906,10.547932918600441,46.28333333333333,17.108333333333334,0.3718564020505001
M3,,90.0,3.1700913242009134,8.225033179381006,30.855555555555554,13.716666666666667,0.3854198828216139
