dataset,n_rows,n_cols,columns
catalog,25646,5,"[""datetime"", ""lat"", ""lon"", ""dep"", ""mag""]"
main,3,6,"[""index"", ""datetime"", ""lat"", ""lon"", ""dep"", ""mag""]"
mecha,354,29,"[""event_code"", ""origin_time"", ""lat_deg"", ""lon_deg"", ""depth_km"", ""mag_1"", ""mag_1_type"", ""mag_2"", ""mag_2_type"", ""region_name"", ""n_hypo_stations"", ""m_method"", ""m_source"", ""P_axis_azimuth"", ""P_axis_dip"", ""T_axis_azimuth"", ""T_axis_dip"", ""N_axis_azimuth"", ""N_axis_dip"", ""strike_plane1"", ""dip_plane1"", ""rake_plane1"", ""strike_plane2"", ""dip_plane2"", ""rake_plane2"", ""focal_mech_score"", ""n_mech_stations"", ""focal_mech_projection"", ""source_file""]"
station,371,6,"[""station_code"", ""station_number"", ""latitude"", ""longitude"", ""elevation_m"", ""matched""]"
match,3,24,"[""label"", ""ref_datetime"", ""ref_lat"", ""ref_lon"", ""ref_dep"", ""ref_mag"", ""matched_index"", ""matched_datetime"", ""matched_lat"", ""matched_lon"", ""matched_dep"", ""matched_mag"", ""time_diff_sec"", ""horizontal_distance_km"", ""depth_diff_km"", ""combined_score"", ""n_close_candidates"", ""candidate_preview"", ""match_status"", ""time_diff_min"", ""ref_time"", ""matched_time"", ""ref_location"", ""matched_location""]"
seq,1606311,19,"[""datetime"", ""lat"", ""lon"", ""dep"", ""mag"", ""time_rel_days"", ""time_rel_sec"", ""radial_distance_km"", ""depth_rel_km"", ""abs_depth_rel_km"", ""is_post"", ""is_pre"", ""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""sequence_id"", ""mag_threshold_label""]"
counts,900,9,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""n_events"", ""n_pre"", ""n_post"", ""has_post_omori_fit""]"
summary,900,31,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""n_total"", ""n_pre"", ""n_post"", ""duration_pre_days"", ""duration_post_days"", ""pre_rate"", ""post_rate"", ""rate_ratio"", ""moving_rate_max"", ""moving_rate_median"", ""post_omori_c"", ""post_omori_k"", ""post_omori_p"", ""post_omori_r2"", ""post_omori_fit_ok"", ""radial_q25_km"", ""radial_q50_km"", ""radial_q75_km"", ""depth_q25_km"", ""depth_q50_km"", ""depth_q75_km"", ""mag_q25"", ""mag_q50"", ""mag_q75"", ""mecha_events"", ""mecha_available""]"
window,49727,10,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""time_bin_start_days"", ""time_bin_end_days"", ""count"", ""rate_per_day"", ""pre_post""]"
radial,10980,10,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""distribution"", ""bin_left"", ""bin_right"", ""count"", ""fraction""]"
depth,6300,10,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""distribution"", ""bin_left"", ""bin_right"", ""count"", ""fraction""]"
mag,21744,10,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""distribution"", ""bin_left"", ""bin_right"", ""count"", ""fraction""]"
mecha_summary,3,4,"[""mainshock"", ""mecha_overlap_count"", ""mecha_available"", ""mecha_quality_mode""]"
robustness_input,8,8,"[""mainshock"", ""metric"", ""baseline_value"", ""median_value"", ""iqr_value"", ""cv_value"", ""sign_stable_fraction"", ""n_windows""]"
comparison,3,18,"[""mainshock"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio"", ""moving_rate_max"", ""moving_rate_median"", ""post_omori_p"", ""post_omori_r2"", ""radial_q50_km"", ""depth_q50_km"", ""mag_q50"", ""mecha_overlap_count"", ""stations_within_100km"", ""burstiness_index"", ""pre_post_balance""]"
control,3,12,"[""mainshock"", ""control_window_days"", ""control_time_lo_days"", ""control_time_hi_days"", ""control_radius_km"", ""control_n_events"", ""control_rate_per_day"", ""baseline_n_total"", ""baseline_pre_rate"", ""baseline_post_rate"", ""baseline_rate_ratio"", ""relative_control_rate""]"
robustness,900,17,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""n_total"", ""n_post"", ""rate_ratio"", ""moving_rate_max"", ""post_omori_p"", ""radial_iqr_km"", ""depth_iqr_km"", ""baseline_rate_ratio"", ""baseline_moving_rate_max"", ""baseline_post_omori_p"", ""rate_ratio_delta"", ""sparse_flag""]"
sensitivity,12,7,"[""mainshock"", ""parameter"", ""n_levels"", ""baseline_level"", ""stable_rate_ratio_fraction"", ""stable_post_omori_fraction"", ""n_windows""]"
stability,8,11,"[""mainshock"", ""metric"", ""baseline_value"", ""median_value"", ""mean_value"", ""iqr_value"", ""cv_value"", ""min_value"", ""max_value"", ""sign_consistency_fraction"", ""n_windows""]"
grid,900,13,"[""mainshock"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""n_total"", ""n_post"", ""rate_ratio"", ""moving_rate_max"", ""post_omori_p"", ""radial_iqr_km"", ""depth_iqr_km"", ""sparse_flag""]"
comparison_baseline,3,18,"[""mainshock"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio"", ""pre_post_balance"", ""moving_rate_max"", ""moving_rate_median"", ""burstiness_index"", ""post_omori_p"", ""post_omori_r2"", ""radial_q50_km"", ""depth_q50_km"", ""mag_q50"", ""mecha_overlap_count"", ""stations_within_100km""]"
control_baseline,3,10,"[""mainshock"", ""control_window_start"", ""control_window_end"", ""control_rate_per_day"", ""control_n_total"", ""baseline_n_total"", ""baseline_pre_rate"", ""baseline_post_rate"", ""baseline_rate_ratio"", ""relative_control_rate""]"
master_comparison,6,27,"[""mainshock"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio"", ""moving_rate_max"", ""moving_rate_median"", ""burstiness_index"", ""post_omori_p"", ""post_omori_r2"", ""radial_q50_km"", ""depth_q50_km"", ""mag_q50"", ""mecha_overlap_count"", ""stations_within_100km"", ""table"", ""background_level"", ""pre_activity"", ""post_activity"", ""aftershock_decay_p"", ""aftershock_decay_r2"", ""spatial_concentration_q50"", ""depth_structure_q50"", ""median_magnitude"", ""mechanism_overlap""]"
baseline_comparison_step5,3,11,"[""mainshock"", ""background_level"", ""pre_activity"", ""post_activity"", ""burstiness_index"", ""aftershock_decay_p"", ""aftershock_decay_r2"", ""spatial_concentration_q50"", ""depth_structure_q50"", ""median_magnitude"", ""mechanism_overlap""]"
control_summary_step5,3,12,"[""mainshock"", ""control_window_days"", ""control_time_lo_days"", ""control_time_hi_days"", ""control_radius_km"", ""control_n_events"", ""control_rate_per_day"", ""baseline_n_total"", ""baseline_pre_rate"", ""baseline_post_rate"", ""baseline_rate_ratio"", ""relative_control_rate""]"
control_summary_alt,3,15,"[""mainshock"", ""baseline_radius_km"", ""baseline_time_window_days"", ""baseline_mag_threshold"", ""baseline_n_total"", ""baseline_pre_rate"", ""baseline_post_rate"", ""baseline_rate_ratio"", ""baseline_omori_ok"", ""baseline_omori_p"", ""baseline_moving_rate_max"", ""randomized_post_rate_median"", ""randomized_rate_ratio_median"", ""observed_minus_randomized_rate"", ""robust_radius_count""]"
control_observed_rates,48,11,"[""mainshock"", ""control_type"", ""mag_threshold"", ""time_window_days"", ""radius_km"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio""]"
control_randomized_rates,96,12,"[""mainshock"", ""control_type"", ""control_time"", ""mag_threshold"", ""time_window_days"", ""radius_km"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio""]"
control_observed_vs_randomized_summary,48,11,"[""mainshock"", ""mag_threshold"", ""time_window_days"", ""observed_rate"", ""observed_pre_rate"", ""observed_ratio"", ""random_rate_median"", ""random_rate_mean"", ""random_ratio_median"", ""excess_rate"", ""matched_datetime""]"
control_background_comparison,96,11,"[""mainshock"", ""control_type"", ""time_window_days"", ""radius_km"", ""mag_threshold"", ""n_total"", ""n_pre"", ""n_post"", ""pre_rate"", ""post_rate"", ""rate_ratio""]"
figure_seq,1606311,15,"[""mainshock"", ""sequence_id"", ""datetime"", ""time_rel_days"", ""lat"", ""lon"", ""dep"", ""mag"", ""radius_km"", ""time_window_days"", ""depth_strategy"", ""mag_threshold"", ""radial_distance_km"", ""depth_rel_km"", ""mag_threshold_label""]"
