mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,distribution,bin_left,bin_right,count,fraction
M1,30.0,7.0,all,,mag,0.5,0.75,1,0.0005192107995846
M1,30.0,7.0,all,,mag,0.75,1.0,8,0.004153686396677
M1,30.0,7.0,all,,mag,1.0,1.25,122,0.063343717549325
M1,30.0,7.0,all,,mag,1.25,1.5,202,0.1048805815160955
M1,30.0,7.0,all,,mag,1.5,1.75,459,0.2383177570093458
M1,30.0,7.0,all,,mag,1.75,2.0,265,0.1375908618899273
M1,30.0,7.0,all,,mag,2.0,2.25,289,0.1500519210799584
M1,30.0,7.0,all,,mag,2.25,2.5,131,0.0680166147455867
M1,30.0,7.0,all,,mag,2.5,2.75,123,0.0638629283489096
M1,30.0,7.0,all,,mag,2.75,3.0,76,0.0394600207684319
M1,30.0,7.0,all,,mag,3.0,3.25,77,0.0399792315680166
M1,30.0,7.0,all,,mag,3.25,3.5,45,0.0233644859813084
M1,30.0,7.0,all,,mag,3.5,3.75,46,0.023883696780893
M1,30.0,7.0,all,,mag,3.75,4.0,16,0.0083073727933541
M1,30.0,7.0,all,,mag,4.0,4.25,18,0.0093457943925233
M1,30.0,7.0,all,,mag,4.25,4.5,4,0.0020768431983385
M1,30.0,7.0,all,,mag,4.5,4.75,15,0.0077881619937694
M1,30.0,7.0,all,,mag,4.75,5.0,4,0.0020768431983385
M1,30.0,7.0,all,,mag,5.0,5.25,10,0.0051921079958463
M1,30.0,7.0,all,,mag,5.25,5.5,4,0.0020768431983385
M1,30.0,7.0,all,,mag,5.5,5.75,4,0.0020768431983385
M1,30.0,7.0,all,,mag,5.75,6.0,3,0.0015576323987538
M1,30.0,7.0,all,,mag,6.0,6.25,1,0.0005192107995846
M1,30.0,7.0,all,,mag,6.25,6.5,1,0.0005192107995846
M1,30.0,7.0,all,,mag,6.5,6.75,1,0.0005192107995846
M1,30.0,7.0,all,,mag,6.75,7.0,1,0.0005192107995846
M1,30.0,7.0,all,1.2,mag,1.0,1.25,67,0.0359828141783029
M1,30.0,7.0,all,1.2,mag,1.25,1.5,202,0.108485499462943
M1,30.0,7.0,all,1.2,mag,1.5,1.75,459,0.2465091299677765
M1,30.0,7.0,all,1.2,mag,1.75,2.0,265,0.1423200859291085
M1,30.0,7.0,all,1.2,mag,2.0,2.25,289,0.1552094522019334
M1,30.0,7.0,all,1.2,mag,2.25,2.5,131,0.0703544575725026
M1,30.0,7.0,all,1.2,mag,2.5,2.75,123,0.0660580021482277
M1,30.0,7.0,all,1.2,mag,2.75,3.0,76,0.0408163265306122
M1,30.0,7.0,all,1.2,mag,3.0,3.25,77,0.0413533834586466
M1,30.0,7.0,all,1.2,mag,3.25,3.5,45,0.0241675617615467
M1,30.0,7.0,all,1.2,mag,3.5,3.75,46,0.024704618689581
M1,30.0,7.0,all,1.2,mag,3.75,4.0,16,0.0085929108485499
M1,30.0,7.0,all,1.2,mag,4.0,4.25,18,0.0096670247046186
M1,30.0,7.0,all,1.2,mag,4.25,4.5,4,0.0021482277121374
M1,30.0,7.0,all,1.2,mag,4.5,4.75,15,0.0080558539205155
M1,30.0,7.0,all,1.2,mag,4.75,5.0,4,0.0021482277121374
M1,30.0,7.0,all,1.2,mag,5.0,5.25,10,0.0053705692803437
M1,30.0,7.0,all,1.2,mag,5.25,5.5,4,0.0021482277121374
M1,30.0,7.0,all,1.2,mag,5.5,5.75,4,0.0021482277121374
M1,30.0,7.0,all,1.2,mag,5.75,6.0,3,0.0016111707841031
M1,30.0,7.0,all,1.2,mag,6.0,6.25,1,0.0005370569280343
M1,30.0,7.0,all,1.2,mag,6.25,6.5,1,0.0005370569280343
M1,30.0,7.0,all,1.2,mag,6.5,6.75,1,0.0005370569280343
M1,30.0,7.0,all,1.2,mag,6.75,7.0,1,0.0005370569280343
M1,30.0,7.0,all,1.5,mag,1.5,1.75,459,0.288135593220339
M1,30.0,7.0,all,1.5,mag,1.75,2.0,265,0.1663527934714375
M1,30.0,7.0,all,1.5,mag,2.0,2.25,289,0.1814187068424356
M1,30.0,7.0,all,1.5,mag,2.25,2.5,131,0.0822347771500313
M1,30.0,7.0,all,1.5,mag,2.5,2.75,123,0.0772128060263653
M1,30.0,7.0,all,1.5,mag,2.75,3.0,76,0.0477087256748273
M1,30.0,7.0,all,1.5,mag,3.0,3.25,77,0.0483364720652856
M1,30.0,7.0,all,1.5,mag,3.25,3.5,45,0.0282485875706214
M1,30.0,7.0,all,1.5,mag,3.5,3.75,46,0.0288763339610797
M1,30.0,7.0,all,1.5,mag,3.75,4.0,16,0.010043942247332
M1,30.0,7.0,all,1.5,mag,4.0,4.25,18,0.0112994350282485
M1,30.0,7.0,all,1.5,mag,4.25,4.5,4,0.002510985561833
M1,30.0,7.0,all,1.5,mag,4.5,4.75,15,0.0094161958568738
M1,30.0,7.0,all,1.5,mag,4.75,5.0,4,0.002510985561833
M1,30.0,7.0,all,1.5,mag,5.0,5.25,10,0.0062774639045825
M1,30.0,7.0,all,1.5,mag,5.25,5.5,4,0.002510985561833
M1,30.0,7.0,all,1.5,mag,5.5,5.75,4,0.002510985561833
M1,30.0,7.0,all,1.5,mag,5.75,6.0,3,0.0018832391713747
M1,30.0,7.0,all,1.5,mag,6.0,6.25,1,0.0006277463904582
M1,30.0,7.0,all,1.5,mag,6.25,6.5,1,0.0006277463904582
M1,30.0,7.0,all,1.5,mag,6.5,6.75,1,0.0006277463904582
M1,30.0,7.0,all,1.5,mag,6.75,7.0,1,0.0006277463904582
M1,30.0,7.0,all,2.0,mag,2.0,2.25,289,0.3325661680092059
M1,30.0,7.0,all,2.0,mag,2.25,2.5,131,0.1507479861910241
M1,30.0,7.0,all,2.0,mag,2.5,2.75,123,0.1415420023014959
M1,30.0,7.0,all,2.0,mag,2.75,3.0,76,0.0874568469505178
M1,30.0,7.0,all,2.0,mag,3.0,3.25,77,0.0886075949367088
M1,30.0,7.0,all,2.0,mag,3.25,3.5,45,0.051783659378596
M1,30.0,7.0,all,2.0,mag,3.5,3.75,46,0.0529344073647871
M1,30.0,7.0,all,2.0,mag,3.75,4.0,16,0.0184119677790563
M1,30.0,7.0,all,2.0,mag,4.0,4.25,18,0.0207134637514384
M1,30.0,7.0,all,2.0,mag,4.25,4.5,4,0.004602991944764
M1,30.0,7.0,all,2.0,mag,4.5,4.75,15,0.0172612197928653
M1,30.0,7.0,all,2.0,mag,4.75,5.0,4,0.004602991944764
M1,30.0,7.0,all,2.0,mag,5.0,5.25,10,0.0115074798619102
M1,30.0,7.0,all,2.0,mag,5.25,5.5,4,0.004602991944764
M1,30.0,7.0,all,2.0,mag,5.5,5.75,4,0.004602991944764
M1,30.0,7.0,all,2.0,mag,5.75,6.0,3,0.003452243958573
M1,30.0,7.0,all,2.0,mag,6.0,6.25,1,0.001150747986191
M1,30.0,7.0,all,2.0,mag,6.25,6.5,1,0.001150747986191
M1,30.0,7.0,all,2.0,mag,6.5,6.75,1,0.001150747986191
M1,30.0,7.0,all,2.0,mag,6.75,7.0,1,0.001150747986191
M1,30.0,7.0,all,2.5,mag,2.5,2.75,123,0.2739420935412027
M1,30.0,7.0,all,2.5,mag,2.75,3.0,76,0.1692650334075723
M1,30.0,7.0,all,2.5,mag,3.0,3.25,77,0.1714922048997773
M1,30.0,7.0,all,2.5,mag,3.25,3.5,45,0.1002227171492204
M1,30.0,7.0,all,2.5,mag,3.5,3.75,46,0.1024498886414253
M1,30.0,7.0,all,2.5,mag,3.75,4.0,16,0.0356347438752783
M1,30.0,7.0,all,2.5,mag,4.0,4.25,18,0.0400890868596882
M1,30.0,7.0,all,2.5,mag,4.25,4.5,4,0.0089086859688195
M1,30.0,7.0,all,2.5,mag,4.5,4.75,15,0.0334075723830735
M1,30.0,7.0,all,2.5,mag,4.75,5.0,4,0.0089086859688195
M1,30.0,7.0,all,2.5,mag,5.0,5.25,10,0.0222717149220489
M1,30.0,7.0,all,2.5,mag,5.25,5.5,4,0.0089086859688195
M1,30.0,7.0,all,2.5,mag,5.5,5.75,4,0.0089086859688195
M1,30.0,7.0,all,2.5,mag,5.75,6.0,3,0.0066815144766146
M1,30.0,7.0,all,2.5,mag,6.0,6.25,1,0.0022271714922048
M1,30.0,7.0,all,2.5,mag,6.25,6.5,1,0.0022271714922048
M1,30.0,7.0,all,2.5,mag,6.5,6.75,1,0.0022271714922048
M1,30.0,7.0,all,2.5,mag,6.75,7.0,1,0.0022271714922048
M1,30.0,7.0,mainshock_window,,mag,0.5,0.75,1,0.0005192107995846
M1,30.0,7.0,mainshock_window,,mag,0.75,1.0,8,0.004153686396677
M1,30.0,7.0,mainshock_window,,mag,1.0,1.25,122,0.063343717549325
M1,30.0,7.0,mainshock_window,,mag,1.25,1.5,202,0.1048805815160955
M1,30.0,7.0,mainshock_window,,mag,1.5,1.75,459,0.2383177570093458
M1,30.0,7.0,mainshock_window,,mag,1.75,2.0,265,0.1375908618899273
M1,30.0,7.0,mainshock_window,,mag,2.0,2.25,289,0.1500519210799584
M1,30.0,7.0,mainshock_window,,mag,2.25,2.5,131,0.0680166147455867
M1,30.0,7.0,mainshock_window,,mag,2.5,2.75,123,0.0638629283489096
M1,30.0,7.0,mainshock_window,,mag,2.75,3.0,76,0.0394600207684319
M1,30.0,7.0,mainshock_window,,mag,3.0,3.25,77,0.0399792315680166
M1,30.0,7.0,mainshock_window,,mag,3.25,3.5,45,0.0233644859813084
M1,30.0,7.0,mainshock_window,,mag,3.5,3.75,46,0.023883696780893
M1,30.0,7.0,mainshock_window,,mag,3.75,4.0,16,0.0083073727933541
M1,30.0,7.0,mainshock_window,,mag,4.0,4.25,18,0.0093457943925233
M1,30.0,7.0,mainshock_window,,mag,4.25,4.5,4,0.0020768431983385
M1,30.0,7.0,mainshock_window,,mag,4.5,4.75,15,0.0077881619937694
M1,30.0,7.0,mainshock_window,,mag,4.75,5.0,4,0.0020768431983385
M1,30.0,7.0,mainshock_window,,mag,5.0,5.25,10,0.0051921079958463
M1,30.0,7.0,mainshock_window,,mag,5.25,5.5,4,0.0020768431983385
M1,30.0,7.0,mainshock_window,,mag,5.5,5.75,4,0.0020768431983385
M1,30.0,7.0,mainshock_window,,mag,5.75,6.0,3,0.0015576323987538
M1,30.0,7.0,mainshock_window,,mag,6.0,6.25,1,0.0005192107995846
M1,30.0,7.0,mainshock_window,,mag,6.25,6.5,1,0.0005192107995846
M1,30.0,7.0,mainshock_window,,mag,6.5,6.75,1,0.0005192107995846
M1,30.0,7.0,mainshock_window,,mag,6.75,7.0,1,0.0005192107995846
M1,30.0,7.0,mainshock_window,1.2,mag,1.0,1.25,67,0.0359828141783029
M1,30.0,7.0,mainshock_window,1.2,mag,1.25,1.5,202,0.108485499462943
M1,30.0,7.0,mainshock_window,1.2,mag,1.5,1.75,459,0.2465091299677765
M1,30.0,7.0,mainshock_window,1.2,mag,1.75,2.0,265,0.1423200859291085
M1,30.0,7.0,mainshock_window,1.2,mag,2.0,2.25,289,0.1552094522019334
M1,30.0,7.0,mainshock_window,1.2,mag,2.25,2.5,131,0.0703544575725026
M1,30.0,7.0,mainshock_window,1.2,mag,2.5,2.75,123,0.0660580021482277
M1,30.0,7.0,mainshock_window,1.2,mag,2.75,3.0,76,0.0408163265306122
M1,30.0,7.0,mainshock_window,1.2,mag,3.0,3.25,77,0.0413533834586466
M1,30.0,7.0,mainshock_window,1.2,mag,3.25,3.5,45,0.0241675617615467
M1,30.0,7.0,mainshock_window,1.2,mag,3.5,3.75,46,0.024704618689581
M1,30.0,7.0,mainshock_window,1.2,mag,3.75,4.0,16,0.0085929108485499
M1,30.0,7.0,mainshock_window,1.2,mag,4.0,4.25,18,0.0096670247046186
M1,30.0,7.0,mainshock_window,1.2,mag,4.25,4.5,4,0.0021482277121374
M1,30.0,7.0,mainshock_window,1.2,mag,4.5,4.75,15,0.0080558539205155
M1,30.0,7.0,mainshock_window,1.2,mag,4.75,5.0,4,0.0021482277121374
M1,30.0,7.0,mainshock_window,1.2,mag,5.0,5.25,10,0.0053705692803437
M1,30.0,7.0,mainshock_window,1.2,mag,5.25,5.5,4,0.0021482277121374
M1,30.0,7.0,mainshock_window,1.2,mag,5.5,5.75,4,0.0021482277121374
M1,30.0,7.0,mainshock_window,1.2,mag,5.75,6.0,3,0.0016111707841031
M1,30.0,7.0,mainshock_window,1.2,mag,6.0,6.25,1,0.0005370569280343
M1,30.0,7.0,mainshock_window,1.2,mag,6.25,6.5,1,0.0005370569280343
M1,30.0,7.0,mainshock_window,1.2,mag,6.5,6.75,1,0.0005370569280343
M1,30.0,7.0,mainshock_window,1.2,mag,6.75,7.0,1,0.0005370569280343
M1,30.0,7.0,mainshock_window,1.5,mag,1.5,1.75,459,0.288135593220339
M1,30.0,7.0,mainshock_window,1.5,mag,1.75,2.0,265,0.1663527934714375
M1,30.0,7.0,mainshock_window,1.5,mag,2.0,2.25,289,0.1814187068424356
M1,30.0,7.0,mainshock_window,1.5,mag,2.25,2.5,131,0.0822347771500313
M1,30.0,7.0,mainshock_window,1.5,mag,2.5,2.75,123,0.0772128060263653
M1,30.0,7.0,mainshock_window,1.5,mag,2.75,3.0,76,0.0477087256748273
M1,30.0,7.0,mainshock_window,1.5,mag,3.0,3.25,77,0.0483364720652856
M1,30.0,7.0,mainshock_window,1.5,mag,3.25,3.5,45,0.0282485875706214
M1,30.0,7.0,mainshock_window,1.5,mag,3.5,3.75,46,0.0288763339610797
M1,30.0,7.0,mainshock_window,1.5,mag,3.75,4.0,16,0.010043942247332
M1,30.0,7.0,mainshock_window,1.5,mag,4.0,4.25,18,0.0112994350282485
M1,30.0,7.0,mainshock_window,1.5,mag,4.25,4.5,4,0.002510985561833
M1,30.0,7.0,mainshock_window,1.5,mag,4.5,4.75,15,0.0094161958568738
M1,30.0,7.0,mainshock_window,1.5,mag,4.75,5.0,4,0.002510985561833
M1,30.0,7.0,mainshock_window,1.5,mag,5.0,5.25,10,0.0062774639045825
M1,30.0,7.0,mainshock_window,1.5,mag,5.25,5.5,4,0.002510985561833
M1,30.0,7.0,mainshock_window,1.5,mag,5.5,5.75,4,0.002510985561833
M1,30.0,7.0,mainshock_window,1.5,mag,5.75,6.0,3,0.0018832391713747
M1,30.0,7.0,mainshock_window,1.5,mag,6.0,6.25,1,0.0006277463904582
M1,30.0,7.0,mainshock_window,1.5,mag,6.25,6.5,1,0.0006277463904582
M1,30.0,7.0,mainshock_window,1.5,mag,6.5,6.75,1,0.0006277463904582
M1,30.0,7.0,mainshock_window,1.5,mag,6.75,7.0,1,0.0006277463904582
M1,30.0,7.0,mainshock_window,2.0,mag,2.0,2.25,289,0.3325661680092059
M1,30.0,7.0,mainshock_window,2.0,mag,2.25,2.5,131,0.1507479861910241
M1,30.0,7.0,mainshock_window,2.0,mag,2.5,2.75,123,0.1415420023014959
M1,30.0,7.0,mainshock_window,2.0,mag,2.75,3.0,76,0.0874568469505178
M1,30.0,7.0,mainshock_window,2.0,mag,3.0,3.25,77,0.0886075949367088
M1,30.0,7.0,mainshock_window,2.0,mag,3.25,3.5,45,0.051783659378596
M1,30.0,7.0,mainshock_window,2.0,mag,3.5,3.75,46,0.0529344073647871
M1,30.0,7.0,mainshock_window,2.0,mag,3.75,4.0,16,0.0184119677790563
M1,30.0,7.0,mainshock_window,2.0,mag,4.0,4.25,18,0.0207134637514384
M1,30.0,7.0,mainshock_window,2.0,mag,4.25,4.5,4,0.004602991944764
M1,30.0,7.0,mainshock_window,2.0,mag,4.5,4.75,15,0.0172612197928653
M1,30.0,7.0,mainshock_window,2.0,mag,4.75,5.0,4,0.004602991944764
M1,30.0,7.0,mainshock_window,2.0,mag,5.0,5.25,10,0.0115074798619102
M1,30.0,7.0,mainshock_window,2.0,mag,5.25,5.5,4,0.004602991944764
M1,30.0,7.0,mainshock_window,2.0,mag,5.5,5.75,4,0.004602991944764
M1,30.0,7.0,mainshock_window,2.0,mag,5.75,6.0,3,0.003452243958573
M1,30.0,7.0,mainshock_window,2.0,mag,6.0,6.25,1,0.001150747986191
M1,30.0,7.0,mainshock_window,2.0,mag,6.25,6.5,1,0.001150747986191
