mainshock_id,dimension,score
M1,aftershock_response,moderate
M1,single_mainshock_dominance,low
M1,compact_cascade_compound_structure,moderate
M1,swarm_like_organization,moderate
M1,foreshock_pre_mainshock_activation,strong
M1,broader_regional_activation,low
M1,radial_migration_expansion,low
M1,slow_slip_related_candidate,low
M2,aftershock_response,moderate
M2,single_mainshock_dominance,possible
M2,compact_cascade_compound_structure,low
M2,swarm_like_organization,possible
M2,foreshock_pre_mainshock_activation,low
M2,broader_regional_activation,strong
M2,radial_migration_expansion,low
M2,slow_slip_related_candidate,low
M3,aftershock_response,moderate
M3,single_mainshock_dominance,strong
M3,compact_cascade_compound_structure,low
M3,swarm_like_organization,possible
M3,foreshock_pre_mainshock_activation,moderate
M3,broader_regional_activation,moderate
M3,radial_migration_expansion,low
M3,slow_slip_related_candidate,low
