mainshock_id,window_days,space_type,space_label,largest_pre_event_id,largest_pre_mag,largest_pre_time_days,largest_pre_distance_km,largest_post_event_id,largest_post_mag,largest_post_time_days,largest_post_distance_km
M1,7,cumulative_radius,<=30 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,7,cumulative_radius,<=60 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,7,cumulative_radius,<=100 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,14,cumulative_radius,<=30 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,14,cumulative_radius,<=60 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,14,cumulative_radius,<=100 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,25,cumulative_radius,<=30 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,25,cumulative_radius,<=60 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M1,25,cumulative_radius,<=100 km,EVT_001427,6.9,-1.1574074074074074e-07,0.16560596965586397,EVT_001470,6.6,0.03540798611111111,10.701275805519526
M2,7,cumulative_radius,<=30 km,EVT_004672,1.7,-5.379708101851852,22.627196364261398,EVT_004932,5.9,0.012836689814814815,26.685215737230994
M2,7,cumulative_radius,<=60 km,EVT_004864,3.0,-1.0008258101851852,45.188084292306215,EVT_006635,6.9,3.520176388888889,57.32449271180654
M2,7,cumulative_radius,<=100 km,EVT_004852,3.3,-1.1959527777777779,69.74846334174308,EVT_006635,6.9,3.520176388888889,57.32449271180654
M2,14,cumulative_radius,<=30 km,EVT_004495,1.9,-9.267458101851853,27.90502645261207,EVT_004932,5.9,0.012836689814814815,26.685215737230994
M2,14,cumulative_radius,<=60 km,EVT_004864,3.0,-1.0008258101851852,45.188084292306215,EVT_006635,6.9,3.520176388888889,57.32449271180654
M2,14,cumulative_radius,<=100 km,EVT_004852,3.3,-1.1959527777777779,69.74846334174308,EVT_006635,6.9,3.520176388888889,57.32449271180654
M2,25,cumulative_radius,<=30 km,EVT_003589,4.8,-20.245708333333333,28.132550047741386,EVT_004932,5.9,0.012836689814814815,26.685215737230994
M2,25,cumulative_radius,<=60 km,EVT_003589,4.8,-20.245708333333333,28.132550047741386,EVT_006635,6.9,3.520176388888889,57.32449271180654
M2,25,cumulative_radius,<=100 km,EVT_003589,4.8,-20.245708333333333,28.132550047741386,EVT_006635,6.9,3.520176388888889,57.32449271180654
M3,7,cumulative_radius,<=30 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_018104,5.5,0.028207060185185186,29.952528671002213
M3,7,cumulative_radius,<=60 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_019262,5.6,1.45223125,32.66384672370693
M3,7,cumulative_radius,<=100 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_019262,5.6,1.45223125,32.66384672370693
M3,14,cumulative_radius,<=30 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_018104,5.5,0.028207060185185186,29.952528671002213
M3,14,cumulative_radius,<=60 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_018305,5.6,0.21097905092592592,37.66050887988819
M3,14,cumulative_radius,<=100 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_019262,5.6,1.45223125,32.66384672370693
M3,25,cumulative_radius,<=30 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_018104,5.5,0.028207060185185186,29.952528671002213
M3,25,cumulative_radius,<=60 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_018305,5.6,0.21097905092592592,37.66050887988819
M3,25,cumulative_radius,<=100 km,EVT_018070,7.7,-1.1574074074074074e-07,0.1579404846486562,EVT_019262,5.6,1.45223125,32.66384672370693
