mainshock_id,window_days,space_type,space_label,space_value_km,mainshock_magnitude,largest_non_mainshock_mag,largest_pre_mag,largest_post_mag,mainshock_minus_largest_nonmainshock_gap,largest_post_minus_largest_pre_gap,top_nonmainshock_gap,companion_within_0p5mag,companion_within_1p0mag,nonmainshock_event_count,m4plus_pre_count,m4plus_post_count,m5plus_pre_count,m5plus_post_count,m6plus_pre_count,m6plus_post_count
M1,7,cumulative_radius,<=30 km,30.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,1930,18,48,8,17,1,3
M1,7,cumulative_radius,<=60 km,60.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,2314,20,55,8,20,1,3
M1,7,cumulative_radius,<=100 km,100.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,2370,21,55,8,20,1,3
M1,14,cumulative_radius,<=30 km,30.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,2227,18,50,8,18,1,3
M1,14,cumulative_radius,<=60 km,60.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,2855,20,59,8,22,1,3
M1,14,cumulative_radius,<=100 km,100.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,3036,21,61,8,22,1,3
M1,25,cumulative_radius,<=30 km,30.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,2489,18,52,8,18,1,3
M1,25,cumulative_radius,<=60 km,60.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,3208,20,61,8,22,1,3
M1,25,cumulative_radius,<=100 km,100.0,6.9,6.6,6.9,6.6,0.3000000000000007,-0.3000000000000007,0.1999999999999993,2,6,3502,21,63,8,22,1,3
M2,7,cumulative_radius,<=30 km,30.0,7.5,5.9,1.7,5.9,1.5999999999999996,4.2,1.5,0,0,628,0,4,0,1,0,0
M2,7,cumulative_radius,<=60 km,60.0,7.5,6.9,3.0,6.9,0.5999999999999996,3.9000000000000004,0.9000000000000004,0,1,1875,0,25,0,6,0,2
M2,7,cumulative_radius,<=100 km,100.0,7.5,6.9,3.3,6.9,0.5999999999999996,3.6000000000000005,0.3000000000000007,0,2,3505,0,45,0,9,0,4
M2,14,cumulative_radius,<=30 km,30.0,7.5,5.9,1.9,5.9,1.5999999999999996,4.0,0.3000000000000007,0,0,775,0,5,0,2,0,0
M2,14,cumulative_radius,<=60 km,60.0,7.5,6.9,3.0,6.9,0.5999999999999996,3.9000000000000004,0.9000000000000004,0,1,2603,0,27,0,7,0,2
M2,14,cumulative_radius,<=100 km,100.0,7.5,6.9,3.3,6.9,0.5999999999999996,3.6000000000000005,0.3000000000000007,0,2,4853,0,49,0,11,0,4
M2,25,cumulative_radius,<=30 km,30.0,7.5,5.9,4.8,5.9,1.5999999999999996,1.1000000000000005,0.3000000000000007,0,0,934,1,5,0,2,0,0
M2,25,cumulative_radius,<=60 km,60.0,7.5,6.9,4.8,6.9,0.5999999999999996,2.1000000000000005,0.9000000000000004,0,1,3251,1,30,0,8,0,2
M2,25,cumulative_radius,<=100 km,100.0,7.5,6.9,4.8,6.9,0.5999999999999996,2.1000000000000005,0.3000000000000007,0,2,5884,1,53,0,12,0,4
M3,7,cumulative_radius,<=30 km,30.0,7.7,5.5,7.7,5.5,2.2,-2.2,0.20000000000000018,0,0,1628,1,26,1,5,1,0
M3,7,cumulative_radius,<=60 km,60.0,7.7,5.6,7.7,5.6,2.1000000000000005,-2.1000000000000005,0.0,0,0,2536,1,40,1,12,1,0
M3,7,cumulative_radius,<=100 km,100.0,7.7,5.6,7.7,5.6,2.1000000000000005,-2.1000000000000005,0.0,0,0,3160,1,43,1,12,1,0
M3,14,cumulative_radius,<=30 km,30.0,7.7,5.5,7.7,5.5,2.2,-2.2,0.20000000000000018,0,0,1921,1,26,1,5,1,0
M3,14,cumulative_radius,<=60 km,60.0,7.7,5.6,7.7,5.6,2.1000000000000005,-2.1000000000000005,0.0,0,0,3234,2,44,1,12,1,0
M3,14,cumulative_radius,<=100 km,100.0,7.7,5.6,7.7,5.6,2.1000000000000005,-2.1000000000000005,0.0,0,0,4132,2,47,1,12,1,0
M3,25,cumulative_radius,<=30 km,30.0,7.7,5.5,7.7,5.5,2.2,-2.2,0.20000000000000018,0,0,2002,1,26,1,5,1,0
M3,25,cumulative_radius,<=60 km,60.0,7.7,6.7,7.7,5.6,1.0,-2.1000000000000005,1.1000000000000005,0,1,3726,14,44,3,12,2,0
M3,25,cumulative_radius,<=100 km,100.0,7.7,6.7,7.7,5.6,1.0,-2.1000000000000005,1.1000000000000005,0,1,4849,17,47,3,12,2,0
