mainshock_id,window_days,space_type,space_label,r_inner_km,r_outer_km,annulus_area_km2,side,event_count,event_rate_per_day,area_normalized_rate,m4plus_count,m4plus_rate_per_day,m4plus_area_normalized_rate,m5plus_count,m5plus_rate_per_day,m5plus_area_normalized_rate,m6plus_count,magbin_<4_count,magbin_4_5_count,magbin_5_6_count,magbin_ge6_count,largest_event_mag
M1,7,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,507,72.42857142857143,0.02561636703098125,18,2.5714285714285716,0.0009094568176679735,8,1.1428571428571428,0.0004042030300746548,1,489,10,7,1,6.9
M1,7,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1424,203.42857142857142,0.07194813935328856,48,6.857142857142857,0.002425218180447929,17,2.4285714285714284,0.0008589314389086415,3,1376,31,14,3,6.6
M1,7,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,26,3.7142857142857144,0.0004378866159142094,2,0.2857142857142857,3.3683585839554564e-05,0,0.0,0.0,0,24,2,0,0,4.6
M1,7,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,358,51.142857142857146,0.006029361865280268,7,1.0,0.00011789255043844098,3,0.42857142857142855,5.052537875933185e-05,0,351,4,3,0,5.5
M1,7,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,35,5.0,0.00024867959858108647,1,0.14285714285714285,7.105131388031041e-06,0,0.0,0.0,0,34,1,0,0,4.9
M1,7,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,21,3.0,0.00014920775914865187,0,0.0,0.0,0,0.0,0.0,0,21,0,0,0,3.1
M1,14,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,513,36.642857142857146,0.012959759651768621,18,1.2857142857142858,0.00045472840883398674,8,0.5714285714285714,0.0002021015150373274,1,495,10,7,1,6.9
M1,14,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1715,122.5,0.04332551228612706,50,3.5714285714285716,0.0012631344689832964,18,1.2857142857142858,0.00045472840883398674,3,1665,32,15,3,6.6
M1,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,34,2.4285714285714284,0.0002863104796362138,2,0.14285714285714285,1.6841792919777282e-05,0,0.0,0.0,0,32,2,0,0,4.6
M1,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,594,42.42857142857143,0.005002012497173853,9,0.6428571428571429,7.578806813899778e-05,4,0.2857142857142857,3.3683585839554564e-05,0,585,5,4,0,5.7
M1,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,48,3.4285714285714284,0.000170523153312745,1,0.07142857142857142,3.5525656940155206e-06,0,0.0,0.0,0,47,1,0,0,4.9
M1,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,133,9.5,0.00047249123730406427,2,0.14285714285714285,7.105131388031041e-06,0,0.0,0.0,0,131,2,0,0,4.3
M1,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,516,20.64,0.007299906723148267,18,0.72,0.00025464790894703254,8,0.32,0.00011317684842090336,1,498,10,7,1,6.9
M1,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1974,78.96,0.0279263873478579,52,2.08,0.0007356495147358719,18,0.72,0.00025464790894703254,3,1922,34,15,3,6.6
M1,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,44,1.76,0.00020749088877165613,2,0.08,9.431404035075279e-06,0,0.0,0.0,0,42,2,0,0,4.6
M1,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,675,27.0,0.0031830988618379067,9,0.36,4.2441318157838754e-05,4,0.16,1.8862808070150557e-05,0,666,5,4,0,5.7
M1,25,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,81,3.24,0.00016114437988054404,1,0.04,1.9894367886486917e-06,0,0.0,0.0,0,80,1,0,0,4.9
