event_code,mechanism_origin_time,matched_event_id,time_residual_seconds,distance_residual_km,depth_residual_km,mag_residual,within_primary_tolerance,ambiguity_flag,focal_mech_projection,focal_mech_score,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,region_name
J2025100111563882,2025-10-01 02:56:38.820000+00:00,EVT_000009,2418.01,165.87946541758924,27.620000000000005,2.3,False,False,LOW,98.0,256.0,68.0,-161.0,158.0,72.0,-24.0,S OFF URAKAWA
J2025100123500609,2025-10-01 14:50:06.090000+00:00,EVT_000022,0.0,0.12827073218807553,0.010000000000005116,0.0,True,False,LOW,96.0,5.0,25.0,52.0,225.0,71.0,106.0,KINKAZAN REGION
J2025100317451495,2025-10-03 08:45:14.950000+00:00,EVT_000066,153.87,160.49625654326354,20.089999999999996,2.6999999999999997,False,False,LOW,94.0,219.0,29.0,128.0,358.0,67.0,71.0,KINKAZAN REGION
J2025100423151668,2025-10-04 14:15:16.680000+00:00,EVT_000090,0.0,0.18536152688089175,0.060000000000002274,0.0,True,True,,,,,,,,,E OFF IWATE PREF
J2025100515304777,2025-10-05 06:30:47.770000+00:00,EVT_000116,3860.02,410.02957002199713,12979.06,3.0,False,False,LOW,93.0,247.0,37.0,-90.0,67.0,53.0,-90.0,ISHIKARI DEPRESSION
J2025100611310731,2025-10-06 02:31:07.310000+00:00,EVT_000141,0.0,0.10303916294206715,0.0,0.0,True,False,LOW,99.0,164.0,27.0,52.0,26.0,69.0,108.0,NORTHERN IWATE PREF
J2025100816163326,2025-10-08 07:16:33.260000+00:00,EVT_000192,0.01,0.05636690660655698,0.21999999999999886,0.0,True,False,,,,,,,,,E OFF AOMORI PREF
J2025101107063590,2025-10-10 22:06:35.900000+00:00,EVT_000264,734.74,67.57672874091439,42.239999999999995,3.1000000000000005,False,False,,,,,,,,,E OFF AOMORI PREF
J2025101212343544,2025-10-12 03:34:35.440000+00:00,EVT_000293,1126.53,102.81474432789764,11.770000000000003,2.1,False,False,,,,,,,,,HIDAKA MOUNTAINS REGION
J2025101305185591,2025-10-12 20:18:55.910000+00:00,EVT_000306,3445.91,306.02250965300516,9.620000000000001,2.5,False,False,,,,,,,,,SE OFF ERIMOMISAKI
J2025101407060327,2025-10-13 22:06:03.270000+00:00,EVT_000328,0.01,0.06202837735536681,0.00999999999999801,0.0,True,False,LOW,92.0,247.0,39.0,-28.0,359.0,73.0,-126.0,SOUTHERN IWATE PREF
J2025101517502029,2025-10-15 08:50:20.290000+00:00,EVT_000362,0.0,1.2837262278096602,0.030000000000001137,0.0,True,True,LOW,94.0,126.0,12.0,-120.0,337.0,79.0,-84.0,NORTHERN MIYAGI PREF
J2025102114204676,2025-10-21 05:20:46.760000+00:00,EVT_000470,0.0,0.025901203340872328,0.00999999999999801,0.0,True,False,,,,,,,,,KINKAZAN REGION
J2025102218173198,2025-10-22 09:17:31.980000+00:00,EVT_000498,5397.41,390.3882751445793,25.150000000000002,4.3,False,False,LOW,97.0,234.0,35.0,111.0,29.0,58.0,76.0,OFF NEMURO PENINSULA
J2025102409271441,2025-10-24 00:27:14.410000+00:00,EVT_000525,2422.79,163.09768783840389,28.41,2.5,False,False,,,,,,,,,E OFF MIYAGI PREF
J2025102501400976,2025-10-24 16:40:09.760000+00:00,EVT_000546,1771.23,440.0723739772954,24.21,5.1,False,False,,,,,,,,,OFF NEMURO PENINSULA
J2025102819050245,2025-10-28 10:05:02.450000+00:00,EVT_000631,4995.49,179.61739486097775,51.980000000000004,3.2,False,False,LOW,95.0,197.0,16.0,78.0,30.0,74.0,94.0,E OFF AOMORI PREF
J2025110123440618,2025-11-01 14:44:06.180000+00:00,EVT_000724,2642.87,18.85402610952168,4.080000000000005,2.7,False,False,LOW,95.0,73.0,33.0,164.0,177.0,81.0,58.0,E OFF IWATE PREF
J2025110720422546,2025-11-07 11:42:25.460000+00:00,EVT_000991,8616.57,132.56827086798873,32.910000000000004,2.0,False,False,LOW,95.0,187.0,14.0,79.0,18.0,76.0,93.0,NE OFF IWATE PREF
J2025110818172702,2025-11-08 09:17:27.020000+00:00,EVT_001091,180.42,45.44578938885137,20.660000000000004,2.0999999999999996,False,False,LOW,98.0,1.0,39.0,55.0,222.0,59.0,115.0,E OFF MIYAGI PREF
J2025110913164023,2025-11-09 04:16:40.230000+00:00,EVT_001354,223.46,304.31867967197866,56.72,2.8,False,False,LOW,98.0,197.0,30.0,82.0,26.0,60.0,95.0,S OFF URAKAWA
J2025111310384665,2025-11-13 01:38:46.650000+00:00,EVT_002896,364.11,433.98815278097,29.41,2.7,False,False,,,,,,,,,OFF NEMURO PENINSULA
J2025111311334922,2025-11-13 02:33:49.220000+00:00,EVT_002899,0.01,0.10852016231814406,0.08000000000000007,0.0,True,False,,,,,,,,,E OFF IWATE PREF
J2025111323013164,2025-11-13 14:01:31.640000+00:00,EVT_002985,429.4,205.92401973559555,45.76,2.2,False,False,,,,,,,,,KINKAZAN REGION
J2025111406233075,2025-11-13 21:23:30.750000+00:00,EVT_003037,0.01,0.0948386162578466,0.07000000000000028,0.0,True,True,,,,,,,,,NE OFF IWATE PREF
J2025111408052175,2025-11-13 23:05:21.750000+00:00,EVT_003052,0.01,0.36339754820122305,0.020000000000010232,0.0,True,False,LOW,98.0,315.0,70.0,-9.0,48.0,82.0,-160.0,NORTHERN IWATE PREF
J2025111507325083,2025-11-14 22:32:50.830000+00:00,EVT_003181,504.33,65.28510070657227,41.68000000000001,2.9000000000000004,False,False,LOW,99.0,37.0,40.0,-56.0,176.0,57.0,-115.0,E OFF AOMORI PREF
J2025111516570429,2025-11-15 07:57:04.290000+00:00,EVT_003243,0.02,0.14007764837215994,0.1600000000000037,0.0,True,False,LOW,98.0,190.0,17.0,69.0,32.0,74.0,96.0,KINKAZAN REGION
J2025111611244860,2025-11-16 02:24:48.600000+00:00,EVT_003337,176.57,167.8290187981984,34.04,0.19999999999999973,False,False,LOW,95.0,20.0,40.0,119.0,164.0,56.0,68.0,KINKAZAN REGION
J2025111806243123,2025-11-17 21:24:31.230000+00:00,EVT_003517,0.01,0.26363284353298594,0.07000000000000739,0.0,True,False,LOW,100.0,326.0,43.0,11.0,228.0,83.0,133.0,NORTHERN MIYAGI PREF
J2025111808461483,2025-11-17 23:46:14.830000+00:00,EVT_003533,107.65,249.98231253377787,44.870000000000005,1.1,False,False,,,,,,,,,S OFF URAKAWA
J2025111811054928,2025-11-18 02:05:49.280000+00:00,EVT_003544,0.01,0.09722345259904304,0.019999999999999574,0.0,True,True,,,,,,,,,E OFF IWATE PREF
