mainshock_id,window_days,hours_since_mainshock,post_event_count_within_hours,post_event_fraction_within_hours,post_m4plus_count_within_hours,post_m4plus_fraction_within_hours,total_post_event_count
M1,7,6,241,0.1336661120354964,30,0.5454545454545454,1803
M1,7,12,419,0.2323904603438713,35,0.6363636363636364,1803
M1,7,24,691,0.38325013865779256,47,0.8545454545454545,1803
M1,7,72,1269,0.7038269550748752,52,0.9454545454545454,1803
M1,14,6,241,0.09868959868959869,30,0.4918032786885246,2442
M1,14,12,419,0.17158067158067158,35,0.5737704918032787,2442
M1,14,24,691,0.28296478296478295,47,0.7704918032786885,2442
M1,14,72,1269,0.5196560196560197,52,0.8524590163934426,2442
M1,25,6,241,0.08420684835779176,30,0.47619047619047616,2862
M1,25,12,419,0.14640111809923131,35,0.5555555555555556,2862
M1,25,24,691,0.24143955276030749,47,0.746031746031746,2862
M1,25,72,1269,0.44339622641509435,52,0.8253968253968254,2862
M2,7,6,328,0.09466089466089467,9,0.2,3465
M2,7,12,592,0.17085137085137087,13,0.28888888888888886,3465
M2,7,24,921,0.2658008658008658,17,0.37777777777777777,3465
M2,7,72,1517,0.4378066378066378,22,0.4888888888888889,3465
M2,14,6,328,0.06851890536870692,9,0.1836734693877551,4787
M2,14,12,592,0.12366826822644662,13,0.2653061224489796,4787
M2,14,24,921,0.1923960726968874,17,0.3469387755102041,4787
M2,14,72,1517,0.3168999373302695,22,0.4489795918367347,4787
M2,25,6,328,0.057093124456048736,9,0.16981132075471697,5745
M2,25,12,592,0.1030461270670148,13,0.24528301886792453,5745
M2,25,24,921,0.16031331592689296,17,0.32075471698113206,5745
M2,25,72,1517,0.2640557006092254,22,0.41509433962264153,5745
M3,7,6,274,0.09259885096316323,21,0.4883720930232558,2959
M3,7,12,504,0.17032781345049003,23,0.5348837209302325,2959
M3,7,24,872,0.29469415343021294,27,0.627906976744186,2959
M3,7,72,1847,0.6241973639743157,39,0.9069767441860465,2959
M3,14,6,274,0.07262125629472568,21,0.44680851063829785,3773
M3,14,12,504,0.13358070500927643,23,0.48936170212765956,3773
M3,14,24,872,0.23111582295255764,27,0.574468085106383,3773
M3,14,72,1847,0.4895308772859793,39,0.8297872340425532,3773
M3,25,6,274,0.07262125629472568,21,0.44680851063829785,3773
M3,25,12,504,0.13358070500927643,23,0.48936170212765956,3773
M3,25,24,872,0.23111582295255764,27,0.574468085106383,3773
M3,25,72,1847,0.4895308772859793,39,0.8297872340425532,3773
