mainshock_id,window_days,distance_selector,event_count,m4plus_count,m5plus_count,m6plus_count
M1,7,all,2614,77,28,4
M1,7,<=30 km,1931,66,25,4
M1,7,<=60 km,2315,75,28,4
M1,7,<=100 km,2371,76,28,4
M1,7,0-30 km,1931,66,25,4
M1,7,30-60 km,384,9,3,0
M1,7,60-100 km,56,1,0,0
M1,7,>100 km,243,1,0,0
M1,14,all,3536,84,30,4
M1,14,<=30 km,2228,68,26,4
M1,14,<=60 km,2856,79,30,4
M1,14,<=100 km,3037,82,30,4
M1,14,0-30 km,2228,68,26,4
M1,14,30-60 km,628,11,4,0
M1,14,60-100 km,181,3,0,0
M1,14,>100 km,499,2,0,0
M1,25,all,4353,87,30,4
M1,25,<=30 km,2490,70,26,4
M1,25,<=60 km,3209,81,30,4
M1,25,<=100 km,3503,84,30,4
M1,25,0-30 km,2490,70,26,4
M1,25,30-60 km,719,11,4,0
M1,25,60-100 km,294,3,0,0
M1,25,>100 km,850,3,0,0
M2,7,all,3985,49,10,5
M2,7,<=30 km,629,5,2,1
M2,7,<=60 km,1876,26,7,3
M2,7,<=100 km,3506,46,10,5
M2,7,0-30 km,629,5,2,1
M2,7,30-60 km,1247,21,5,2
M2,7,60-100 km,1630,20,3,2
M2,7,>100 km,479,3,0,0
M2,14,all,5877,60,12,5
M2,14,<=30 km,776,6,3,1
M2,14,<=60 km,2604,28,8,3
M2,14,<=100 km,4854,50,12,5
M2,14,0-30 km,776,6,3,1
M2,14,30-60 km,1828,22,5,2
M2,14,60-100 km,2250,22,4,2
M2,14,>100 km,1023,10,0,0
M2,25,all,8500,78,18,6
M2,25,<=30 km,935,7,3,1
M2,25,<=60 km,3252,32,9,3
M2,25,<=100 km,5885,55,13,5
M2,25,0-30 km,935,7,3,1
M2,25,30-60 km,2317,25,6,2
M2,25,60-100 km,2633,23,4,2
M2,25,>100 km,2615,23,5,1
M3,7,all,3520,45,13,1
M3,7,<=30 km,1629,27,6,1
M3,7,<=60 km,2537,41,13,1
M3,7,<=100 km,3161,44,13,1
M3,7,0-30 km,1629,27,6,1
M3,7,30-60 km,908,14,7,0
M3,7,60-100 km,624,3,0,0
M3,7,>100 km,359,1,0,0
M3,14,all,4787,52,13,1
M3,14,<=30 km,1922,27,6,1
M3,14,<=60 km,3235,46,13,1
M3,14,<=100 km,4133,49,13,1
M3,14,0-30 km,1922,27,6,1
M3,14,30-60 km,1313,19,7,0
M3,14,60-100 km,898,3,0,0
M3,14,>100 km,654,3,0,0
M3,25,all,5813,69,15,2
M3,25,<=30 km,2003,27,6,1
M3,25,<=60 km,3727,58,15,2
M3,25,<=100 km,4850,64,15,2
M3,25,0-30 km,2003,27,6,1
M3,25,30-60 km,1724,31,9,1
M3,25,60-100 km,1123,6,0,0
M3,25,>100 km,963,5,0,0
