pair_name,hypothesis,raw_score,corrected_score,distance_score,raw_evidence,control_corrected_evidence,distance_aware_plausibility,mechanism_context
M1_M2,independent_local_clusters,0.6826923076923077,0.3345798598270052,1.0,moderate,possible,strong,broadly_compatible
M1_M2,overlapping_activation_zones,0.12179487179487179,0.09482238247863248,0.0,low,low,low,broadly_compatible
M1_M2,delayed_activation_between_clusters,0.0,0.0,0.0,low,low,low,broadly_compatible
M1_M2,linked_local_fault_system_activation,0.5608974358974359,0.5099111912393163,0.0,moderate,moderate,low,broadly_compatible
M1_M2,corridor_like_migration_or_expansion,1.0,0.925,0.0,strong,strong,low,broadly_compatible
M1_M2,broader_regional_activation,1.0,0.8708333333333333,1.0,strong,strong,strong,broadly_compatible
M1_M2,compound_swarm_like_multi_event_clustering,0.18318610623944181,0.16868387282881936,0.0,low,low,low,broadly_compatible
M1_M2,apparent_relationship_from_background_or_window_choices,0.11666666666666664,0.11666666666666664,0.8325088855452676,low,low,strong,broadly_compatible
M1_M2,common_regional_rate_pulse_without_pair_specific_linkage,0.7,0.5486249999999999,1.0,moderate,moderate,strong,broadly_compatible
M1_M3,independent_local_clusters,0.5642023346303502,0.12641658560311284,0.5406410895673496,moderate,low,moderate,broadly_compatible
M1_M3,overlapping_activation_zones,1.0,0.576875,0.6637270149037863,strong,moderate,moderate,broadly_compatible
M1_M3,delayed_activation_between_clusters,1.0,0.5916666666666667,0.38498938334514426,strong,moderate,possible,broadly_compatible
M1_M3,linked_local_fault_system_activation,1.0,0.7759375,0.6637270149037863,strong,strong,moderate,broadly_compatible
M1_M3,corridor_like_migration_or_expansion,1.0,0.975,0.6593520149037863,strong,strong,moderate,broadly_compatible
M1_M3,broader_regional_activation,1.0,0.775,0.5406410895673496,strong,strong,moderate,broadly_compatible
M1_M3,compound_swarm_like_multi_event_clustering,0.379262482560965,0.301829725704768,0.32124350615893027,possible,possible,possible,broadly_compatible
M1_M3,apparent_relationship_from_background_or_window_choices,0.21666666666666667,0.21666666666666667,0.7075009484109135,low,low,moderate,broadly_compatible
M1_M3,common_regional_rate_pulse_without_pair_specific_linkage,0.7,0.47275,0.5406410895673496,moderate,possible,moderate,broadly_compatible
M2_M3,independent_local_clusters,0.9149797570850202,0.7903662437782404,1.0,strong,strong,strong,broadly_compatible
M2_M3,overlapping_activation_zones,0.06477732793522267,0.01356275303643725,0.022701244969752538,low,low,low,broadly_compatible
M2_M3,delayed_activation_between_clusters,0.0,0.0,0.0,low,low,low,broadly_compatible
M2_M3,linked_local_fault_system_activation,0.2641700404858299,0.13619264507422402,0.022701244969752538,possible,low,low,broadly_compatible
M2_M3,corridor_like_migration_or_expansion,0.46356275303643724,0.2588225371120108,0.0,possible,possible,low,broadly_compatible
M2_M3,broader_regional_activation,1.0,0.6083333333333334,1.0,strong,moderate,strong,broadly_compatible
M2_M3,compound_swarm_like_multi_event_clustering,0.199055330634278,0.13685053981106612,0.0,low,low,low,broadly_compatible
M2_M3,apparent_relationship_from_background_or_window_choices,0.5333333333333333,0.5333333333333333,0.8702023708392594,moderate,moderate,strong,broadly_compatible
M2_M3,common_regional_rate_pulse_without_pair_specific_linkage,0.8609311740890688,0.5453531826360773,1.0,strong,moderate,strong,broadly_compatible
