event_id,origin_time,latitude,longitude,depth_km,magnitude,dist_a_km,dist_b_km,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,proj_km,pos_norm,cross_km,midpoint_dist_km,dt_a_days,dt_b_days,pair_name,in_corridor,in_core_segment,in_sideband,endpoint_a_near,endpoint_b_near,shared_overlap,outer_band,assignment,corridor_width_km,assignment_stable_across_widths
0,2025-09-30 16:09:25.360000+00:00,38.703422,142.256738,41.35,2.8,132.99914295118714,251.82372643630512,M1,M3,132.99914295118714,148.4366829270662,15.437539975879048,0.8959991582170815,-11.595765617924066,-0.057171771997755194,-132.64516644507847,174.25674310625368,-39.66266064814815,-68.9206576388889,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
1,2025-09-30 16:55:18.670000+00:00,38.959892,142.594434,27.66,1.2,92.75509655994613,224.81299306133747,M1,M3,92.75509655994613,109.34897114488344,16.59387458493731,0.8482484616800735,-2.051509532142186,-0.010114764224067862,-92.83754189594806,139.00874514165886,-39.630793634259255,-68.888790625,M1_M2,False,False,False,False,False,False,True,outer_cluster,36.46616341836339,True
2,2025-09-30 18:47:05.380000+00:00,39.934501,142.485905,34.75,1.6,105.56606639516829,116.13338931449518,M3,M1,58.173849555007166,105.56606639516829,47.392216840161126,0.5510658068592177,95.67184264426155,0.47170052883856517,-44.90466124386047,45.27000999144784,-39.55316967592592,-68.81116666666667,M1_M2,False,False,True,False,False,False,False,regional_background,36.46616341836339,False
3,2025-09-30 20:09:46.600000+00:00,39.433223,142.694303,25.26,1.2,69.89862299175755,174.11246497759402,M3,M1,60.29810759556602,69.89862299175755,9.600515396191525,0.8626508651347307,38.71095462304806,0.1908605213702625,-58.29502813786775,85.61358234746494,-39.49574814814815,-68.75374513888889,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
4,2025-09-30 22:13:00.920000+00:00,38.903324,142.44873,33.32,1.1,106.77773231147529,229.98999461711452,M1,M3,106.77773231147529,120.83298949398366,14.05525718250837,0.8836802992182181,-1.0187841739624544,-0.005023014299173999,-106.89416127993636,148.04847940572438,-39.41016574074074,-68.66816273148147,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
5,2025-09-30 23:20:00.640000+00:00,38.56606,144.341781,19.38,1.1,117.66886647884151,319.58038634234634,M1,M3,117.66886647884151,174.78448767242566,57.11562119358415,0.673222595699522,-116.90405891349893,-0.5763838647690118,14.521702313849715,218.79812967493967,-39.36364120370371,-68.62163819444444,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
6,2025-10-01 00:40:52.420000+00:00,40.108101,141.340902,9.98,0.3,201.11968587368713,124.69010395030557,M2,M3,124.69010395030557,157.55251828138475,32.86241433107918,0.7914193013888375,162.31176428450658,0.8002620513373645,-119.15568611780412,133.8166784071785,-39.30748634259259,-68.56548333333333,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
7,2025-10-01 00:45:22.260000+00:00,39.66012,142.132129,45.69,1.2,121.35374929938743,146.02879733604922,M3,M1,89.91948392740538,121.35374929938743,31.43426537198205,0.7409699695851035,85.03330586448405,0.4192482786634656,-86.77303847665631,88.30520842169501,-39.30436319444444,-68.56236018518518,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
8,2025-10-01 01:13:56.990000+00:00,40.063778,142.028923,11.8,1.2,146.2515568608884,102.90229276372082,M3,M2,99.26727075954508,102.90229276372082,3.635022004175738,0.9646750144574301,127.99547813663355,0.6310690069019634,-71.10366128997227,75.91068057503502,-39.28451678240741,-68.54251377314816,M1_M2,False,False,True,False,False,False,False,regional_background,36.46616341836339,True
9,2025-10-01 03:36:56.830000+00:00,40.665739,141.400553,84.06,1.2,227.82240096468945,81.89496094626392,M2,M3,81.89496094626392,174.945062588433,93.05010164216907,0.4681181608361587,212.68306023485508,1.0486127288340983,-82.40974764079452,138.46550774008998,-39.185213078703704,-68.44321006944445,M1_M2,False,False,False,False,False,False,True,outer_cluster,36.46616341836339,True
