pair_name,mag_threshold,n_segment_events,n_between_mainshocks,first_between_time,first_between_pos_norm,between_pos_trend_per_day,between_magnitudes,between_times
M1_M2,3.0,602,235,2025-11-09 08:06:34.230000+00:00,0.11073510970154636,0.008723776079788416,4.6|4.5|4.0|4.1|5.1|4.5|3.5|6.1|4.0|3.9|3.3|3.3,2025-11-09T08:06:34.230000+00:00|2025-11-09T08:07:55.300000+00:00|2025-11-09T08:09:47.420000+00:00|2025-11-09T08:10:50.740000+00:00|2025-11-09T08:11:26.270000+00:00|2025-11-09T08:12:00.110000+00:00|2025-11-09T08:14:33.020000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:17:24.570000+00:00|2025-11-09T08:17:41.330000+00:00|2025-11-09T08:19:57.240000+00:00|2025-11-09T08:21:06.580000+00:00
M1_M2,4.0,126,56,2025-11-09 08:06:34.230000+00:00,0.11073510970154636,0.014746406329382422,4.6|4.5|4.0|4.1|5.1|4.5|6.1|4.0|4.0|5.9|4.5|5.5,2025-11-09T08:06:34.230000+00:00|2025-11-09T08:07:55.300000+00:00|2025-11-09T08:09:47.420000+00:00|2025-11-09T08:10:50.740000+00:00|2025-11-09T08:11:26.270000+00:00|2025-11-09T08:12:00.110000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:17:24.570000+00:00|2025-11-09T08:22:10.640000+00:00|2025-11-09T08:34:03.560000+00:00|2025-11-09T08:35:19.350000+00:00|2025-11-09T08:49:52.400000+00:00
M1_M2,5.0,38,19,2025-11-09 08:11:26.270000+00:00,0.10263606104103955,0.02820493441541974,5.1|6.1|5.9|5.5|6.6|5.5|5.1|5.0|5.9|5.2|5.0|5.3,2025-11-09T08:11:26.270000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:34:03.560000+00:00|2025-11-09T08:49:52.400000+00:00|2025-11-09T08:54:38.490000+00:00|2025-11-09T09:10:49.640000+00:00|2025-11-09T09:16:59.460000+00:00|2025-11-09T09:21:35.670000+00:00|2025-11-09T09:28:24.900000+00:00|2025-11-09T09:52:44.970000+00:00|2025-11-09T15:46:48.010000+00:00|2025-11-10T07:22:16.490000+00:00
M1_M2,6.0,10,4,2025-11-09 08:14:52.600000+00:00,0.03466492091142542,0.03284491262601442,6.1|6.6|6.4|7.5,2025-11-09T08:14:52.600000+00:00|2025-11-09T08:54:38.490000+00:00|2025-11-10T07:23:18.860000+00:00|2025-12-08T14:15:10.180000+00:00
M1_M3,3.0,563,335,2025-11-09 08:06:34.230000+00:00,0.3888513548517461,0.00027022819123367767,4.6|4.5|4.0|4.1|5.1|4.5|3.5|6.1|4.0|3.9|3.3|3.3,2025-11-09T08:06:34.230000+00:00|2025-11-09T08:07:55.300000+00:00|2025-11-09T08:09:47.420000+00:00|2025-11-09T08:10:50.740000+00:00|2025-11-09T08:11:26.270000+00:00|2025-11-09T08:12:00.110000+00:00|2025-11-09T08:14:33.020000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:17:24.570000+00:00|2025-11-09T08:17:41.330000+00:00|2025-11-09T08:19:57.240000+00:00|2025-11-09T08:21:06.580000+00:00
M1_M3,4.0,133,86,2025-11-09 08:06:34.230000+00:00,0.3888513548517461,0.0006502186701999833,4.6|4.5|4.0|4.1|5.1|4.5|6.1|4.0|4.0|5.9|4.5|5.5,2025-11-09T08:06:34.230000+00:00|2025-11-09T08:07:55.300000+00:00|2025-11-09T08:09:47.420000+00:00|2025-11-09T08:10:50.740000+00:00|2025-11-09T08:11:26.270000+00:00|2025-11-09T08:12:00.110000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:17:24.570000+00:00|2025-11-09T08:22:10.640000+00:00|2025-11-09T08:34:03.560000+00:00|2025-11-09T08:35:19.350000+00:00|2025-11-09T08:49:52.400000+00:00
M1_M3,5.0,38,24,2025-11-09 08:11:26.270000+00:00,0.3622301756943142,-0.0007872606212084299,5.1|6.1|5.9|5.5|6.6|5.5|5.1|5.0|5.9|5.2|5.0|5.3,2025-11-09T08:11:26.270000+00:00|2025-11-09T08:14:52.600000+00:00|2025-11-09T08:34:03.560000+00:00|2025-11-09T08:49:52.400000+00:00|2025-11-09T08:54:38.490000+00:00|2025-11-09T09:10:49.640000+00:00|2025-11-09T09:16:59.460000+00:00|2025-11-09T09:21:35.670000+00:00|2025-11-09T09:28:24.900000+00:00|2025-11-09T09:52:44.970000+00:00|2025-11-09T15:46:48.010000+00:00|2025-11-10T07:22:16.490000+00:00
M1_M3,6.0,6,5,2025-11-09 08:14:52.600000+00:00,0.12110452800019236,0.00044497671860353234,6.1|6.6|6.4|6.1|6.7,2025-11-09T08:14:52.600000+00:00|2025-11-09T08:54:38.490000+00:00|2025-11-10T07:23:18.860000+00:00|2026-03-08T13:17:08.920000+00:00|2026-03-26T14:18:52.960000+00:00
M2_M3,3.0,491,384,2025-12-08 14:15:10.180000+00:00,0.001966419723311646,0.0034012300367726495,7.5|4.0|3.4|3.6|3.9|3.6|3.2|3.6|3.0|3.9|3.8|3.5,2025-12-08T14:15:10.180000+00:00|2025-12-08T14:20:04.280000+00:00|2025-12-08T14:21:14.530000+00:00|2025-12-08T14:22:26.840000+00:00|2025-12-08T14:22:53.480000+00:00|2025-12-08T14:23:29.840000+00:00|2025-12-08T14:24:37.650000+00:00|2025-12-08T14:25:47.720000+00:00|2025-12-08T14:27:21.110000+00:00|2025-12-08T14:30:47.310000+00:00|2025-12-08T14:31:42.550000+00:00|2025-12-08T14:32:28.090000+00:00
M2_M3,4.0,85,67,2025-12-08 14:15:10.180000+00:00,0.001966419723311646,0.0030442368707620632,7.5|4.0|5.9|4.9|4.0|4.1|4.4|6.1|4.8|4.0|6.6|4.7,2025-12-08T14:15:10.180000+00:00|2025-12-08T14:20:04.280000+00:00|2025-12-08T14:33:39.270000+00:00|2025-12-08T15:57:55.580000+00:00|2025-12-08T16:18:43.020000+00:00|2025-12-08T17:12:44.120000+00:00|2025-12-08T17:58:26.760000+00:00|2025-12-08T18:56:29.520000+00:00|2025-12-08T19:01:10.860000+00:00|2025-12-08T19:14:41.840000+00:00|2025-12-08T21:52:42.720000+00:00|2025-12-08T22:07:16.560000+00:00
