pair_name,mag_subset,n_events,n_between_mainshocks,n_endpoint_a,n_endpoint_b,n_shared_overlap,n_corridor,n_sideband,n_outer_band,corridor_fraction,sideband_fraction,outer_fraction,shared_fraction,midpoint_fraction,ambiguous_fraction,nearest_balance_a_over_b,pre_a_count,post_a_count,pre_b_count,post_b_count,post_pre_a_ratio,post_pre_b_ratio,between_corridor_fraction,median_cross_km,median_midpoint_dist_km,median_depth_km,median_depth_endpoint_a,median_depth_endpoint_b,median_depth_corridor,median_mag,opp_endpoint_response_3d_after_a,opp_endpoint_response_3d_after_b,opp_endpoint_response_7d_after_a,opp_endpoint_response_7d_after_b,opp_endpoint_response_14d_after_a,opp_endpoint_response_14d_after_b
M1_M2,all,11688,3483,3145,1239,0,3190,4945,6174,0.27292950034223135,0.42308350444900755,0.5282340862422998,0.0,0.0242984257357974,0.10301163586584532,0.5474271543707377,997,3137,1447,6048,3.1442885771543088,4.177486187845304,0.5686520376175549,41.827882570901835,89.30224354669424,15.92,11.39,42.63,12.46,1.6,0,-36,-1,-61,35,-157
M1_M2,M3plus,756,306,311,62,0,310,270,354,0.41005291005291006,0.35714285714285715,0.46825396825396826,0.0,0.01984126984126984,0.12037037037037036,0.9069767441860465,68,291,71,354,4.231884057971015,4.930555555555555,0.7064516129032258,20.01430035413019,89.44486346511871,15.33,12.8,43.165,13.1,3.4,0,-1,0,-3,1,-2
M1_M2,M4plus,156,68,78,12,0,80,44,61,0.5128205128205128,0.28205128205128205,0.391025641025641,0.0,0.01282051282051282,0.12179487179487179,1.305084745762712,21,65,11,58,3.0,4.916666666666667,0.675,15.695379570247606,90.44536819421887,15.225,12.495000000000001,46.22,12.969999999999999,4.55,0,-1,0,-1,1,-2
M1_M2,M5plus,45,23,27,4,0,31,8,14,0.6888888888888889,0.17777777777777778,0.3111111111111111,0.0,0.022222222222222223,0.13333333333333333,2.230769230769231,8,22,2,12,2.5555555555555554,4.333333333333333,0.6129032258064516,8.804957448875472,90.60967959127291,14.01,12.8,46.815,13.62,5.5,0,0,0,0,0,0
M1_M2,M6plus,10,4,4,1,0,7,3,5,0.7,0.3,0.5,0.0,0.1,0.2,0.8,1,3,0,4,2.0,5.0,0.5714285714285714,10.21302686921409,90.22165254106152,16.245,10.825,53.46,15.99,6.5,0,0,0,0,0,0
M1_M3,all,21847,16643,5043,3138,5398,3634,1416,10230,0.16633862772920768,0.0648143909918982,0.46825651119146794,0.24708197921911476,0.08193344623975832,0.24708197921911476,0.923495568340849,997,3137,1192,4025,3.1442885771543088,3.374685666387259,0.5588882773802972,38.20154347649991,109.67901915628438,15.58,11.58,12.92,11.934999999999999,1.5,192,419,289,592,484,678
M1_M3,M3plus,1261,899,456,242,549,350,151,755,0.2775574940523394,0.11974623314829501,0.598731165741475,0.43536875495638383,0.11895321173671689,0.43536875495638383,1.134517766497462,68,291,33,292,4.231884057971015,8.617647058823529,0.6057142857142858,16.58395345252307,50.31269696407703,15.19,13.07,13.74,13.16,3.4,30,60,36,67,56,69
M1_M3,M4plus,257,188,109,46,132,92,25,161,0.35797665369649806,0.09727626459143969,0.6264591439688716,0.5136186770428015,0.12062256809338522,0.5136186770428015,1.3037974683544304,21,65,8,47,3.0,5.333333333333333,0.6195652173913043,13.775914995129279,34.89698262694705,15.59,13.0,14.08,13.125,4.5,5,11,6,11,7,10
M1_M3,M5plus,68,48,37,12,40,27,9,46,0.39705882352941174,0.1323529411764706,0.6764705882352942,0.5882352941176471,0.10294117647058823,0.5882352941176471,2.642857142857143,8,22,1,12,2.5555555555555554,6.5,0.5555555555555556,10.647893273445241,28.976513387920434,14.719999999999999,13.0,14.695,13.62,5.4,2,5,2,5,3,5
M1_M3,M6plus,13,12,6,2,7,3,3,8,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.5384615384615384,0.0,0.5384615384615384,3.0,1,3,1,0,2.0,0.5,0.6666666666666666,12.538098489609016,28.874873184433714,16.5,14.52,25.509999999999998,13.9,6.6,0,0,0,0,0,0
