pair_name,mag_subset,n_events,n_between_mainshocks,n_endpoint_a,n_endpoint_b,n_shared_overlap,n_corridor,n_sideband,n_outer_band,corridor_fraction,sideband_fraction,outer_fraction,shared_fraction,midpoint_fraction,ambiguous_fraction,nearest_balance_a_over_b,pre_a_count,post_a_count,pre_b_count,post_b_count,post_pre_a_ratio,post_pre_b_ratio,between_corridor_fraction,median_cross_km,median_midpoint_dist_km,median_depth_km,median_depth_endpoint_a,median_depth_endpoint_b,median_depth_corridor,median_mag,opp_endpoint_response_3d_after_a,opp_endpoint_response_3d_after_b,opp_endpoint_response_7d_after_a,opp_endpoint_response_7d_after_b,opp_endpoint_response_14d_after_a,opp_endpoint_response_14d_after_b,obs_between_count,obs_corridor_between_count,obs_corridor_count,obs_sideband_count,corridor_side_ratio,temporal_effect_between,temporal_effect_corridor_between,between_count_control_median,between_count_control_pct,corridor_between_control_median,corridor_between_control_pct,pseudo_corridor_median,pseudo_corridor_pct,pseudo_sideband_median,observed_corridor_count,observed_sideband_count,geometric_corridor_effect,corridor_vs_sideband_control_ratio
M1_M2,all,11688,3483,3145,1239,0,3190,4945,6174,0.27292950034223135,0.42308350444900755,0.5282340862422998,0.0,0.0242984257357974,0.10301163586584532,0.5474271543707377,997,3137,1447,6048,3.1442885771543088,4.177486187845304,0.5686520376175549,41.827882570901835,89.30224354669424,15.92,11.39,42.63,12.46,1.6,0,-36,-1,-61,35,-157,3483,1814,7905,7868,1.0047025927808846,1483.0,1233.0,2000.0,0.7416666666666667,581.0,0.9083333333333333,6231.5,0.7,5438.0,7905,7868,1673.5,1.4536594336152997
M1_M2,M3plus,756,306,311,62,0,310,270,354,0.41005291005291006,0.35714285714285715,0.46825396825396826,0.0,0.01984126984126984,0.12037037037037036,0.9069767441860465,68,291,71,354,4.231884057971015,4.930555555555555,0.7064516129032258,20.01430035413019,89.44486346511871,15.33,12.8,43.165,13.1,3.4,0,-1,0,-3,1,-2,306,219,644,362,1.7790055248618784,226.0,185.0,80.0,0.725,34.0,0.825,364.5,0.7666666666666667,332.5,644,362,279.5,1.936842105263158
M1_M2,M4plus,156,68,78,12,0,80,44,61,0.5128205128205128,0.28205128205128205,0.391025641025641,0.0,0.01282051282051282,0.12179487179487179,1.305084745762712,21,65,11,58,3.0,4.916666666666667,0.675,15.695379570247606,90.44536819421887,15.225,12.495000000000001,46.22,12.969999999999999,4.55,0,-1,0,-1,1,-2,68,54,155,55,2.8181818181818183,45.0,43.0,23.0,0.8416666666666667,11.0,0.8416666666666667,63.0,0.925,64.5,155,55,92.0,2.4031007751937983
M1_M2,M5plus,45,23,27,4,0,31,8,14,0.6888888888888889,0.17777777777777778,0.3111111111111111,0.0,0.022222222222222223,0.13333333333333333,2.230769230769231,8,22,2,12,2.5555555555555554,4.333333333333333,0.6129032258064516,8.804957448875472,90.60967959127291,14.01,12.8,46.815,13.62,5.5,0,0,0,0,0,0,23,19,50,9,5.555555555555555,18.0,16.0,5.0,0.9666666666666667,3.0,0.9666666666666667,13.5,0.9666666666666667,15.5,50,9,36.5,3.225806451612903
M1_M2,M6plus,10,4,4,1,0,7,3,5,0.7,0.3,0.5,0.0,0.1,0.2,0.8,1,3,0,4,2.0,5.0,0.5714285714285714,10.21302686921409,90.22165254106152,16.245,10.825,53.46,15.99,6.5,0,0,0,0,0,0,4,4,10,3,3.3333333333333335,3.0,3.0,1.0,0.8416666666666667,1.0,1.0,5.0,0.9583333333333334,3.0,10,3,5.0,3.3333333333333335
M1_M3,all,21847,16643,5043,3138,5398,3634,1416,10230,0.16633862772920768,0.0648143909918982,0.46825651119146794,0.24708197921911476,0.08193344623975832,0.24708197921911476,0.923495568340849,997,3137,1192,4025,3.1442885771543088,3.374685666387259,0.5588882773802972,38.20154347649991,109.67901915628438,15.58,11.58,12.92,11.934999999999999,1.5,192,419,289,592,484,678,16643,2031,3639,1416,2.569915254237288,76.5,-127.5,16566.5,0.55,2158.5,0.39166666666666666,2400.0,0.9916666666666667,2055.5,3639,1416,1239.0,1.7703721722208707
M1_M3,M3plus,1261,899,456,242,549,350,151,755,0.2775574940523394,0.11974623314829501,0.598731165741475,0.43536875495638383,0.11895321173671689,0.43536875495638383,1.134517766497462,68,291,33,292,4.231884057971015,8.617647058823529,0.6057142857142858,16.58395345252307,50.31269696407703,15.19,13.07,13.74,13.16,3.4,30,60,36,67,56,69,899,212,350,151,2.3178807947019866,-25.0,-10.0,924.0,0.30833333333333335,222.0,0.24166666666666667,243.0,0.95,188.5,350,151,107.0,1.856763925729443
M1_M3,M4plus,257,188,109,46,132,92,25,161,0.35797665369649806,0.09727626459143969,0.6264591439688716,0.5136186770428015,0.12062256809338522,0.5136186770428015,1.3037974683544304,21,65,8,47,3.0,5.333333333333333,0.6195652173913043,13.775914995129279,34.89698262694705,15.59,13.0,14.08,13.125,4.5,5,11,6,11,7,10,188,57,92,25,3.68,0.0,-5.0,188.0,0.5916666666666667,62.0,0.25,56.5,0.975,48.0,92,25,35.5,1.9166666666666667
M1_M3,M5plus,68,48,37,12,40,27,9,46,0.39705882352941174,0.1323529411764706,0.6764705882352942,0.5882352941176471,0.10294117647058823,0.5882352941176471,2.642857142857143,8,22,1,12,2.5555555555555554,6.5,0.5555555555555556,10.647893273445241,28.976513387920434,14.719999999999999,13.0,14.695,13.62,5.4,2,5,2,5,3,5,48,15,27,9,3.0,-0.5,-1.0,48.5,0.5,16.0,0.4666666666666667,14.0,0.9166666666666666,14.0,27,9,13.0,1.9285714285714286
M1_M3,M6plus,13,12,6,2,7,3,3,8,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.5384615384615384,0.0,0.5384615384615384,3.0,1,3,1,0,2.0,0.5,0.6666666666666666,12.538098489609016,28.874873184433714,16.5,14.52,25.509999999999998,13.9,6.6,0,0,0,0,0,0,12,2,3,3,1.0,,,,,,,3.0,0.6583333333333333,2.0,3,3,0.0,1.5
M2_M3,all,20971,13161,1813,3106,0,2112,5399,14128,0.10071050498307187,0.257450765342616,0.6736922416670641,0.0,0.01983691764818082,0.037289590386724525,1.5077846253649043,1447,6048,1192,4025,4.177486187845304,3.374685666387259,0.5710227272727273,35.79241468600565,84.03216631693972,15.53,42.75,12.92,28.945,1.5,0,-2,-15,-5,-35,-12,13161,1206,2161,5533,0.3905656967287186,-1082.5,57.5,14243.5,0.21666666666666667,1148.5,0.8583333333333333,2227.0,0.48333333333333334,3666.0,2161,5533,-66.0,0.5894708128750682
M2_M3,M3plus,1232,594,80,242,0,105,225,867,0.08522727272727272,0.18262987012987014,0.7037337662337663,0.0,0.025162337662337664,0.04788961038961039,1.0880829015544042,71,354,33,292,4.930555555555555,8.617647058823529,0.47619047619047616,16.73500029053568,94.34680449905142,15.274999999999999,44.325,13.74,21.26,3.4,1,0,0,2,1,2,594,50,105,231,0.45454545454545453,-37.0,3.0,631.0,0.13333333333333333,47.0,0.8666666666666667,112.5,0.43333333333333335,167.5,105,231,-7.5,0.6268656716417911
M2_M3,M4plus,247,121,15,46,0,26,34,178,0.10526315789473684,0.13765182186234817,0.7206477732793523,0.0,0.02834008097165992,0.06477732793522267,1.0,11,58,8,47,4.916666666666667,5.333333333333333,0.5,13.37381598812807,99.38561967122673,15.78,45.3,14.08,31.505000000000003,4.5,0,0,0,0,3,0,121,13,26,37,0.7027027027027027,-31.5,1.0,152.5,0.375,12.0,0.8583333333333333,24.0,0.5583333333333333,36.0,26,37,2.0,0.7222222222222222
M2_M3,M5plus,67,26,5,12,0,11,6,49,0.16417910447761194,0.08955223880597014,0.7313432835820896,0.0,0.0,0.08955223880597014,1.2142857142857142,2,12,1,12,4.333333333333333,6.5,0.5454545454545454,10.204248482491089,112.70638625726609,14.78,45.3,14.695,33.05,5.4,0,0,0,0,0,0,26,6,11,6,1.8333333333333333,-1.0,1.0,27.0,0.48333333333333334,5.0,0.8833333333333333,7.0,0.9083333333333333,7.0,11,6,4.0,1.5714285714285714
M2_M3,M6plus,13,9,1,2,0,3,2,10,0.23076923076923078,0.15384615384615385,0.7692307692307693,0.0,0.0,0.0,2.5,0,4,1,0,5.0,0.5,1.0,11.58230927074107,76.96387040017855,16.5,53.46,25.509999999999998,31.71,6.6,0,0,0,0,0,0,9,3,3,2,1.5,1.0,1.0,8.0,1.0,2.0,1.0,2.0,0.8083333333333333,2.0,3,2,1.0,1.5
