metric,value
catalog_event_count,22096.0
m4plus_event_count,259.0
m5plus_event_count,68.0
nearest_partition_M2,9543.0
nearest_partition_M3,6533.0
nearest_partition_M1,6020.0
monthly_outer_fraction_2025-09,0.5
monthly_outer_fraction_2025-10,0.5304101838755304
monthly_outer_fraction_2025-11,0.8748064016520393
monthly_outer_fraction_2025-12,0.7920095765374832
monthly_outer_fraction_2026-01,0.6963306621678617
monthly_outer_fraction_2026-02,0.6661951909476662
monthly_outer_fraction_2026-03,0.7156105100463679
monthly_outer_fraction_2026-04,0.85381861575179
monthly_outer_fraction_2026-05,0.875
M1_M2_ambiguous_frac_M4plus,0.2702702702702703
M1_M2_ambiguous_frac_M5plus,0.25
M1_M2_ambiguous_frac_M6plus,0.23076923076923078
M1_M3_ambiguous_frac_M4plus,0.5096525096525096
M1_M3_ambiguous_frac_M5plus,0.5882352941176471
M1_M3_ambiguous_frac_M6plus,0.5384615384615384
M2_M3_ambiguous_frac_M4plus,0.06177606177606178
M2_M3_ambiguous_frac_M5plus,0.08823529411764706
M2_M3_ambiguous_frac_M6plus,0.0
