region,threshold,window_name,observed_count,expected_count,obs_exp_ratio,obs_exp_ratio_ci_low,obs_exp_ratio_ci_high,percentile,exceedance_fraction,n_background_windows
common_region,3.0,7D,4,13.262,0.3016136329362087,0.08329081632653061,1.3333333333333333,7.305543618392781,0.9557370004297379,2327
common_region,3.0,14D,7,26.562,0.26353437241171596,0.051470588235294115,0.7777777777777778,0.8189655172413793,0.9969827586206896,2320
common_region,3.0,30D,10,53.4315,0.18715551687674872,0.02966921386868342,0.38461538461538464,0.0,1.0,2304
common_region,3.0,active_period,1267,348.3755,3.636880320229178,1.1764159702878365,5.2139917695473255,98.49198868991517,0.015080113100848256,2122
common_region,4.0,7D,2,2.3995,0.8335069806209626,0.2222222222222222,4.0,73.01246239793726,0.4954877524709927,2327
common_region,4.0,14D,3,4.7405,0.6328446366417044,0.1426948051948052,6.0,57.931034482758626,0.615948275862069,2320
common_region,4.0,30D,3,10.6265,0.28231308521149956,0.046875,1.5,13.715277777777779,0.953125,2304
common_region,4.0,active_period,259,62.619,4.13612481834587,1.2102803738317758,7.848484848484849,98.49198868991517,0.015080113100848256,2122
common_region,5.0,7D,0,0.4375,0.0,0.0,0.0,75.07520412548345,1.0,2327
common_region,5.0,14D,0,0.955,0.0,0.0,0.0,58.83620689655172,1.0,2320
common_region,5.0,30D,0,1.906,0.0,0.0,0.0,34.80902777777778,1.0,2304
common_region,5.0,active_period,68,12.027,5.653945289764696,1.2142857142857142,22.666666666666668,98.72761545711593,0.013666352497643733,2122
common_region,6.0,7D,0,0.0605,0.0,0.0,0.0,94.62827675118179,1.0,2327
common_region,6.0,14D,0,0.1565,0.0,0.0,0.0,89.82758620689654,1.0,2320
common_region,6.0,30D,0,0.317,0.0,0.0,0.0,80.859375,1.0,2304
common_region,6.0,active_period,13,1.9455,6.682086867129272,1.0833333333333333,26.0,99.62299717247879,0.015551366635249765,2122
m1_m3_local_union,3.0,7D,0,2.392,0.0,0.0,0.0,58.272453803180056,1.0,2327
m1_m3_local_union,3.0,14D,1,5.52,0.1811594202898551,0.02564102564102564,2.0,63.49137931034483,0.6219827586206896,2320
m1_m3_local_union,3.0,30D,1,13.234,0.07556294393229561,0.0044444444444444444,2.0,36.24131944444444,0.8467881944444444,2304
m1_m3_local_union,3.0,active_period,639,60.7705,10.51497025695033,1.4655963302752293,71.0,98.86899151743637,0.0117813383600377,2122
m1_m3_local_union,4.0,7D,0,0.628,0.0,0.0,0.0,87.62354963472282,1.0,2327
m1_m3_local_union,4.0,14D,0,1.129,0.0,0.0,0.0,81.12068965517241,1.0,2320
m1_m3_local_union,4.0,30D,0,2.244,0.0,0.0,0.0,70.96354166666666,1.0,2304
m1_m3_local_union,4.0,active_period,140,12.566,11.141174598121916,1.320754716981132,280.0,99.10461828463714,0.013195098963242224,2122
m1_m3_local_union,5.0,7D,0,0.1475,0.0,0.0,0.0,95.57370004297378,1.0,2327
m1_m3_local_union,5.0,14D,0,0.312,0.0,0.0,0.0,92.37068965517241,1.0,2320
m1_m3_local_union,5.0,30D,0,0.666,0.0,0.0,0.0,86.80555555555556,1.0,2304
m1_m3_local_union,5.0,active_period,45,3.6425,12.354152367879204,1.3636363636363635,90.0,99.10461828463714,0.014608859566446749,2122
m1_m3_local_union,6.0,7D,0,0.031,0.0,0.0,0.0,98.15212720240653,1.0,2327
m1_m3_local_union,6.0,14D,0,0.061,0.0,0.0,0.0,96.33620689655173,1.0,2320
m1_m3_local_union,6.0,30D,0,0.1175,0.0,0.0,0.0,92.88194444444444,1.0,2304
m1_m3_local_union,6.0,active_period,8,0.639,12.519561815336463,1.1428571428571428,16.0,100.0,0.015551366635249765,2122
m2_near_field,3.0,7D,0,0.914,0.0,0.0,0.0,53.54533734422002,1.0,2327
m2_near_field,3.0,14D,0,1.9195,0.0,0.0,0.0,30.862068965517242,1.0,2320
m2_near_field,3.0,30D,0,4.4625,0.0,0.0,0.0,12.196180555555555,1.0,2304
m2_near_field,3.0,active_period,135,27.994,4.822461956133457,0.9440559440559441,16.875,95.71159283694628,0.04571159283694628,2122
m2_near_field,4.0,7D,0,0.1885,0.0,0.0,0.0,85.8186506231199,1.0,2327
m2_near_field,4.0,14D,0,0.3655,0.0,0.0,0.0,74.35344827586206,1.0,2320
m2_near_field,4.0,30D,0,0.8675,0.0,0.0,0.0,54.427083333333336,1.0,2304
m2_near_field,4.0,active_period,27,5.252,5.140898705255141,1.08,54.0,98.16211121583412,0.026861451460885956,2122
m2_near_field,5.0,7D,0,0.0485,0.0,0.0,0.0,96.47614954877525,1.0,2327
m2_near_field,5.0,14D,0,0.0815,0.0,0.0,0.0,93.57758620689656,1.0,2320
m2_near_field,5.0,30D,0,0.1965,0.0,0.0,0.0,87.63020833333334,1.0,2304
m2_near_field,5.0,active_period,8,1.2595,6.351726875744343,1.0,16.0,100.0,0.05702167766258247,2122
m2_near_field,6.0,7D,0,0.011,0.0,0.0,0.0,99.01160292221745,1.0,2327
m2_near_field,6.0,14D,0,0.02,0.0,0.0,0.0,98.10344827586206,1.0,2320
m2_near_field,6.0,30D,0,0.0465,0.0,0.0,0.0,96.00694444444444,1.0,2304
m2_near_field,6.0,active_period,2,0.327,6.116207951070336,1.0,4.0,100.0,0.07728557964184732,2122
m2_outer_band,3.0,7D,2,4.1545,0.48140570465760024,0.16666666666666666,4.0,41.6845724108294,0.7988826815642458,2327
m2_outer_band,3.0,14D,3,8.609,0.3484725287489836,0.13636363636363635,1.5,17.112068965517242,0.930603448275862,2320
m2_outer_band,3.0,30D,3,18.097,0.16577333259656296,0.03296703296703297,0.5,0.13020833333333331,1.0,2304
m2_outer_band,3.0,active_period,389,115.2235,3.376047420882025,1.1209569296763722,4.987179487179487,98.68049010367578,0.013195098963242224,2122
m2_outer_band,4.0,7D,0,0.7815,0.0,0.0,0.0,55.092393639879674,1.0,2327
m2_outer_band,4.0,14D,0,1.5145,0.0,0.0,0.0,33.4051724137931,1.0,2320
m2_outer_band,4.0,30D,0,3.2485,0.0,0.0,0.0,11.588541666666668,1.0,2304
m2_outer_band,4.0,active_period,66,22.0635,2.9913658304439457,1.099549180327869,5.5,98.63336475023563,0.01413760603204524,2122
m2_outer_band,5.0,7D,0,0.136,0.0,0.0,0.0,89.04168457241083,1.0,2327
m2_outer_band,5.0,14D,0,0.277,0.0,0.0,0.0,79.52586206896551,1.0,2320
m2_outer_band,5.0,30D,0,0.564,0.0,0.0,0.0,61.067708333333336,1.0,2304
m2_outer_band,5.0,active_period,11,3.9385,2.7929414751809065,1.1,11.0,98.72761545711593,0.013666352497643733,2122
m2_outer_band,6.0,7D,0,0.02,0.0,0.0,0.0,98.92565535023635,1.0,2327
m2_outer_band,6.0,14D,0,0.033,0.0,0.0,0.0,98.01724137931035,1.0,2320
m2_outer_band,6.0,30D,0,0.0655,0.0,0.0,0.0,95.92013888888889,1.0,2304
m2_outer_band,6.0,active_period,3,0.4515,6.644518272425249,1.0,6.0,100.0,0.0763430725730443,2122
control_region,3.0,7D,2,5.495,0.36396724294813465,0.14285714285714285,2.0,17.23248818220885,0.9260850880962613,2327
control_region,3.0,14D,3,10.9195,0.274737854297358,0.10714285714285714,1.0,3.4482758620689653,0.9905172413793103,2320
control_region,3.0,30D,6,24.095,0.2490143183233036,0.10340444184687317,0.5,0.0,1.0,2304
control_region,3.0,active_period,159,164.0885,0.9689892954107082,0.6794871794871795,1.4196428571428572,59.51932139491046,0.4048067860508954,2122
control_region,4.0,7D,2,0.9455,2.1152829190904283,0.4,4.0,92.47958745165448,0.202836269875376,2327
control_region,4.0,14D,3,1.7955,1.670843776106934,0.5,6.0,88.31896551724138,0.24008620689655172,2320
control_region,4.0,30D,3,4.102,0.7313505607020965,0.23076923076923078,6.0,54.817708333333336,0.67578125,2304
control_region,4.0,active_period,38,27.85,1.3644524236983842,0.6785714285714286,2.923076923076923,82.32799245994345,0.19132893496701225,2122
control_region,5.0,7D,0,0.1285,0.0,0.0,0.0,89.17060593038246,1.0,2327
control_region,5.0,14D,0,0.2295,0.0,0.0,0.0,80.6896551724138,1.0,2320
control_region,5.0,30D,0,0.534,0.0,0.0,0.0,64.53993055555556,1.0,2304
control_region,5.0,active_period,7,3.683,1.9006244909041543,0.5833333333333334,14.0,88.17153628652214,0.16729500471253533,2122
control_region,6.0,7D,0,0.033,0.0,0.0,0.0,97.24967769660508,1.0,2327
control_region,6.0,14D,0,0.0575,0.0,0.0,0.0,94.82758620689656,1.0,2320
control_region,6.0,30D,0,0.124,0.0,0.0,0.0,89.23611111111111,1.0,2304
control_region,6.0,active_period,1,0.8225,1.21580547112462,0.3333333333333333,2.0,72.14891611687088,0.5051837888784166,2122
