window,version,window_start,window_end,total_local_events,count_in_M1_extended_60km,count_in_M3_extended_60km,count_in_corridor_20km,count_in_corridor_30km,M1_core_minus_M3_core,M1_to_M3_core_ratio,count_overlap_core,fraction_overlap_core,count_M1-core,fraction_M1-core,count_M3-core,fraction_M3-core,count_corridor_noncore,fraction_corridor_noncore,count_off-corridor_local,fraction_off-corridor_local
pre_M1_baseline_14d,raw,,2025-10-26 08:03:39.240000+00:00,563,299,464,300,352,26,1.2260869565217392,2,0.003552397868561279,141,0.25044404973357015,115,0.20426287744227353,52,0.09236234458259325,253,0.4493783303730018
pre_M1_baseline_14d,m2aware,,2025-10-26 08:03:39.240000+00:00,525,299,426,257,309,26,1.2260869565217392,2,0.0038095238095238095,141,0.26857142857142857,115,0.21904761904761905,14,0.02666666666666667,253,0.4819047619047619
pre_M1_baseline_7d,raw,,2025-11-02 08:03:39.240000+00:00,580,313,479,310,365,28,1.2352941176470589,2,0.0034482758620689655,147,0.253448275862069,119,0.20517241379310344,52,0.0896551724137931,260,0.4482758620689655
pre_M1_baseline_7d,m2aware,,2025-11-02 08:03:39.240000+00:00,542,313,441,266,321,28,1.2352941176470589,2,0.0036900369003690036,147,0.27121771217712176,119,0.21955719557195572,14,0.025830258302583026,260,0.4797047970479705
M1_related_primary,raw,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00,3147,3101,2007,2867,3042,1926,4.995850622406639,7,0.0022243406418811567,2408,0.7651731808071179,482,0.15316174134095964,114,0.03622497616777884,136,0.04321576104226247
M1_related_primary,m2aware,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00,3147,3101,2007,2866,3041,1926,4.995850622406639,7,0.0022243406418811567,2408,0.7651731808071179,482,0.15316174134095964,114,0.03622497616777884,136,0.04321576104226247
M1_related_sensitivity_narrow,raw,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00,2866,2830,1840,2622,2777,1777,5.122969837587007,6,0.00209351011863224,2208,0.7704117236566643,431,0.1503838101884159,105,0.0366364270760642,116,0.040474528960223306
M1_related_sensitivity_narrow,m2aware,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00,2866,2830,1840,2622,2777,1777,5.122969837587007,6,0.00209351011863224,2208,0.7704117236566643,431,0.1503838101884159,105,0.0366364270760642,116,0.040474528960223306
M1_related_sensitivity_broad,raw,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00,3307,3252,2118,3012,3195,2026,5.052,12,0.003628666465074085,2526,0.763834290898095,500,0.15119443604475355,120,0.03628666465074085,149,0.04505594194133656
M1_related_sensitivity_broad,m2aware,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00,3305,3252,2116,3009,3192,2026,5.052,12,0.003630862329803328,2526,0.7642965204236006,500,0.15128593040847202,118,0.0357034795763994,149,0.04508320726172466
full_M1_to_M3,raw,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00,4796,4434,3357,4214,4589,2439,3.8694117647058826,29,0.006046705587989992,3289,0.6857798165137615,850,0.17723102585487907,276,0.057547956630525435,352,0.07339449541284404
full_M1_to_M3,m2aware,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00,4738,4434,3299,4133,4506,2439,3.8694117647058826,29,0.006120726044744618,3289,0.6941747572815534,850,0.1794005909666526,220,0.04643309413254538,350,0.07387083157450401
middle_primary,raw,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00,1358,1113,1033,1137,1278,597,3.713636363636364,14,0.010309278350515464,817,0.601620029455081,220,0.16200294550810015,140,0.10309278350515463,167,0.12297496318114874
middle_primary,m2aware,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00,1313,1113,988,1074,1213,597,3.713636363636364,14,0.010662604722010662,817,0.6222391469916222,220,0.16755521706016754,97,0.07387661843107388,165,0.12566641279512566
pre_M3_primary,raw,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00,854,765,695,741,806,422,3.74025974025974,8,0.00936768149882904,576,0.6744730679156908,154,0.18032786885245902,35,0.040983606557377046,81,0.09484777517564402
pre_M3_primary,m2aware,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00,841,765,682,723,788,422,3.74025974025974,8,0.009512485136741973,576,0.6848989298454221,154,0.18311533888228299,22,0.026159334126040427,81,0.09631391200951249
