window,version,magnitude_threshold,threshold_label,event_count,duration_days,rate_per_day,fraction_of_full_M1_to_M3,window_start,window_end
pre_M1_baseline_14d,raw,3.0,M3+,20,146.0674189814815,0.13692307387546576,0.04987531172069826,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,raw,4.0,M4+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,raw,5.0,M5+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,raw,6.0,M6+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,m2aware,3.0,M3+,20,146.0674189814815,0.13692307387546576,0.05141388174807198,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,m2aware,4.0,M4+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,m2aware,5.0,M5+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_14d,m2aware,6.0,M6+,0,146.0674189814815,0.0,0.0,,2025-10-26 08:03:39.240000+00:00
pre_M1_baseline_7d,raw,3.0,M3+,21,152.91801863425925,0.13732848612318618,0.05236907730673317,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,raw,4.0,M4+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,raw,5.0,M5+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,raw,6.0,M6+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,m2aware,3.0,M3+,21,152.91801863425925,0.13732848612318618,0.05398457583547558,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,m2aware,4.0,M4+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,m2aware,5.0,M5+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
pre_M1_baseline_7d,m2aware,6.0,M6+,0,152.91801863425925,0.0,0.0,,2025-11-02 08:03:39.240000+00:00
M1_related_primary,raw,3.0,M3+,335,34.10959363425926,9.821283818037928,0.8354114713216958,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,raw,4.0,M4+,83,34.10959363425926,2.4333330056631284,0.8469387755102041,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,raw,5.0,M5+,30,34.10959363425926,0.8795179538541428,0.967741935483871,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,raw,6.0,M6+,4,34.10959363425926,0.1172690605138857,0.5,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,m2aware,3.0,M3+,335,34.10959363425926,9.821283818037928,0.8611825192802056,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,m2aware,4.0,M4+,83,34.10959363425926,2.4333330056631284,0.8736842105263158,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,m2aware,5.0,M5+,30,34.10959363425926,0.8795179538541428,0.967741935483871,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_primary,m2aware,6.0,M6+,4,34.10959363425926,0.1172690605138857,0.5,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00
M1_related_sensitivity_narrow,raw,3.0,M3+,327,20.89019861111111,15.653273867203673,0.8154613466334164,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,raw,4.0,M4+,81,20.89019861111111,3.877416462518341,0.826530612244898,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,raw,5.0,M5+,30,20.89019861111111,1.4360801713030893,0.967741935483871,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,raw,6.0,M6+,4,20.89019861111111,0.19147735617374523,0.5,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,m2aware,3.0,M3+,327,20.89019861111111,15.653273867203673,0.8406169665809768,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,m2aware,4.0,M4+,81,20.89019861111111,3.877416462518341,0.8526315789473684,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,m2aware,5.0,M5+,30,20.89019861111111,1.4360801713030893,0.967741935483871,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_narrow,m2aware,6.0,M6+,4,20.89019861111111,0.19147735617374523,0.5,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00
M1_related_sensitivity_broad,raw,3.0,M3+,343,41.102434143518515,8.34500455136884,0.8553615960099751,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,raw,4.0,M4+,84,41.102434143518515,2.0436745840086954,0.8571428571428571,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,raw,5.0,M5+,30,41.102434143518515,0.7298837800031055,0.967741935483871,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,raw,6.0,M6+,4,41.102434143518515,0.0973178373337474,0.5,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,m2aware,3.0,M3+,343,41.102434143518515,8.34500455136884,0.8817480719794345,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,m2aware,4.0,M4+,84,41.102434143518515,2.0436745840086954,0.8842105263157894,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,m2aware,5.0,M5+,30,41.102434143518515,0.7298837800031055,0.967741935483871,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,m2aware,6.0,M6+,4,41.102434143518515,0.0973178373337474,0.5,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
full_M1_to_M3,raw,3.0,M3+,401,161.99257881944445,2.4754220404562557,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
