summary_name,threshold,dominant_spatial_category,source
catalog_full,M3+,mixed_M1_endpoint_M3_endpoint,phase_raw
catalog_full,M4+,M1_endpoint,phase_raw
catalog_full,M5+,M1_endpoint,phase_raw
full_m1_to_m3,M3+,M1_endpoint,phase_raw
full_m1_to_m3,M4+,M1_endpoint,phase_raw
full_m1_to_m3,M5+,M1_endpoint,phase_raw
m1_related_primary,M3+,M1_endpoint,phase_raw
m1_related_primary,M4+,M1_endpoint,phase_raw
m1_related_primary,M5+,M1_endpoint,phase_raw
m1_related_sens_minus14_plus28,M3+,M1_endpoint,phase_raw
m1_related_sens_minus14_plus28,M4+,M1_endpoint,phase_raw
m1_related_sens_minus14_plus28,M5+,M1_endpoint,phase_raw
m1_related_sens_minus7_plus14,M3+,M1_endpoint,phase_raw
m1_related_sens_minus7_plus14,M4+,M1_endpoint,phase_raw
m1_related_sens_minus7_plus14,M5+,M1_endpoint,phase_raw
middle_phase_primary,M3+,M1_endpoint,phase_raw
middle_phase_primary,M4+,mixed_M1_endpoint_M3_endpoint,phase_raw
middle_phase_primary,M5+,low_count_M1_endpoint,phase_raw
post_m3_14d,M3+,mixed_M3_endpoint_off_corridor_local,phase_raw
post_m3_14d,M4+,mixed_M3_endpoint_off_corridor_local,phase_raw
post_m3_14d,M5+,ambiguous,phase_raw
post_m3_7d,M3+,M3_endpoint,phase_raw
post_m3_7d,M4+,M3_endpoint,phase_raw
post_m3_7d,M5+,ambiguous,phase_raw
pre_m1_baseline_14d,M3+,M1_endpoint,phase_raw
pre_m1_baseline_14d,M4+,insufficient,phase_raw
pre_m1_baseline_14d,M5+,insufficient,phase_raw
pre_m1_baseline_7d,M3+,mixed_M1_endpoint_off_corridor_local,phase_raw
pre_m1_baseline_7d,M4+,insufficient,phase_raw
pre_m1_baseline_7d,M5+,insufficient,phase_raw
pre_m3_primary,M3+,M1_endpoint,phase_raw
pre_m3_primary,M4+,M1_endpoint,phase_raw
pre_m3_primary,M5+,low_count_M1_endpoint,phase_raw
pre_m3_sens_28d,M3+,M1_endpoint,phase_raw
pre_m3_sens_28d,M4+,M1_endpoint,phase_raw
pre_m3_sens_28d,M5+,low_count_M1_endpoint,phase_raw
pre_m3_sens_42d,M3+,M1_endpoint,phase_raw
pre_m3_sens_42d,M4+,M1_endpoint,phase_raw
pre_m3_sens_42d,M5+,low_count_M1_endpoint,phase_raw
catalog_full,M3+,mixed_M1_endpoint_M3_endpoint,phase_m2aware
catalog_full,M4+,M1_endpoint,phase_m2aware
catalog_full,M5+,M1_endpoint,phase_m2aware
full_m1_to_m3,M3+,M1_endpoint,phase_m2aware
full_m1_to_m3,M4+,M1_endpoint,phase_m2aware
full_m1_to_m3,M5+,M1_endpoint,phase_m2aware
m1_related_primary,M3+,M1_endpoint,phase_m2aware
m1_related_primary,M4+,M1_endpoint,phase_m2aware
m1_related_primary,M5+,M1_endpoint,phase_m2aware
m1_related_sens_minus14_plus28,M3+,M1_endpoint,phase_m2aware
m1_related_sens_minus14_plus28,M4+,M1_endpoint,phase_m2aware
m1_related_sens_minus14_plus28,M5+,M1_endpoint,phase_m2aware
m1_related_sens_minus7_plus14,M3+,M1_endpoint,phase_m2aware
m1_related_sens_minus7_plus14,M4+,M1_endpoint,phase_m2aware
m1_related_sens_minus7_plus14,M5+,M1_endpoint,phase_m2aware
middle_phase_primary,M3+,M1_endpoint,phase_m2aware
middle_phase_primary,M4+,mixed_M1_endpoint_M3_endpoint,phase_m2aware
