mode,threshold,corridor_width_km,event_count,endpoint_frac,corridor_noncore_frac,endpoint_minus_corridor
raw,M3+,20,736,0.8478260869565217,0.006793478260869565,0.8410326086956522
raw,M3+,30,736,0.8478260869565217,0.012228260869565218,0.8355978260869565
m2aware,M3+,20,714,0.8739495798319328,0.0070028011204481795,0.8669467787114846
m2aware,M3+,30,714,0.8739495798319328,0.012605042016806723,0.8613445378151261
raw,M4+,20,158,0.8544303797468354,0.0,0.8544303797468354
raw,M4+,30,158,0.8544303797468354,0.0,0.8544303797468354
m2aware,M4+,20,155,0.8709677419354839,0.0,0.8709677419354839
m2aware,M4+,30,155,0.8709677419354839,0.0,0.8709677419354839
raw,M5+,20,50,0.86,0.0,0.86
raw,M5+,30,50,0.86,0.0,0.86
m2aware,M5+,20,50,0.86,0.0,0.86
m2aware,M5+,30,50,0.86,0.0,0.86
