subset,phase_name,phase_group,start,end,duration_days,event_count,median_mag,max_mag,secondary_summary_flag,mc_maxc,mc_ks,mc_bstab,mc_adopted,mc_method_count,mc_spread,b_value,b_std,n_total,n_above_mc,fit_mag_min,fit_mag_max,fit_mag_span,reliability,reliability_reason,median_b_value,interpretable_window_count,aggregate_minus_sliding_median_b,consistency_flag
combined_local,baseline_primary,baseline,2025-06-01 00:13:38.900000+00:00,2025-10-26 08:03:39.240000+00:00,147.32639282407408,563,1.3,3.9,True,1.5,1.1,1.1,1.1,3,0.3999999999999999,0.7538097129014112,0.034569747463884616,563,446,1.1,3.9,2.8,exploratory,mc_method_disagreement,0.7259620878149523,4,0.027847625086458883,consistent
combined_local,baseline_sensitivity_M1minus7d,baseline,2025-06-01 00:13:38.900000+00:00,2025-11-02 08:03:39.240000+00:00,154.32639282407408,580,1.3,3.9,True,1.5,1.1,1.1,1.1,3,0.3999999999999999,0.7457800012664145,0.03333409796577399,580,462,1.1,3.9,2.8,exploratory,mc_method_disagreement,0.7259620878149523,4,0.01981791345146222,consistent
combined_local,M1_related_primary,M1_related,2025-10-26 08:03:39.240000+00:00,2025-11-30 08:03:39.240000+00:00,35.0,3147,1.8,6.9,True,1.8,1.6,1.5,1.6,3,0.30000000000000004,0.6075719495792206,0.013311929753670468,3147,2245,1.6,6.9,5.300000000000001,exploratory,mc_method_disagreement,0.7510794970184489,31,-0.14350754743922833,consistent
combined_local,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,2025-11-02 08:03:39.240000+00:00,2025-11-23 08:03:39.240000+00:00,21.0,2866,1.8,6.9,True,1.8,1.6,1.5,1.6,3,0.30000000000000004,0.5935677531319081,0.013395378464359285,2866,2088,1.6,6.9,5.300000000000001,exploratory,mc_method_disagreement,0.7175308754975029,28,-0.12396312236559481,consistent
combined_local,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00,42.0,3307,1.8,6.9,True,1.8,1.7,1.5,1.7,3,0.30000000000000004,0.6092970688286822,0.01411956707680324,3307,2011,1.7,6.9,5.2,exploratory,mc_method_disagreement,0.7510794970184489,33,-0.14178242818976672,consistent
combined_local,middle_primary,middle,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00,105.9925789351852,1358,1.6,6.1,True,1.5,1.4,1.3,1.4,3,0.19999999999999996,0.7108532372964101,0.023814832977261887,1358,995,1.4,6.1,4.699999999999999,robust,good_mc_agreement_good_span_good_n,0.6933949039073625,14,0.017458333389047676,consistent
combined_local,preM3_primary,preM3,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00,35.0,854,1.5,7.7,True,1.5,1.2,1.2,1.2,3,0.30000000000000004,0.6400605947652104,0.025271299814419192,854,716,1.2,7.7,6.5,exploratory,mc_method_disagreement,0.5621653937184425,8,0.07789520104676784,consistent
combined_local,preM3_sens_M3minus42d_to_M3,preM3,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00,42.0,934,1.5,7.7,True,1.5,1.3,1.2,1.3,3,0.30000000000000004,0.6795636292708599,0.028546639401810934,934,707,1.3,7.7,6.4,exploratory,mc_method_disagreement,0.5542828974554407,9,0.1252807318154192,consistent
combined_local,preM3_sens_M3minus28d_to_M3,preM3,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00,28.0,792,1.5,7.7,True,1.5,1.2,1.2,1.2,3,0.30000000000000004,0.634201372481661,0.026101376679479326,792,661,1.2,7.7,6.5,exploratory,mc_method_disagreement,0.5621653937184425,8,0.07203597876321843,consistent
combined_local,full_M1_to_M3,full,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00,161.99257893518518,4796,1.7,7.7,True,1.8,1.5,1.5,1.5,3,0.30000000000000004,0.6304905274358058,0.011137753838541485,4796,3405,1.5,7.7,6.2,exploratory,mc_method_disagreement,0.7053784782824328,48,-0.07488795084662703,consistent
combined_local,postM3_context,postM3,2026-04-20 07:52:58.060000+00:00,2026-05-01 14:44:22.450000+00:00,11.285698958333333,3186,1.7,5.6,True,1.7,1.5,1.5,1.5,3,0.19999999999999996,0.6209908630286062,0.012483600399107482,3186,2188,1.5,5.6,4.1,robust,good_mc_agreement_good_span_good_n,0.7208607236566064,30,-0.09986986062800018,consistent
