subset,phase_name,phase_group,event_count,largest_mag,second_largest_mag,third_largest_mag,gap_1_2,gap_2_3,count_M4plus,count_M5plus,count_M6plus,companions_within_0p5,companions_within_1p0
combined_local,baseline_primary,baseline,563,3.9,3.9,3.7,0.0,0.19999999999999973,0,0,0,11,24
combined_local,baseline_sensitivity_M1minus7d,baseline,580,3.9,3.9,3.7,0.0,0.19999999999999973,0,0,0,11,25
combined_local,M1_related_primary,M1_related,3147,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,83,30,4,2,6
combined_local,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,2866,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,81,30,4,2,6
combined_local,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,3307,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,84,30,4,2,6
combined_local,middle_primary,middle,1358,6.1,6.1,5.6,0.0,0.5,18,5,2,2,3
combined_local,preM3_primary,preM3,854,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
combined_local,preM3_sens_M3minus42d_to_M3,preM3,934,7.7,6.7,5.2,1.0,1.5,15,4,2,0,1
combined_local,preM3_sens_M3minus28d_to_M3,preM3,792,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
combined_local,full_M1_to_M3,full,4796,7.7,6.9,6.7,0.7999999999999998,0.20000000000000018,95,31,8,0,2
combined_local,postM3_context,postM3,3186,5.6,5.6,5.5,0.0,0.09999999999999964,43,12,0,10,21
combined_local_m2aware,baseline_primary,baseline,563,3.9,3.9,3.7,0.0,0.19999999999999973,0,0,0,11,24
combined_local_m2aware,baseline_sensitivity_M1minus7d,baseline,580,3.9,3.9,3.7,0.0,0.19999999999999973,0,0,0,11,25
combined_local_m2aware,M1_related_primary,M1_related,3147,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,83,30,4,2,6
combined_local_m2aware,M1_related_sens_M1minus7d_to_M1plus14d,M1_related,2866,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,81,30,4,2,6
combined_local_m2aware,M1_related_sens_M1minus14d_to_M1plus28d,M1_related,3307,6.9,6.6,6.4,0.3000000000000007,0.1999999999999993,84,30,4,2,6
combined_local_m2aware,middle_primary,middle,1358,6.1,6.1,5.6,0.0,0.5,18,5,2,2,3
combined_local_m2aware,preM3_primary,preM3,854,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
combined_local_m2aware,preM3_sens_M3minus42d_to_M3,preM3,934,7.7,6.7,5.2,1.0,1.5,15,4,2,0,1
combined_local_m2aware,preM3_sens_M3minus28d_to_M3,preM3,792,7.7,6.7,5.0,1.0,1.7000000000000002,14,3,2,0,1
combined_local_m2aware,full_M1_to_M3,full,4796,7.7,6.9,6.7,0.7999999999999998,0.20000000000000018,95,31,8,0,2
