event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
1,2025-06-01 00:13:38.900000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
2,2025-06-01 00:30:20.430000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
3,2025-06-01 02:20:26.570000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
4,2025-06-01 02:39:30.110000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
5,2025-06-01 04:34:04.360000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
6,2025-06-01 08:16:05.140000+00:00,1.8,630957344480.1943,False,False,False,False,False,False,baseline_to_M1_minus14d
7,2025-06-01 08:20:35.450000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
8,2025-06-01 11:01:50.900000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
9,2025-06-01 12:09:00.700000+00:00,3.6,316227766016837.94,False,False,False,False,False,False,baseline_to_M1_minus14d
10,2025-06-01 12:39:22.810000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
11,2025-06-01 16:16:20.760000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
12,2025-06-01 18:47:58.200000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
13,2025-06-01 19:05:17.480000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
14,2025-06-01 19:17:34.300000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
15,2025-06-01 19:26:16.400000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
16,2025-06-01 19:30:56.480000+00:00,1.8,630957344480.1943,False,False,False,False,False,False,baseline_to_M1_minus14d
17,2025-06-01 20:00:55.120000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
18,2025-06-01 21:03:08.200000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
19,2025-06-01 21:19:22.280000+00:00,1.8,630957344480.1943,False,False,False,False,False,False,baseline_to_M1_minus14d
