boundary_name,time
catalog_start,2025-06-01 00:13:38.900000+00:00
M1_minus_14d,2025-10-26 08:03:39.240000+00:00
M1_minus_7d,2025-11-02 08:03:39.240000+00:00
M1_time,2025-11-09 08:03:39.240000+00:00
M1_plus_14d,2025-11-23 08:03:39.240000+00:00
M1_plus_21d,2025-11-30 08:03:39.240000+00:00
M1_plus_28d,2025-12-07 08:03:39.240000+00:00
M3_minus_42d,2026-03-09 07:52:58.060000+00:00
M3_minus_35d,2026-03-16 07:52:58.060000+00:00
M3_minus_28d,2026-03-23 07:52:58.060000+00:00
M3_time,2026-04-20 07:52:58.060000+00:00
catalog_end,2026-05-01 14:44:22.450000+00:00
