subset,phase_name,interpretable_window_count,window_count,phase_group,median_b_value,b_value_iqr,median_mc,mc_iqr,robust_windows,usable_with_caution_windows,exploratory_windows,not_interpretable_windows
M1_core,baseline_primary,0,0,,,,,,,,,
M1_core,baseline_sensitivity_M1minus7d,0,0,,,,,,,,,
M1_core,M1_related_primary,24,24,M1_related,0.7485449229453975,0.3193276005079654,1.6,0.30000000000000004,7.0,1.0,16.0,0.0
M1_core,M1_related_sens_M1minus7d_to_M1plus14d,22,22,M1_related,0.69607663113667,0.3261749104097976,1.7000000000000002,0.30000000000000004,5.0,1.0,16.0,0.0
M1_core,M1_related_sens_M1minus14d_to_M1plus28d,25,25,M1_related,0.7829535866587156,0.31590394555704937,1.6,0.30000000000000004,7.0,1.0,17.0,0.0
M1_core,middle_primary,8,8,middle,0.7468393121699302,0.14450146377335715,1.5,0.19999999999999996,3.0,0.0,5.0,0.0
M1_core,preM3_primary,6,6,preM3,0.5546299317372541,0.02821594224247359,1.2,0.0,0.0,0.0,6.0,0.0
M1_core,preM3_sens_M3minus42d_to_M3,7,7,preM3,0.5443773874614456,0.0308585498767997,1.2,0.050000000000000044,1.0,0.0,6.0,0.0
M1_core,preM3_sens_M3minus28d_to_M3,6,6,preM3,0.5546299317372541,0.02821594224247359,1.2,0.0,0.0,0.0,6.0,0.0
M1_core,full_M1_to_M3,33,33,full,0.7206059764097039,0.26844862201009934,1.5,0.5,10.0,0.0,23.0,0.0
M1_core,postM3_context,2,2,postM3,0.5417469256080212,0.005871926707651354,1.35,0.050000000000000044,0.0,2.0,0.0,0.0
M1_extended,baseline_primary,1,1,baseline,0.6563273573278192,,1.3,,0.0,1.0,0.0,0.0
M1_extended,baseline_sensitivity_M1minus7d,1,1,baseline,0.6563273573278192,,1.3,,0.0,1.0,0.0,0.0
M1_extended,M1_related_primary,31,31,M1_related,0.7380985759843451,0.247023076226917,1.5,0.3500000000000001,11.0,1.0,19.0,0.0
