subset,reliability,window_count
M1_core,exploratory,27
M1_core,robust,10
M1_core,usable_with_caution,3
M1_extended,exploratory,72
M1_extended,robust,28
M1_extended,usable_with_caution,5
M3_core,exploratory,13
M3_core,robust,8
M3_core,usable_with_caution,3
M3_extended,exploratory,80
M3_extended,robust,21
M3_extended,usable_with_caution,1
along_axis_20km,exploratory,35
along_axis_20km,robust,8
along_axis_20km,usable_with_caution,1
along_axis_30km,exploratory,32
along_axis_30km,robust,13
along_axis_30km,usable_with_caution,2
combined_local,exploratory,91
combined_local,robust,35
combined_local,usable_with_caution,5
combined_local_m2aware,exploratory,90
combined_local_m2aware,robust,34
combined_local_m2aware,usable_with_caution,7
off_axis_20km,exploratory,20
off_axis_20km,robust,15
off_axis_20km,usable_with_caution,3
off_axis_30km,exploratory,23
off_axis_30km,robust,10
off_axis_30km,usable_with_caution,2
overlap_60km,exploratory,37
overlap_60km,robust,13
overlap_60km,usable_with_caution,1
