subset,event_count,time_start,time_end
combined_local,9109,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
combined_local_m2aware,9109,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
M1_extended,7402,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
M3_extended,7268,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
M1_core,4460,2025-06-03 15:58:03.730000+00:00,2026-05-01 14:44:22.450000+00:00
M3_core,2851,2025-06-02 03:47:03.300000+00:00,2026-05-01 13:36:12.660000+00:00
along_axis_20km,4886,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
along_axis_30km,5148,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
off_axis_20km,4223,2025-06-02 04:46:16.890000+00:00,2026-05-01 13:46:43.220000+00:00
off_axis_30km,3961,2025-06-02 04:46:16.890000+00:00,2026-05-01 13:46:43.220000+00:00
overlap_60km,5561,2025-06-02 03:47:03.300000+00:00,2026-05-01 14:44:22.450000+00:00
