phase_primary,mag_threshold,catalog_event_count,matched_event_count,coverage_fraction,complete_mechanism_count,partial_mechanism_count,metadata_only_count,complete_mechanism_fraction_of_matched,median_match_time_diff_sec,median_match_horizontal_diff_km,median_match_depth_diff_km,median_catalog_mag_of_matched
baseline_to_M1_minus14d,3.0,96,7,0.07291666666666667,4,0,3,0.5714285714285714,0.0,0.10166117778711903,0.010000000000005116,3.9
baseline_to_M1_minus14d,3.5,43,7,0.16279069767441862,4,0,3,0.5714285714285714,0.0,0.10166117778711903,0.010000000000005116,3.9
baseline_to_M1_minus14d,4.0,11,3,0.2727272727272727,2,0,1,0.6666666666666666,0.0,0.12826083911469757,0.010000000000005116,4.4
baseline_to_M1_minus14d,4.5,4,1,0.25,1,0,0,1.0,0.0,0.12826083911469757,0.010000000000005116,4.6
baseline_to_M1_minus14d,5.0,1,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,3.0,358,12,0.0335195530726257,6,0,6,0.5,0.01,0.10508531407996873,0.07500000000000373,3.7
M1_related_M1minus14d_to_M1plus21d,3.5,175,12,0.06857142857142857,6,0,6,0.5,0.01,0.10508531407996873,0.07500000000000373,3.7
M1_related_M1minus14d_to_M1plus21d,4.0,86,3,0.03488372093023256,0,0,3,0.0,0.01,0.09589017314480093,0.019999999999999574,4.3
M1_related_M1minus14d_to_M1plus21d,4.5,57,1,0.017543859649122806,0,0,1,0.0,0.01,0.10002103034530635,0.0,4.8
M1_related_M1minus14d_to_M1plus21d,5.0,30,0,0.0,0,0,0,,,,,
middle_M1plus21d_to_M3minus35d,3.0,518,195,0.3764478764478765,53,0,142,0.2717948717948718,0.01,0.08066294439313947,0.0899999999999963,3.8
middle_M1plus21d_to_M3minus35d,3.5,238,192,0.8067226890756303,51,0,141,0.265625,0.01,0.08136633493527584,0.08999999999999808,3.8
middle_M1plus21d_to_M3minus35d,4.0,100,76,0.76,33,0,43,0.4342105263157895,0.01,0.08880002429267259,0.07000000000000028,4.4
middle_M1plus21d_to_M3minus35d,4.5,49,33,0.673469387755102,19,0,14,0.5757575757575758,0.01,0.09645755984813205,0.0799999999999983,5.1
middle_M1plus21d_to_M3minus35d,5.0,23,18,0.782608695652174,11,0,7,0.6111111111111112,0.005,0.1152516507258239,0.07000000000000028,5.55
preM3_M3minus35d_to_M3,3.0,88,13,0.14772727272727273,5,0,8,0.38461538461538464,0.01,0.10602987331216335,0.07000000000000028,3.9
preM3_M3minus35d_to_M3,3.5,43,13,0.3023255813953488,5,0,8,0.38461538461538464,0.01,0.10602987331216335,0.07000000000000028,3.9
preM3_M3minus35d_to_M3,4.0,23,6,0.2608695652173913,3,0,3,0.5,0.005,0.09614668640945007,0.0899999999999963,4.25
preM3_M3minus35d_to_M3,4.5,10,0,0.0,0,0,0,,,,,
preM3_M3minus35d_to_M3,5.0,3,0,0.0,0,0,0,,,,,
post_M3_context,3.0,290,13,0.04482758620689655,3,0,10,0.23076923076923078,0.01,0.08198042133157389,0.07000000000000028,3.8
post_M3_context,3.5,118,13,0.11016949152542373,3,0,10,0.23076923076923078,0.01,0.08198042133157389,0.07000000000000028,3.8
post_M3_context,4.0,46,4,0.08695652173913043,3,0,1,0.75,0.005,0.05910420941816115,0.07499999999999929,4.1
post_M3_context,4.5,25,0,0.0,0,0,0,,,,,
post_M3_context,5.0,12,0,0.0,0,0,0,,,,,
outside_key_window,3.0,0,0,,0,0,0,,,,,
outside_key_window,3.5,0,0,,0,0,0,,,,,
outside_key_window,4.0,0,0,,0,0,0,,,,,
outside_key_window,4.5,0,0,,0,0,0,,,,,
outside_key_window,5.0,0,0,,0,0,0,,,,,
