phase_primary,spatial_class,catalog_event_count,matched_event_count,coverage_fraction,complete_mechanism_count,partial_mechanism_count,metadata_only_count,complete_mechanism_fraction_of_matched,median_match_time_diff_sec,median_match_horizontal_diff_km,median_match_depth_diff_km,median_catalog_mag_of_matched
baseline_to_M1_minus14d,combined_local,563,0,0.0,0,0,0,,,,,
baseline_to_M1_minus14d,M1_extended,299,0,0.0,0,0,0,,,,,
baseline_to_M1_minus14d,M3_extended,464,0,0.0,0,0,0,,,,,
baseline_to_M1_minus14d,along_axis_30km,168,0,0.0,0,0,0,,,,,
baseline_to_M1_minus14d,off_axis_30km,395,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,combined_local,3147,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,M1_extended,3101,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,M3_extended,2007,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,along_axis_30km,1829,0,0.0,0,0,0,,,,,
M1_related_M1minus14d_to_M1plus21d,off_axis_30km,1318,0,0.0,0,0,0,,,,,
middle_M1plus21d_to_M3minus35d,combined_local,1358,1,0.0007363770250368188,0,0,1,0.0,0.01,0.10340787664696285,0.0,3.9
middle_M1plus21d_to_M3minus35d,M1_extended,1113,0,0.0,0,0,0,,,,,
middle_M1plus21d_to_M3minus35d,M3_extended,1033,1,0.000968054211035818,0,0,1,0.0,0.01,0.10340787664696285,0.0,3.9
middle_M1plus21d_to_M3minus35d,along_axis_30km,759,0,0.0,0,0,0,,,,,
middle_M1plus21d_to_M3minus35d,off_axis_30km,599,1,0.001669449081803005,0,0,1,0.0,0.01,0.10340787664696285,0.0,3.9
preM3_M3minus35d_to_M3,combined_local,854,1,0.00117096018735363,0,0,1,0.0,0.01,0.06395143051980544,0.019999999999999574,3.7
preM3_M3minus35d_to_M3,M1_extended,765,0,0.0,0,0,0,,,,,
preM3_M3minus35d_to_M3,M3_extended,695,1,0.0014388489208633094,0,0,1,0.0,0.01,0.06395143051980544,0.019999999999999574,3.7
preM3_M3minus35d_to_M3,along_axis_30km,596,0,0.0,0,0,0,,,,,
preM3_M3minus35d_to_M3,off_axis_30km,258,1,0.003875968992248062,0,0,1,0.0,0.01,0.06395143051980544,0.019999999999999574,3.7
post_M3_context,combined_local,3187,6,0.0018826482585503608,1,0,5,0.16666666666666666,0.01,0.08988697264559667,0.11999999999999922,3.7
post_M3_context,M1_extended,2124,0,0.0,0,0,0,,,,,
post_M3_context,M3_extended,3069,6,0.0019550342130987292,1,0,5,0.16666666666666666,0.01,0.08988697264559667,0.11999999999999922,3.7
post_M3_context,along_axis_30km,1796,0,0.0,0,0,0,,,,,
post_M3_context,off_axis_30km,1391,6,0.004313443565780014,1,0,5,0.16666666666666666,0.01,0.08988697264559667,0.11999999999999922,3.7
outside_key_window,combined_local,0,0,,0,0,0,,,,,
outside_key_window,M1_extended,0,0,,0,0,0,,,,,
outside_key_window,M3_extended,0,0,,0,0,0,,,,,
outside_key_window,along_axis_30km,0,0,,0,0,0,,,,,
outside_key_window,off_axis_30km,0,0,,0,0,0,,,,,
