x_center_km,y_center_km,n_total,mc,mc_method,b_value,b_std,n_complete,reliability_flag,reliable
-64.29067087874695,-50.0,323,1.1,maxc,0.5172693186004036,0.02799963327216169,223,reliable,True
-64.29067087874695,-30.0,1269,1.8,maxc,0.788485807828695,0.031287696015755144,520,reliable,True
-64.29067087874695,-10.0,3186,1.5999999999999999,maxc,0.795195426906705,0.01863440043741102,1762,reliable,True
-64.29067087874695,10.0,3019,1.5999999999999999,maxc,0.8091786980282671,0.02099182310853389,1542,reliable,True
-64.29067087874695,30.0,1597,1.5999999999999999,maxc,0.8182593571095269,0.028988540756668804,792,reliable,True
-64.29067087874695,50.0,665,1.5999999999999999,maxc,0.8997716361408049,0.05494288764888996,282,reliable,True
-44.29067087874695,-50.0,707,1.5,maxc,0.6555208715198285,0.026991976830281296,392,reliable,True
-44.29067087874695,-30.0,4146,1.8,maxc,0.7667751188058024,0.019350532424217005,1646,reliable,True
-44.29067087874695,-10.0,6897,1.8,maxc,0.6768841599038954,0.013037815164961442,2890,reliable,True
-44.29067087874695,10.0,7055,1.5999999999999999,maxc,0.69786175823755,0.011705208418257921,3937,reliable,True
-44.29067087874695,30.0,4012,1.5,maxc,0.7181523642819808,0.015871653232666198,2379,reliable,True
-44.29067087874695,50.0,1539,1.5,maxc,0.8646954744776747,0.034215273256187013,729,reliable,True
-24.29067087874695,-50.0,1117,1.7,maxc,0.6883316546938438,0.028578260746710285,558,reliable,True
-24.29067087874695,-30.0,6611,1.8,maxc,0.6736878303883683,0.012202105322858313,2959,reliable,True
-24.29067087874695,-10.0,9834,1.5999999999999999,maxc,0.6543998829396024,0.00880308373146644,5668,reliable,True
-24.29067087874695,10.0,9811,1.5999999999999999,maxc,0.6853629106788227,0.009654131296454357,5468,reliable,True
-24.29067087874695,30.0,5531,1.5,maxc,0.6695628043540612,0.012669483208055806,3269,reliable,True
-24.29067087874695,50.0,2216,1.5,maxc,0.8829066243971899,0.030860446115874164,1021,reliable,True
-4.290670878746951,-50.0,1396,1.7,maxc,0.6793177092276582,0.02497037119038196,767,reliable,True
-4.290670878746951,-30.0,5442,1.8,maxc,0.6601204778644477,0.013176874358479824,2476,reliable,True
-4.290670878746951,-10.0,10808,1.5999999999999999,maxc,0.6448466233727274,0.008332668634859378,6201,reliable,True
-4.290670878746951,10.0,10017,1.7,maxc,0.6419409956154271,0.009713960755291892,4657,reliable,True
-4.290670878746951,30.0,6549,1.5,maxc,0.6950074576393694,0.012626604462503334,3573,reliable,True
-4.290670878746951,50.0,2805,1.5,maxc,0.985646826562262,0.032635412730659,1188,reliable,True
15.709329121253049,-50.0,1168,1.8,maxc,0.716869721700741,0.03165248488050344,542,reliable,True
15.709329121253049,-30.0,4832,1.7,maxc,0.6304173382451447,0.012789859303086801,2381,reliable,True
15.709329121253049,-10.0,7898,1.5,maxc,0.6541849573600517,0.009316607540684564,4965,reliable,True
15.709329121253049,10.0,7840,1.5999999999999999,maxc,0.6537350972272494,0.010415281296529463,4056,reliable,True
15.709329121253049,30.0,5721,1.5,maxc,0.8274070557518792,0.018001607246337654,2648,reliable,True
15.709329121253049,50.0,3424,1.5,maxc,1.1204210814521174,0.03204626036373226,1275,reliable,True
35.70932912125305,-50.0,1628,1.5999999999999999,maxc,0.8046969632357844,0.029776421440399402,845,reliable,True
35.70932912125305,-30.0,4419,1.7,maxc,0.7257728832120497,0.018144866871925607,1826,reliable,True
35.70932912125305,-10.0,6451,1.5999999999999999,maxc,0.7117645529471841,0.013135228503642736,3122,reliable,True
35.70932912125305,10.0,5450,1.5,maxc,0.7488025163111549,0.015229313894019346,2807,reliable,True
35.70932912125305,30.0,5055,1.5,maxc,0.8651748853659295,0.020914736482288452,2120,reliable,True
35.70932912125305,50.0,4485,1.4,maxc,0.9050543707721777,0.021586514191257938,1912,reliable,True
55.70932912125305,-50.0,1925,1.7,maxc,0.9043651253327205,0.03721326799154876,701,reliable,True
55.70932912125305,-30.0,2462,1.7,maxc,0.8947461220674836,0.032610634140474146,903,reliable,True
55.70932912125305,-10.0,4059,1.7,maxc,0.7698795275443752,0.02216331359064847,1508,reliable,True
55.70932912125305,10.0,3611,1.5999999999999999,maxc,0.777851865430568,0.02282879547479179,1477,reliable,True
55.70932912125305,30.0,4650,1.4,maxc,0.7796356098988284,0.018048469350199894,2025,reliable,True
55.70932912125305,50.0,3553,1.4,maxc,0.8061111393789573,0.02328866631823324,1340,reliable,True
