time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-01 00:03:00.070,39.632,142.112,20.6,1.0,1,pre_M1_reference,pre_M1_reference_7d
2020-01-01 00:29:10.570,39.084,140.939,15.6,0.5,2,pre_M1_reference,pre_M1_reference_7d
2020-01-01 00:37:35.440,40.599,140.86,112.2,1.2,3,pre_M1_reference,pre_M1_reference_7d
2020-01-01 00:42:02.880,39.44,142.708,30.6,2.3,4,pre_M1_reference,pre_M1_reference_7d
2020-01-01 00:54:18.320,38.976,140.897,7.5,1.2,5,pre_M1_reference,pre_M1_reference_7d
2020-01-01 01:12:16.540,41.809,142.507,68.7,3.6,6,pre_M1_reference,pre_M1_reference_7d
2020-01-01 01:32:16.570,42.916,145.101,68.4,1.3,7,pre_M1_reference,pre_M1_reference_7d
2020-01-01 01:50:48.220,39.273,142.234,40.9,1.6,8,pre_M1_reference,pre_M1_reference_7d
2020-01-01 01:57:17.220,39.273,142.234,41.0,1.5,9,pre_M1_reference,pre_M1_reference_7d
2020-01-01 02:05:22.080,42.947,143.595,122.2,1.3,10,pre_M1_reference,pre_M1_reference_7d
2020-01-01 02:16:29.000,38.875,142.191,41.2,2.3,11,pre_M1_reference,pre_M1_reference_7d
2020-01-01 02:23:04.890,38.34,141.378,67.8,0.9,12,pre_M1_reference,pre_M1_reference_7d
2020-01-01 02:42:42.740,40.665,142.613,20.5,2.3,13,pre_M1_reference,pre_M1_reference_7d
2020-01-01 02:45:43.160,38.458,142.167,25.1,1.2,14,pre_M1_reference,pre_M1_reference_7d
2020-01-01 03:09:33.440,42.88,144.583,45.2,1.2,15,pre_M1_reference,pre_M1_reference_7d
2020-01-01 03:30:44.430,38.114,141.772,54.2,0.7,16,pre_M1_reference,pre_M1_reference_7d
2020-01-01 03:39:51.610,38.088,141.961,40.8,1.1,17,pre_M1_reference,pre_M1_reference_7d
2020-01-01 04:53:44.710,39.835,141.83,68.8,0.8,18,pre_M1_reference,pre_M1_reference_7d
2020-01-01 05:11:13.990,38.978,142.35,33.5,1.1,19,pre_M1_reference,pre_M1_reference_7d
2020-01-01 05:20:00.730,38.395,142.113,25.2,0.7,20,pre_M1_reference,pre_M1_reference_7d
2020-01-01 05:20:55.250,38.443,142.209,27.4,2.7,21,pre_M1_reference,pre_M1_reference_7d
2020-01-01 06:10:25.830,39.709,142.109,24.5,0.8,22,pre_M1_reference,pre_M1_reference_7d
2020-01-01 08:32:54.820,38.824,142.393,28.4,1.2,23,pre_M1_reference,pre_M1_reference_7d
2020-01-01 08:46:30.460,42.681,141.946,19.2,0.7,24,pre_M1_reference,pre_M1_reference_7d
2020-01-01 08:47:35.930,39.137,142.358,32.5,2.0,25,pre_M1_reference,pre_M1_reference_7d
2020-01-01 09:26:46.800,39.15,142.341,34.8,1.3,26,pre_M1_reference,pre_M1_reference_7d
2020-01-01 10:37:59.570,38.496,142.108,35.7,1.4,27,pre_M1_reference,pre_M1_reference_7d
2020-01-01 10:43:31.030,41.881,143.005,50.9,1.5,28,pre_M1_reference,pre_M1_reference_7d
2020-01-01 10:49:15.890,39.355,141.207,10.3,3.1,29,pre_M1_reference,pre_M1_reference_7d
2020-01-01 11:14:20.270,38.333,142.091,32.2,1.2,30,pre_M1_reference,pre_M1_reference_7d
2020-01-01 11:33:52.750,38.873,144.153,0.0,2.4,31,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:15:56.430,39.73,142.239,42.0,1.2,32,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:24:05.690,38.611,142.324,27.0,1.2,33,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:25:44.620,39.267,140.44,147.1,2.6,34,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:44:34.260,38.721,141.959,51.8,0.8,35,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:46:41.880,38.963,140.876,7.3,1.2,36,pre_M1_reference,pre_M1_reference_7d
2020-01-01 12:50:33.990,39.42,142.114,39.2,2.8,37,pre_M1_reference,pre_M1_reference_7d
2020-01-01 13:03:26.370,38.365,142.36,28.6,1.7,38,pre_M1_reference,pre_M1_reference_7d
2020-01-01 13:38:03.240,38.342,142.326,35.7,1.4,39,pre_M1_reference,pre_M1_reference_7d
2020-01-01 13:49:10.520,39.062,140.875,8.6,1.0,40,pre_M1_reference,pre_M1_reference_7d
