window_start_index,mc_maxc,mc_ks,b_maxc,b_ks
0,1.9,1.6,0.6871581236945987,0.6188001665179071
1340,1.4,1.2,0.8764729350893855,0.819724250154442
2681,1.5,1.3,0.9210146936970223,0.9131055914445136
4021,1.4,1.1,0.8647441646925967,0.7995058988372106
5362,1.5,1.4,0.9390450286833117,0.8813608870055122
6703,1.8,1.5,0.8117218068708356,0.7974198787104256
8043,1.5,1.3,0.8711657329852647,0.8034312764004462
9384,1.7,1.1,0.6185236779092489,0.6223451880116386
10725,1.1,1.1,0.7874137314036164,0.7874137314036164
12065,1.8,1.3,0.523987054599803,0.5235412031119306
13406,2.0,1.6,0.8117389885519914,0.7213151639450223
14747,1.7,1.4,0.8340754260440933,0.7534180350381352
16087,1.5,1.3,0.8477481255808706,0.7811386638620554
17428,1.5,1.3,0.8489712236963708,0.8917413645850099
18769,1.7,1.4,0.7113279294796967,0.6769946656407728
20109,1.4,1.4,0.8462216526945681,0.8462216526945681
21450,1.4,1.3,0.7819373177665988,0.7504226118244375
22791,1.4,1.1,0.931763133400747,0.8598920490354879
