region,phase,n_windows,fraction_reliable,median_b_value_reliable,iqr_b_value_reliable,median_mc,median_rate_events_per_day
whole_oriented_area,M1_related,33,1.0,0.7766738671377889,0.2599805309044786,1.8,172.3923747819805
whole_oriented_area,final_pre_M3,10,1.0,0.5600225290224137,0.19113136506586392,1.5,27.23502497282854
whole_oriented_area,middle_phase,16,1.0,0.7983484038290856,0.06543579198196103,1.5,15.618508407641976
whole_oriented_area,post_M3_context,50,1.0,0.7526748829561218,0.09013894091313923,1.7,144.10462803707986
whole_oriented_area,pre_M1_reference,119,1.0,0.8275797089800602,0.1030565552690158,1.5,5.780928239739977
M1_80km,M1_related,34,1.0,0.7712284273317812,0.22490468186838897,1.8,163.9110121373368
M1_80km,final_pre_M3,9,1.0,0.5555778190248074,0.21326908811740353,1.5,26.811462632625584
M1_80km,middle_phase,15,1.0,0.7248091777370816,0.1477916225531659,1.5,14.070155135380917
M1_80km,post_M3_context,42,1.0,0.7753748957117352,0.11421175575082587,1.5999999999999999,124.28653135599964
M1_80km,pre_M1_reference,92,1.0,0.8417194531779907,0.12551308523202676,1.5,4.470478611971968
M3_80km,M1_related,33,1.0,0.7426155802407485,0.24550719669352083,1.8,137.36210450445319
M3_80km,final_pre_M3,12,1.0,0.5608294080457137,0.22409444793875832,1.5,36.97506255027331
M3_80km,middle_phase,20,1.0,0.7656115416311329,0.1308173679169844,1.5,21.796009179450657
M3_80km,post_M3_context,62,1.0,0.7790812904697952,0.1128877879215362,1.5999999999999999,204.8354152265216
M3_80km,pre_M1_reference,179,1.0,0.8129677263974909,0.09890939489618367,1.4,8.605607311731942
M1_60km,M1_related,32,1.0,0.7639919256719538,0.2571494776420704,1.8,171.79167155399955
M1_60km,final_pre_M3,8,1.0,0.5604713233719566,0.20142255878566084,1.5,24.54041829941023
M1_60km,middle_phase,13,1.0,0.7552290748011564,0.12714242315722946,1.5,12.472999781104626
M1_60km,post_M3_context,30,1.0,0.7163888665069871,0.07706205300016389,1.7,121.01837069936502
M1_60km,pre_M1_reference,62,1.0,0.8011205266334367,0.07930585130665857,1.5,3.060204406983864
M3_60km,M1_related,20,1.0,0.7004124617288067,0.24587065942888764,1.8,103.94411560850234
M3_60km,final_pre_M3,7,1.0,0.5551732784983133,0.15794837208699886,1.5,23.031688815482962
M3_60km,middle_phase,13,1.0,0.721730197492474,0.05432077624062226,1.5,13.065883529062841
M3_60km,post_M3_context,52,1.0,0.775929119446047,0.1302351549389974,1.7,159.57711141872014
M3_60km,pre_M1_reference,79,1.0,0.8437765251037791,0.10793014639738452,1.5999999999999999,3.8729866681121274
