window,radius_km,vertex_order,east_km,north_km
foreshock_final2d,80.0,0,8.819862104626397,-7.062768155682937
foreshock_final2d,80.0,1,11.616942903020192,1.8257095005769064
foreshock_final2d,80.0,2,6.320772501251805,7.46640573940202
foreshock_final2d,80.0,3,-0.5939749023050509,8.754932549359529
foreshock_final2d,80.0,4,-6.753588019490311,8.286690713258729
foreshock_final2d,80.0,5,-7.821704848558932,7.753288650145182
foreshock_final2d,80.0,6,-10.179655492544288,3.673435596629156
foreshock_final2d,80.0,7,-11.139316138739238,0.9415986388261884
foreshock_final2d,80.0,8,-11.80051928218423,-2.448178699933047
foreshock_final2d,80.0,9,-11.393127778994868,-3.881147719602177
foreshock_final2d,80.0,10,-10.951717628153466,-4.714998474509246
foreshock_final2d,80.0,11,-9.685565461365078,-6.659686546596462
foreshock_final2d,80.0,12,0.6645694440218561,-7.471298316174669
aftershock_0_0p5d,80.0,0,-24.838612218754275,0.317127930789969
aftershock_0_0p5d,80.0,1,-18.07120712237099,-19.756780981425567
aftershock_0_0p5d,80.0,2,-3.8022297475604,-28.12898059327456
aftershock_0_0p5d,80.0,3,9.748369269603522,-26.506980198309726
aftershock_0_0p5d,80.0,4,13.019338898313476,-24.855513147785
aftershock_0_0p5d,80.0,5,23.39088660721418,-17.09366248828847
aftershock_0_0p5d,80.0,6,27.551379043367227,-2.717381617340117
aftershock_0_0p5d,80.0,7,16.499268107264843,17.976883790625905
aftershock_0_0p5d,80.0,8,4.308428400816323,25.75541368911888
aftershock_0_0p5d,80.0,9,-5.345672744222231,25.93465991087008
aftershock_0_0p5d,80.0,10,-21.37235288980324,19.266856134629307
aftershock_0_0p5d,80.0,11,-21.718824434651328,18.197716914941463
