bin_left_day,bin_right_day,bin_center_day,event_count,rate_per_day
-10.0,-9.75,-9.875,0,0.0
-9.75,-9.5,-9.625,0,0.0
-9.5,-9.25,-9.375,1,4.0
-9.25,-9.0,-9.125,0,0.0
-9.0,-8.75,-8.875,0,0.0
-8.75,-8.5,-8.625,2,8.0
-8.5,-8.25,-8.375,1,4.0
-8.25,-8.0,-8.125,3,12.0
-8.0,-7.75,-7.875,0,0.0
-7.75,-7.5,-7.625,1,4.0
-7.5,-7.25,-7.375,2,8.0
-7.25,-7.0,-7.125,0,0.0
-7.0,-6.75,-6.875,7,28.0
-6.75,-6.5,-6.625,2,8.0
-6.5,-6.25,-6.375,3,12.0
-6.25,-6.0,-6.125,2,8.0
-6.0,-5.75,-5.875,5,20.0
-5.75,-5.5,-5.625,11,44.0
-5.5,-5.25,-5.375,26,104.0
-5.25,-5.0,-5.125,6,24.0
-5.0,-4.75,-4.875,13,52.0
-4.75,-4.5,-4.625,2,8.0
-4.5,-4.25,-4.375,4,16.0
-4.25,-4.0,-4.125,5,20.0
-4.0,-3.75,-3.875,14,56.0
-3.75,-3.5,-3.625,13,52.0
-3.5,-3.25,-3.375,4,16.0
-3.25,-3.0,-3.125,6,24.0
-3.0,-2.75,-2.875,4,16.0
-2.75,-2.5,-2.625,3,12.0
-2.5,-2.25,-2.375,11,44.0
-2.25,-2.0,-2.125,3,12.0
-2.0,-1.75,-1.875,3,12.0
-1.75,-1.5,-1.625,11,44.0
-1.5,-1.25,-1.375,36,144.0
-1.25,-1.0,-1.125,31,124.0
-1.0,-0.75,-0.875,28,112.0
-0.75,-0.5,-0.625,30,120.0
-0.5,-0.25,-0.375,142,568.0
-0.25,0.0,-0.125,115,460.0
0.0,0.25,0.125,239,956.0
0.25,0.5,0.375,176,704.0
